city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Eutaw,Alabama Black Belt,Greene County Community Service,"116 Prairie Avenue, Eutaw, AL 35462",Site Mon-Thurs: 8am-5pm (closed 12pm -1pm),"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",8:00,480,205-372-4562,https://www.foodpantries.org/li/greene_county_community_service_35462,Greene County; call for requirements,walk-in,Closed noon–1 PM.
Selma,Alabama Black Belt,Christian Outreach Alliance / COA Food Pantry,"700 J.L. Chestnut Jr Blvd, Selma, AL 36702",Open twice each month (second and fourth Thursday) 10am to 12 noon; clients can only come once.,"RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=2,4",10:00,120,334-872-6904,https://www.homelessshelterdirectory.org/shelter/al_christian-outreach-alliance-coa-food-pantry,Serves Selma/Dallas County; once per month,walk-in,Call to confirm current operation.
Selma,Alabama Black Belt,Salvation Army – Selma,"2104 Franklin Street, Selma, AL 36701",Mon-Fri: 9am-4:30 pm (Closed 12pm -1pm),"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,450,334-872-1646,https://www.foodpantries.org/li/salvation_army_selma_36701,Call to confirm requirements,walk-in,Closed noon–1 PM.
York,Alabama Black Belt,Marengo County Operation Homecare,"(street address unpublished; York, AL 36925)",1st and 3rd Monday: 9:30-12:30,"RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1,3",9:30,180,205-392-9292,https://www.foodpantries.org/ci/al-livingston,Marengo County residents,walk-in,Street address is not published in source.
Alabaster,Birmingham Metro,First Baptist Church of Alabaster Food Ministry,"903 3rd Avenue NW, Alabaster, AL 35007",Second and fourth Monday of each month 12:00 PM–2:00 PM,"RRULE:FREQ=MONTHLY;BYDAY=2MO,4MO",12:00,120,205-663-3531,https://al-shelbycounty.civicplus.com/DocumentCenter/View/5634/Food-Resources-in-Shelby-County-2025,Shelby County residents; proof of residency,drive-thru,Source says drive-through; excludes major holidays; call ahead.
Alabaster,Birmingham Metro,Harvest House – Westwood Baptist Church,"1440 Simmsville Road, Alabaster, AL 35007",First and third Tuesday of each month 10:00 AM–12:00 PM,"RRULE:FREQ=MONTHLY;BYDAY=1TU,3TU",10:00,120,205-844-1687,https://www.gowestwood.org/harvesthouse/,"Shelby County residents; register on day of distribution; first-come, first-served",drive-thru,Day-of registration is allowed; not advance registration.
Alabaster,Birmingham Metro,Salvation Army Shelby County Corps,"108 Plaza Circle, Suite E, Alabaster, AL 35007",Wednesday and Thursday 9:00 AM until food runs out,"RRULE:FREQ=WEEKLY;BYDAY=WE,TH",9:00,240,205-663-7105,https://www.alabamacarenetwork.com/wp-content/uploads/2020/11/190362-VH-OTH06-ALCH-Mid-State-Resource-Guide-R2-2.pdf,Personal appearance; emergency assistance,walk-in,Food available until it runs out; call ahead.
Bessemer,Birmingham Metro,Bessemer Mobile Pantry – Jonesboro Elementary School,"125 Owen Avenue, Bessemer, AL 35020",Third Saturday of each month 10:30 AM,RRULE:FREQ=MONTHLY;BYDAY=3SA,10:30,120,205-942-8911,https://feedingal.org/wp-content/uploads/2024/04/Emergency-Resources-10.30.23-PDF.pdf,none stated,mobile pantry,Community Food Bank partner list; call ahead; end time not published.
Birmingham,Birmingham Metro,Adventist Community Services – South Park,"414 South Park Road, Birmingham, AL 35211",Every Wednesday 3:30 PM–4:30 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,15:30,60,205-925-5280,https://feedingal.org/wp-content/uploads/2024/04/Emergency-Resources-10.30.23-PDF.pdf,none stated,walk-in,Community Food Bank partner list; call ahead.
Birmingham,Birmingham Metro,Asbury Church Food Pantry,"6690 Cahaba Valley Road, Birmingham, AL 35242",Every Wednesday 2:00 PM–3:30 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,14:00,90,205-995-1700,https://www.foodpantries.org/ci/al-pell_city,Photo ID; returning customers wait two weeks,walk-in,Address is in Birmingham; source directory confirms schedule.
Birmingham,Birmingham Metro,Asbury Church Food Pantry,"6690 Cahaba Valley Road, Birmingham, AL 35242",First Saturday of each month 12:30 PM–2:00 PM,RRULE:FREQ=MONTHLY;BYDAY=1SA,12:30,90,205-995-1700,https://www.foodpantries.org/ci/al-pell_city,Photo ID; returning customers wait two weeks,walk-in,Call ahead to confirm.
Birmingham,Birmingham Metro,Cahaba Medical Care,"1308 Tuscaloosa Avenue, Birmingham, AL 35211",Monday and Thursday 1:30 PM–4:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TH",13:30,180,205-926-2992,https://feedingal.org/wp-content/uploads/2024/04/Emergency-Resources-10.30.23-PDF.pdf,none stated,walk-in,Community Food Bank partner list; call ahead.
Birmingham,Birmingham Metro,Greater Birmingham Ministries,"2304 12th Avenue N, Birmingham, AL 35234",Third Friday of each month 6:30 AM; food for first 50 families,RRULE:FREQ=MONTHLY;BYDAY=3FR,6:30,120,205-326-6821,https://feedingal.org/wp-content/uploads/2024/04/Emergency-Resources-10.30.23-PDF.pdf,none stated,walk-in,Arrive early; food limited to first 50 families; call ahead.
Birmingham,Birmingham Metro,Liberty Church Drive-Thru Food Pantry,"2732 Old Rocky Ridge Road, Birmingham, AL 35216",Monday–Friday 1:00 PM–4:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,180,,https://www.findhelp.org/liberty-church--birmingham-al--drive-thru-food-pantry/4909627202076672?postal=35201,Anyone in need,drive-thru,Weekly drive-thru; source says anyone can access.
Birmingham,Birmingham Metro,Mercy Deliverance Ministries – Ensley,"2200 Avenue C, Birmingham, AL 35218",Second Tuesday of the month 2:30 PM until supplies last,RRULE:FREQ=MONTHLY;BYDAY=2TU,14:30,90,,https://www.mercydm.org/food-assistance-programs/,"Photo ID and matching current utility bill; present in vehicle; first-come, first-served; no walk-ups",drive-thru,No delivery; proxy only if already listed; schedule page notes times can change.
Birmingham,Birmingham Metro,Mercy Deliverance Ministries – Ensley,"2200 Avenue C, Birmingham, AL 35218",Third Thursday of the month 2:30 PM until supplies last,RRULE:FREQ=MONTHLY;BYDAY=3TH,14:30,90,,https://www.mercydm.org/food-assistance-programs/,"Photo ID and matching current utility bill; present in vehicle; first-come, first-served; no walk-ups",drive-thru,No delivery; schedule page notes times can change.
Birmingham,Birmingham Metro,New Life Food Pantry – New Life SDA Church,"5626 Ash Street, Birmingham, AL 35202",Third Saturday of the month 2:00 PM–4:00 PM,RRULE:FREQ=MONTHLY;BYDAY=3SA,14:00,120,205-754-1823,https://nlcal.org/ministries/new-life-food-pantry/,none for drive-thru service,drive-thru,Other times are appointment-only; this recurring third-Saturday drive-thru is the open service.
Birmingham,Birmingham Metro,Redeemed Christian Church of God,"213 1st Avenue N, Birmingham, AL 35204",First Saturday of each month 12:00 PM–2:00 PM,RRULE:FREQ=MONTHLY;BYDAY=1SA,12:00,120,205-240-3096,https://feedingal.org/wp-content/uploads/2024/04/Emergency-Resources-10.30.23-PDF.pdf,none stated,walk-in,Community Food Bank partner list; call ahead.
Birmingham,Birmingham Metro,Sixth Avenue Baptist Church Food Pantry,"1101 Martin Luther King Jr. Drive SW, Birmingham, AL 35211",Third Wednesday of the month 9:00 AM–11:00 AM,RRULE:FREQ=MONTHLY;BYDAY=3WE,9:00,120,205-251-5173,https://www.sixthavebaptist.com/event/sabc-food-pantry-3/,none stated,walk-in,Call 205-251-5173 or 205-321-1136 to confirm.
