city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Anchorage,Anchorage,Anchorage Gospel Rescue Mission,"2823 E Tudor Rd, Anchorage, AK 99507","Daily breakfast, 8:00am–8:45am","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",8:00,45,907-563-0225,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Verify holiday/closure changes.
Anchorage,Anchorage,Bean’s Café,"1020 E 4th Ave, Anchorage, AK 99501","Daily breakfast, 8:30am–9:30am","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",8:30,60,907-433-8800,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Daily schedule may change.
Anchorage,Anchorage,Bean’s Café,"1020 E 4th Ave, Anchorage, AK 99501","Daily lunch, 11:00am–1:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",11:00,120,907-433-8800,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Daily schedule may change.
Anchorage,Anchorage,Bean’s Café,"1020 E 4th Ave, Anchorage, AK 99501","Daily dinner, 4:00pm–6:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",16:00,120,907-433-8800,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Daily schedule may change.
Anchorage,Anchorage,ChangePoint Alaska Mobile Food Pantry,"6689 Changepoint Dr, Anchorage, AK 99502","Second Thursday monthly, 4:30pm–6:00pm",RRULE:FREQ=MONTHLY;BYDAY=2TH,16:30,90,907-276-1781,https://foodbankofalaska.org/hubfs/Website/Resource%20Library/FBA_Southcentral_Food_Distribution_Calendar.pdf,"No ID, paperwork, or income verification; first come",mobile pantry,Bring bags/box; hours may change.
Anchorage,Anchorage,Church of the Nations,"810 E 9th Ave, Anchorage, AK 99501","Sundays, 3:00pm–4:30pm",RRULE:FREQ=WEEKLY;BYDAY=SU,15:00,90,907-276-1781,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Verify current meal service.
Anchorage,Anchorage,Downtown Hope Center,"240 E 3rd Ave, Anchorage, AK 99501","Daily, 12:00pm–1:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",12:00,90,907-272-0643,https://foodbankofalaska.org/help,Open community meal; no appointment stated,hot meal,Verify current meal service.
Anchorage,Anchorage,Fairview Recreation Center (Anchorage East Rotary),"1121 E 10th Ave, Anchorage, AK 99501","Second Saturday monthly, 2:00pm",RRULE:FREQ=MONTHLY;BYDAY=2SA,14:00,60,907-276-1781,https://foodbankofalaska.org/hubfs/Website/Resource%20Library/FBA_Southcentral_Food_Distribution_Calendar.pdf,"No ID, paperwork, or income verification; first come",mobile pantry,Bring bags/box; hours may change.
Anchorage,Anchorage,Fairview Recreation Center (Greater Friendship Baptist),"1121 E 10th Ave, Anchorage, AK 99501","Third Saturday monthly, 2:00pm",RRULE:FREQ=MONTHLY;BYDAY=3SA,14:00,60,907-276-1781,https://foodbankofalaska.org/hubfs/Website/Resource%20Library/FBA_Southcentral_Food_Distribution_Calendar.pdf,"No ID, paperwork, or income verification; first come",mobile pantry,Bring bags/box; hours may change.
Anchorage,Anchorage,First CME Church Mobile Food Pantry,"3600 MacInnes St, Anchorage, AK 99508","First and fourth Saturday monthly, 2:00pm","RRULE:FREQ=MONTHLY;BYDAY=1SA,4SA",14:00,60,907-276-1781,https://foodbankofalaska.org/hubfs/Website/Resource%20Library/FBA_Southcentral_Food_Distribution_Calendar.pdf,"No ID, paperwork, or income verification; first come",mobile pantry,Bring bags/box; hours may change.
