city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Chinle,Eastern Arizona,St. Mary's Food Bank - Chinle Neighborhood Food Center,"The Lee at Chinle at Our Lady of Fatima Church, Hwy 7, Chinle, AZ 86503",Tue-Fri 9am-2pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",9:00,300,602-242-3663,https://www.firstfoodbank.org/contact/,Walk-in food pickup; call to confirm current service-area or ID rules,walk-in,Neighborhood food center; tribal-citizenship-only status not stated.
Globe,Eastern Arizona,Gila Community Food Bank,"317 Hackney Ave, Globe, AZ 85501",Mon-Fri 9am-12:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,210,928-425-3639,https://search.211arizona.org/search/a2bb43b2-a015-590a-b244-bb7f660a8468,Walk-in or call; eligibility/service area Gila and Graham counties,walk-in,Emergency food boxes and sack lunches.
Holbrook,Eastern Arizona,Holbrook Emergency Food Bank,"216 Joy Nevin Ave, Holbrook, AZ 86025",Mon-Thu 1-3pm; Fri 1-2pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,120,928-524-6044,https://www.homelessshelterdirectory.org/shelter/az_holbrook-emergency-food-bank-senior-center-and-food-service,Walk-in food pantry; call to confirm current eligibility,walk-in,General food pantry listed with senior center; senior-only commodities excluded.
Holbrook,Eastern Arizona,Northland Pioneer College Painted Desert Campus Food Pantry,"Painted Desert Campus, Holbrook, AZ",3rd Wednesday monthly 1-3pm or until food runs out,RRULE:FREQ=MONTHLY;BYDAY=3WE,13:00,120,800-266-7845,https://www.npc.edu/food-pantry,Community members welcome; register on-site day of event,drive-thru,St. Mary’s distribution; drive-through.
Payson,Eastern Arizona,Community Presbyterian Deacon's Pantry,"800 W Main St, Payson, AZ 85541",Mon/Wed/Fri 9am-1pm; Tue 5:15-7:15pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,FR",9:00,240,928-474-2059,https://www.foodpantries.org/ci/az-payson,Walk-in; call to confirm current requirements,walk-in,Food pantry; Tuesday evening 5:15-7:15pm.
Payson,Eastern Arizona,St. Vincent de Paul Food Bank of Payson,"511 S St Phillips St, Payson, AZ 85541",Tue-Thu and Sat 1-3pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,SA",13:00,120,928-474-9104,https://www.foodpantries.org/ci/az-payson,Walk-in; call for current ID/service-area requirements,walk-in,Food pantry listing; verify hours before visiting.
Safford,Eastern Arizona,Our Neighbors Farm & Pantry,"1020 S 10th Ave, Safford, AZ 85546",Tue/Thu 10am-noon and 1-3pm (Oct-Apr); Tue/Thu 8am-noon (May-Sep),"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,300,928-432-6984,https://www.ourneighborsfarmandpantry.org/about,Walk-in pantry; ID required; Graham County service focus,walk-in,Seasonal hours; call for holiday changes.
Safford,Eastern Arizona,St. Vincent de Paul Safford,"283 W 5th St, Safford, AZ 85546",Tue-Fri 10am-noon,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",10:00,120,928-428-0460,https://gilavalleycentral.net/two-mobile-food-banks-come-to-pima-solomon/,ID and proof of Graham County residency,walk-in,Food pantry; hours reported by local news.
Snowflake,Eastern Arizona,Our Lady of the Snow Catholic Church Food Distribution,"1655 S Main St, Snowflake, AZ 85937",3rd Monday monthly 8am-noon (produce distribution),RRULE:FREQ=MONTHLY;BYDAY=3MO,8:00,240,928-536-4559,https://azfoodbanks.org/maps/our-lady-of-the-snow-catholic-church/,Walk-ins; no referral required; served ZIPs listed by provider,walk-in,Produce distribution; separate commodities listing is not included.
Snowflake,Eastern Arizona,Shepherd's Kitchen & Food Bank,"344 W 4th St S, Snowflake, AZ 85937",Tue-Fri noon-3:20pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",12:00,200,928-536-3086,https://www.homelessshelterdirectory.org/foodbank/az_shepherds-kitchen-food-bank,"Walk-in; need-based; ID, household-size verification and current address",walk-in,Food box once monthly; closed major holidays.
Thatcher,Eastern Arizona,Community Food Bank Thatcher Mobile Distribution,"Thatcher Splash Pad Park, Thatcher, AZ",2nd Wednesday monthly 9-10:30am,RRULE:FREQ=MONTHLY;BYDAY=2WE,9:00,90,520-622-0525,https://gilavalleycentral.net/two-mobile-food-banks-come-to-pima-solomon/,"Drive-up or walk-up; photo ID, proof of residency and income declaration reported",mobile pantry,Graham County rural mobile distribution.
Winslow,Eastern Arizona,Northland Pioneer College Little Colorado Campus Food Pantry,"Little Colorado Campus, Winslow, AZ",2nd Wednesday monthly 1-3pm or until food runs out,RRULE:FREQ=MONTHLY;BYDAY=2WE,13:00,120,800-266-7845,https://www.npc.edu/food-pantry,Community members welcome; register on-site day of event,drive-thru,St. Mary’s distribution; drive-through.
Flagstaff,Northern Arizona,Flagstaff Family Food Center Kitchen - dinner,"1903 N 2nd St, Flagstaff, AZ 86004",Daily dinner 4-5:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",16:00,90,928-526-2211,https://hotfood.org/contact/,Walk-in; anyone needing a meal,hot meal,Dine-in and to-go options.
Flagstaff,Northern Arizona,Flagstaff Family Food Center Kitchen - lunch,"1903 N 2nd St, Flagstaff, AZ 86004",Daily to-go lunch 10am-2pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",10:00,240,928-526-2211,https://hotfood.org/contact/,Walk-in; anyone needing a meal,hot meal,To-go lunch.
Flagstaff,Northern Arizona,Flagstaff Family Food Center Warehouse,"3805 E Huntington Dr, Flagstaff, AZ 86004",Tue-Sat 9am-1pm; vehicle service at warehouse,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR,SA",9:00,240,928-526-2211,https://hotfood.org/find-food/,"Everyone welcome; walk-ups allowed at other sites, warehouse requires vehicle",drive-thru,Food boxes; construction may affect traffic.
Kingman,Northern Arizona,Kingman Area Food Bank,"2930 Butler Ave, Kingman, AZ 86409",Mon/Tue/Thu/Fri 8am-noon (last number 11:45am),"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH,FR",8:00,240,928-757-4165,https://kingmanareafoodbank.org/need-food%3F,"Mohave County residents; county ID, utility bill; walk-in number system",walk-in,Food once every 28 days; affiliated St. Mary’s sites share limit.
Lake Havasu City,Northern Arizona,Havasu Community Health Foundation Food Bank,"1980 N Kiowa Blvd, Lake Havasu City, AZ 86403",Mon/Tue/Thu/Fri 10am-1pm; closed Wed/weekends,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH,FR",10:00,180,928-453-8190,https://havasucommunityhealthfoundation.org/food-bank,Walk-in/drive-through; first visit set-up; local eligibility may apply,drive-thru,Monthly large shop plus daily bread/produce; arrive before 11am.
Lake Havasu City,Northern Arizona,Ruth's Pantry at Restoration Hope Church,"2150 N Kiowa Blvd, Lake Havasu City, AZ 86404",Saturdays 9-11am,RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,120,928-302-3264,https://www.foodpantries.org/li/az_86404_ruths-pantry,No appointment; food pickup only,walk-in,Directory listing; call to confirm current hours.
Prescott,Northern Arizona,Prescott Community Cupboard Food Bank,"777 W Hillside Ave, Prescott, AZ 86301",Mon-Fri 2:30-5:30pm; Sat 11am-1pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",14:30,180,928-277-0092,https://thecommunitycupboard.org/prescott-food-bank.html,Walk-in; ID required,walk-in,Free food bags; max 2 bags/week.
Prescott Valley,Northern Arizona,Yavapai Food Bank,"8866 E Long Mesa Dr, Prescott Valley, AZ 86314",Tue/Wed 3-5pm; Thu/Fri 1-3pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",13:00,240,928-775-5255,https://www.yavapaifoodbank.org/need-help/,"Bring ID for household, proof of income and address; client application",walk-in,Food distribution after application/client card.
Chandler,Phoenix Metro,Matthew's Crossing Food Bank,"1368 N Arizona Ave Unit 112, Chandler, AZ 85225",Mon/Tue/Thu/Fri 8-11am; Wed 4-6pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,180,480-857-2296,https://matthewscrossing.org/get-help/,Photo ID; walk-in registration; emergency box every 14 days,walk-in,Wednesday evening is 4-6pm; senior box program excluded.
El Mirage,Phoenix Metro,St. Vincent de Paul El Mirage Dining Room,"14013 N Verbena St, El Mirage, AZ 85335",Mon-Fri 10-11:30am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,90,602-850-6931,https://stvincentdepaul.net/get-help/meals-and-food-boxes,Walk-ins; open to anyone,hot meal,Hot meal and sack lunch service.
Glendale,Phoenix Metro,Phoenix Rescue Mission Hope for Hunger,"5605 N 55th Ave, Glendale, AZ 85301",Mon-Fri 8am-12pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,240,602-233-3000,https://phoenixrescuemission.org/foodbank/,Walk-ins first-come; photo ID; local-area residents; 2 visits/month,walk-in,Emergency food boxes; wait times can be 1-2 hours.
Mesa,Phoenix Metro,St. Vincent de Paul Mesa Dining Room,"49 W Broadway Rd, Mesa, AZ 85210",Daily 9:30-11:30am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",9:30,120,602-261-6813,https://stvincentdepaul.net/get-help/meals-and-food-boxes,Walk-ins; open to anyone,hot meal,Hot meal and sack lunch service.
Mesa,Phoenix Metro,United Food Bank Neighbor's Pantry,"358 E Javelina Ave, Mesa, AZ 85210",Typically 2nd and 4th Fridays 8-10am; confirm current event calendar,"RRULE:FREQ=MONTHLY;BYDAY=2FR,4FR",8:00,120,480-926-4897,https://unitedfoodbank.org/event/neighbors-pantry-22/,No pre-registration; valid state ID,walk-in,"Grocery-rescue produce, bakery items and more; event dates may vary."
Phoenix,Phoenix Metro,Arizona Kosher Food Pantry,"7118 N 7th St, Phoenix, AZ 85020",Mon/Wed/Fri 9am-1pm; Tue 11am-1pm; Thu 9am-1:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,270,602-492-4989,https://azkosherpantry.org/services/,"No appointment; no ID, income or residency proof required",walk-in,Free kosher pantry open to anyone in need; inventory varies.
Phoenix,Phoenix Metro,Harvest Compassion Center,"4744 E Thunderbird Rd Ste 9, Phoenix, AZ 85032",Open shopping 9-11:30am; must be in line by 11:15am,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,SA",9:00,150,602-788-2444,https://harvestcompassioncenter.org/,Walk-in shopping; no appointment stated,walk-in,Free food and clothing; location schedules differ.
Phoenix,Phoenix Metro,Harvest Compassion Center,"5608 N 27th Ave, Phoenix, AZ 85017",Open shopping 9-11:30am; must be in line by 11:15am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH",9:00,150,602-841-7110,https://harvestcompassioncenter.org/,Walk-in shopping; no appointment stated,walk-in,Free food and clothing; location schedules differ.
Phoenix,Phoenix Metro,Harvest Compassion Center,"4002 N 67th Ave, Phoenix, AZ 85033",Open shopping 9-11:30am; must be in line by 11:15am,"RRULE:FREQ=WEEKLY;BYDAY=TU,FR,SA",9:00,150,623-247-0039,https://harvestcompassioncenter.org/,Walk-in shopping; no appointment stated,walk-in,Free food and clothing; location schedules differ.
Phoenix,Phoenix Metro,Living Streams Food Pantry,"7000 N Central Ave, Phoenix, AZ 85020",Tue-Thu 9-10:30am,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",9:00,90,602-957-7500,https://livingstreams.org/foodpantry,Walk-ins; photo ID and proof of address,walk-in,No referral required.
Phoenix,Phoenix Metro,Open Hands Food Pantry,"15846 N Cave Creek Rd Suite 2A, Phoenix, AZ 85032",Thu-Sat 11am-2pm,"RRULE:FREQ=WEEKLY;BYDAY=TH,FR,SA",11:00,180,602-803-3723,https://openhandsaz.org/,No appointment; bring ID and complete short form,walk-in,Fresh food and pantry staples.
Phoenix,Phoenix Metro,St. Mary's Food Bank - Phoenix Neighborhood Food Center,"3131 W Thomas Rd, Phoenix, AZ 85017",Mon-Fri 7:30am-1:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",7:30,360,602-242-3663,https://www.firstfoodbank.org/contact/,Photo ID; walk-in; service-area rules may apply,walk-in,Emergency food distribution; call ahead for holiday closures.
Phoenix,Phoenix Metro,St. Vincent de Paul NextPhase Family Dining Room,"420 W Watkins Rd, Phoenix, AZ 85003",Mon-Fri 4-6pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",16:00,120,602-850-6901,https://stvincentdepaul.net/get-help/meals-and-food-boxes,Walk-ins; households must include a child under 18,hot meal,Family dining room; child requirement applies.
Phoenix,Phoenix Metro,St. Vincent de Paul Phoenix Dining Room,"1075 W Jackson St, Phoenix, AZ 85007",Breakfast Mon-Fri 7-8am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",7:00,60,602-261-6805,https://www.stvincentdepaul.net/locations/phoenix-dining-room,Walk-ins; open to anyone (dining room),hot meal,Walk-in hot meal; open to anyone. Service for people experiencing homelessness.
Phoenix,Phoenix Metro,St. Vincent de Paul Phoenix Dining Room,"1075 W Jackson St, Phoenix, AZ 85007",Lunch daily 11am-12:45pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",11:00,105,602-261-6805,https://www.stvincentdepaul.net/locations/phoenix-dining-room,Walk-ins; open to anyone (dining room),hot meal,Walk-in hot meal; open to anyone. Service for people experiencing homelessness.
Phoenix,Phoenix Metro,St. Vincent de Paul Phoenix Dining Room,"1075 W Jackson St, Phoenix, AZ 85007",Dinner Fridays 4-5pm,RRULE:FREQ=WEEKLY;BYDAY=FR,16:00,60,602-261-6805,https://www.stvincentdepaul.net/locations/phoenix-dining-room,Walk-ins; open to anyone (dining room),hot meal,Walk-in hot meal; open to anyone. Service for people experiencing homelessness.
Phoenix,Phoenix Metro,St. Vincent de Paul Watkins Campus Food Boxes,"420 W Watkins Rd, Phoenix, AZ 85003",2nd and 4th Saturdays; Oct-Mar 7:30-9:30am; Apr-Sep 6:30-8:30am or until gone,"RRULE:FREQ=MONTHLY;BYDAY=2SA,4SA",6:30,120,602-261-6882,https://stvincentdepaul.net/get-help/meals-and-food-boxes,Open to public; Arizona government ID showing address,drive-thru,Food is first-come and may run out; seasonal hours.
Surprise,Phoenix Metro,St. Mary's Food Bank - Surprise Neighborhood Food Center,"13050 W Elm St, Surprise, AZ 85378",Mon-Fri 7:30am-1:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",7:30,360,602-242-3663,https://www.firstfoodbank.org/contact/,Photo ID; walk-in; service-area rules may apply,walk-in,Emergency food distribution; call ahead for holiday closures.
Tolleson,Phoenix Metro,Harvest Compassion Center,"8363 W Van Buren St D5, Tolleson, AZ 85353",Open shopping 9-11:30am; must be in line by 11:15am,"RRULE:FREQ=WEEKLY;BYDAY=WE,FR",9:00,150,623-349-0077,https://harvestcompassioncenter.org/,Walk-in shopping; no appointment stated,walk-in,Free food and clothing; location schedules differ.
Casa Grande,Pinal County,Casa Grande Alliance,"280 W McMurray Blvd, Casa Grande, AZ 85122",Tue/Thu 4-7pm; Sat 10am-1pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH,SA",10:00,180,520-836-5022,https://sites.vivery.org/casa-grande-alliance/casa-grande-az/6994,Walk-in food distribution; call for holiday changes,walk-in,Bulk food distribution; senior-only CSFP excluded.
Casa Grande,Pinal County,Casa Grande Food Bank,"235 E 4th St, Casa Grande, AZ 85122",Mon/Wed/Fri 2-4pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",14:00,120,520-836-1347,https://azfoodbanks.org/maps/casa-grande-food-bank/,Walk-ins; no referral; service ZIPs; box once every 3 months,walk-in,Call to confirm holiday schedule.
Casa Grande,Pinal County,St. Vincent de Paul Casa Grande Food Pantry,"405 E 2nd St, Casa Grande, AZ 85122",Mon-Fri 9am-12:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,210,520-836-2009,https://www.svdpcasagrande.org/,Walk-in; call for ID/eligibility details; box every 30 days,walk-in,"Food pantry, not thrift-store hours."
Coolidge,Pinal County,Hope International Food Pantry,"1280 N Arizona Blvd, Coolidge, AZ 85128",1st and 3rd Thursdays 11am-1pm,"RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH",11:00,120,520-233-6699,https://hopeinternationalfoodpantry.org/,Walk-in; anyone; no community residency restriction stated,walk-in,Three days monthly description conflicts with directory; call ahead.
Florence,Pinal County,Christ the Victor Lutheran Food Pantry,"6173 E Arizona Farms Rd, Florence, AZ 85132",Tue/Thu 8:30-10:30am,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",8:30,120,520-868-2119,https://christthevictor.net/food-pantry/,Walk-in; community food pantry,walk-in,Free groceries including produce and meat.
