city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Alexander,Central Arkansas,Alexander First Baptist Church Food Pantry,"Alexander, AR 72002","Thursdays, 9:00-11:00 AM",RRULE:FREQ=WEEKLY;BYDAY=TH,09:00,120,501-455-1263,https://www.foodpantries.org/ci/ar-bryant,Driver license/photo ID; Social Security card for occupants; North Central Saline residents,walk-in,Street address not published in source.
Alexander,Central Arkansas,Alexander First Baptist Church Food Pantry,"Alexander, AR 72002","Thursdays, 6:00-8:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,18:00,120,501-455-1263,https://www.foodpantries.org/ci/ar-bryant,Driver license/photo ID; Social Security card for occupants; North Central Saline residents,walk-in,Street address not published in source.
Arkadelphia,Central Arkansas,Antioch Baptist Food Pantry,"1455 Hearn Rd, Arkadelphia, AR 71923","Sundays, 10:00 AM-2:00 PM",RRULE:FREQ=WEEKLY;BYDAY=SU,10:00,240,870-245-3333,https://www.foodpantries.org/li/Ar-antioch_baptist_food_pantry_arkadelphia,Clark County families in need; not stated,walk-in,Food assistance also listed Wednesday and Saturday.
Arkadelphia,Central Arkansas,Antioch Baptist Food Pantry,"1455 Hearn Rd, Arkadelphia, AR 71923","Wednesdays, 10:00 AM-1:00 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,180,870-245-3333,https://www.foodpantries.org/li/Ar-antioch_baptist_food_pantry_arkadelphia,Clark County families in need; not stated,walk-in,
Arkadelphia,Central Arkansas,Antioch Baptist Food Pantry,"1455 Hearn Rd, Arkadelphia, AR 71923","Saturdays, 10:00 AM-1:00 PM",RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,180,870-245-3333,https://www.foodpantries.org/li/Ar-antioch_baptist_food_pantry_arkadelphia,Clark County families in need; not stated,walk-in,
Arkadelphia,Central Arkansas,Cedar Grove Baptist Church Food Pantry,"Cedar Grove Rd, Arkadelphia, AR 71923","Monday-Friday, 8:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",08:00,240,870-245-3794,https://www.foodpantries.org/li/cedar_grove_baptist_church_71923,Driver license or photo ID,walk-in,Street address not published beyond Cedar Grove Road.
Arkadelphia,Central Arkansas,Clark County Ecumenical Food Pantry,"107 N 9th St, Arkadelphia, AR 71923","3rd Tuesday, 3:00-5:30 PM",RRULE:FREQ=MONTHLY;BYDAY=3TU,15:00,150,870-230-3716,https://search.arkansas211.org/search/21f02b65-ec6c-5a0a-b352-e1287463fcaa,Picture ID; Clark County residents,drive-thru,Lines form at 2 PM; one box per household; intake registration may be completed at distribution.
Arkadelphia,Central Arkansas,Community Family Enrichment Center Food Pantry,"301 N 23rd St, Arkadelphia, AR 71923","Tuesdays and Wednesdays, 10:30 AM-1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE",10:30,150,870-246-5675,https://www.freefood.org/l/ar_71923_community-family-enrichment-center,not stated,walk-in,
Arkadelphia,Central Arkansas,Fellowship Church Baptist Church Food Pantry,"2401 Pine St, Arkadelphia, AR 71923","Monday-Friday, 8:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",08:00,240,870-403-8197,https://www.foodpantries.org/li/fellowship_church_baptist_church_71923,Driver license or photo ID; low-income families/individuals,walk-in,
Bald Knob,Central Arkansas,New Bethel General Baptist Church Food Pantry,"Bald Knob, AR 72010","3rd Saturday, 9:00-11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=3SA,09:00,120,501-724-6326,https://www.foodpantries.org/co/ar-white,Photo ID; Bald Knob residents,walk-in,Street address not published in source.
Bald Knob,Central Arkansas,Pleasant Grove Baptist Church Food Pantry,"Bald Knob, AR 72010","Tuesdays and Thursdays, 1:00-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",13:00,180,501-724-6139,https://www.foodpantries.org/co/ar-white,not stated,walk-in,Street address not published in source.
Bald Knob,Central Arkansas,"The Extra Mile Food Pantry, Central Baptist Church","1507 W Center St, Bald Knob, AR 72010","2nd Saturday, 9:00-10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=2SA,09:00,60,501-724-5316,https://www.centralbaptistbk.net/the_extra_mile_food_pantry,All welcome,walk-in,USDA distribution site.
