city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Buellton,Central Coast,Buellton Senior Center,"164 W Hwy 246, Buellton, CA 93427",Monday–Friday,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,60,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Goleta,Central Coast,Goleta Valley Church,"595 N Fairview Ave, Goleta, CA 93117","Third Saturday, 8:00 AM–10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=3SA,8:00,120,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify schedule with Foodbank or site.
Goleta,Central Coast,Good Shepherd Pantry,"380 N Fairview Ave, Goleta, CA 93117","First Saturday, 9:00 AM–10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=1SA,9:00,60,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify schedule with Foodbank or site.
Goleta,Central Coast,Sandpiper Apartments,"375 Ellwood Beach Dr, Goleta, CA 93117","First Thursday, 9:00 AM–10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=1TH,9:00,60,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify schedule with Foodbank or site.
Guadalupe,Central Coast,Foodbank of Santa Barbara County – Guadalupe site,"Guadalupe Senior Center, 4545 10th St, Guadalupe, CA 93434","First Thursday, 11:30 AM–2:00 PM",RRULE:FREQ=MONTHLY;BYDAY=1TH,11:30,150,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer says no documentation/registration; everyone welcome.,walk-in,Named Senior Center; included because flyer says everyone welcome.
Lompoc,Central Coast,Bethany Lutheran,"135 S E St, Lompoc, CA 93436",Wednesday,RRULE:FREQ=WEEKLY;BYDAY=WE,12:00,60,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Lompoc,Central Coast,Foursquare,"125 N C St, Lompoc, CA 93436",Monday,RRULE:FREQ=WEEKLY;BYDAY=MO,16:00,60,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Lompoc,Central Coast,Half Century Club,"341 N N St, Lompoc, CA 93436",Thursday,RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,45,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Lompoc,Central Coast,La Purisima,"213 W Olive Ave, Lompoc, CA 93436",Friday,RRULE:FREQ=WEEKLY;BYDAY=FR,17:00,45,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Lompoc,Central Coast,St. Timothy,"403 N J St, Lompoc, CA 93436",Tuesday,RRULE:FREQ=WEEKLY;BYDAY=TU,17:00,45,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Lompoc,Central Coast,Trinity Nazarene,"500 E North Ave, Lompoc, CA 93436",Saturday,RRULE:FREQ=WEEKLY;BYDAY=SA,14:00,60,805-967-5741,https://foodbanksbc.org/prepared-food/,Prepared-meals page says all listed sites are open to public; no registration.,hot meal,Call site/Foodbank to confirm holidays.
Nipomo,Central Coast,Nipomo Food Basket,"197 W Tefft St, Nipomo, CA 93444","Monday, Tuesday & Thursday, 10:00 AM–1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH",10:00,180,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,San Luis Obispo County; verify hours.
Santa Barbara,Central Coast,Catholic Charities,"609 E Haley St, Santa Barbara, CA 93103","Monday–Friday, 9:00 AM–4:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,450,805-965-7045,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify current schedule.
Santa Barbara,Central Coast,Children’s Park (Lower Westside),"520 Wentworth Ave, Santa Barbara, CA 93105","First & second Tuesday, 1:00 PM–2:00 PM","RRULE:FREQ=MONTHLY;BYDAY=1TU,2TU",13:00,60,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify current schedule.
Santa Barbara,Central Coast,Franklin Community Center,"1136 E Montecito St, Santa Barbara, CA 93101","Third Tuesday, 1:30 PM–2:30 PM",RRULE:FREQ=MONTHLY;BYDAY=3TU,13:30,60,805-967-5741,https://foodbanksbc.org/get-help/,Foodbank flyer: no documentation or registration; everyone welcome.,walk-in,Verify current schedule.
