city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Bridgeport,Fairfield County,Connecticut Foodshare – Bridgeport Hospital mobile pantry,"Bridgeport Hospital rear parking lot, 200 Mill Hill Ave, Bridgeport, CT","Every other Wednesday, 4:30–5:15 PM (schedule subject to change)",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,16:30,45,203-200-3719,https://www.bridgeportct.gov/government/departments/health-social-services/social-services/food-banks-pantries,Outdoor distribution; check CT Foodshare for cancellations; bring bags,mobile pantry,
Norwalk,Fairfield County,Catholic Charities of Fairfield County / Connecticut Foodshare,"Ben Franklin Preschool parking, 66 Bayview Ave, Norwalk, CT 06850","Fourth Saturday monthly (May second Saturday; no Nov/Dec), 9:30–10:30 AM",RRULE:FREQ=MONTHLY;BYDAY=4SA,9:30,60,203-324-8375,https://www.ccfairfield.org/event/mobile-food-pantry-norwalk-family-center-3/,Bring grocery bags; first-come outdoor distribution,mobile pantry,
Hartford,Hartford Area,Connecticut Foodshare – Cathedral of St. Joseph,"Back parking lot, 809 Asylum Ave, Hartford, CT 06105","Every 2 weeks, Wednesday, 11:30–12:15",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,11:30,45,203-469-5000,https://mobilefoodpantry.ctfoodshare.org/event/hartford-cathedral-of-st-joseph/2026-03-18/,Bring bags; outdoor distribution; check cancellation alerts,mobile pantry,
New Britain,Hartford Area,New Beginning Ministries Food Pantry,"84 Spring St, 1st Floor, New Britain, CT 06051","Every Saturday except first Saturday, 1–3 PM","RRULE:FREQ=MONTHLY;BYDAY=2SA,3SA,4SA,5SA",13:00,120,,https://mentalhealth.networkofcare.org/connecticut/services/agency?pid=NEWBEGINNINGMINISTRIESFoodPantriesNewBritain_556_2_0,Walk-in only; CT residents in need; photo ID and proof of income requested,walk-in,No fee; closed first Saturday.
Meriden,New Haven Area,Connecticut Foodshare / New Opportunities Inc.,"165 Miller St (corner Center & Miller), Meriden, CT 06450","Every other Thursday, 1:00–2:00 PM",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=TH,13:00,60,203-469-5000,https://www.meridenct.gov/Customer-Content/www/CMS/files/Health_and_Human_Services/Community_Resources/CT_Foodshare_Mobile_Pantry_2026.pdf,Bring reusable bags or cart; walk-in mobile pantry,mobile pantry,
New Haven,New Haven Area,Community Soup Kitchen of New Haven,"84 Broadway, New Haven, CT 06511","Monday, Tuesday, Thursday, Friday lunch 11 AM–1 PM; Saturday breakfast 8–9 AM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH,FR,SA",11:00,120,203-624-4594,https://www.csknewhaven.org/services/dining-room/,Anyone can walk in; free hot meal; take-out available,hot meal,Schedules shown are downtown meal service.
New Haven,New Haven Area,Downtown Evening Soup Kitchen dinner,"311 Temple St, New Haven, CT 06511","Sunday–Thursday, 5–6 PM","RRULE:FREQ=WEEKLY;BYDAY=SU,MO,TU,WE,TH",17:00,60,203-624-6426,https://deskct.org/programs_and_services/,All welcome; no questions asked; free hot meal,hot meal,Friday/Saturday partner meal schedules not included here.
New Haven,New Haven Area,Downtown Evening Soup Kitchen pantry,"57 Olive St, New Haven, CT 06511","Every Wednesday, 1:30–3 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,13:30,90,203-624-6426,https://deskct.org/programs_and_services/,All welcome; short intake form; bring reusable bag; no proof of need,walk-in,Low-barrier intake completed on site.
New Haven,New Haven Area,Loaves & Fishes Pantry,"57 Olive St, New Haven, CT 06511","Every Saturday, 8:30–10:30 AM",RRULE:FREQ=WEEKLY;BYDAY=SA,8:30,120,,https://loavesandfishesnh.com/food/,Walk-in pantry; fresh groceries; bring bags,walk-in,Weekly pantry; deliveries are excluded.
Wallingford,New Haven Area,Connecticut Foodshare – Wallingford Senior Center mobile pantry,"South Side parking lot, Wallingford Senior Center, Wallingford, CT","Every 2 weeks, 8:30–9:15 AM (site schedule posted by center)",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=MO,8:30,45,203-469-5000,https://www.wlfdseniorctr.com/connecticut-foodshare/,Bring bags; confirm date with center; not an appointment service,mobile pantry,
Waterbury,Northwest Connecticut,Greater Waterbury Interfaith Ministries Food Pantry,"770 East Main St, Waterbury, CT 06702",Second Monday 9–10 AM; last Monday 8:30 AM–12 PM; emergency Mondays 9–10 AM,RRULE:FREQ=WEEKLY;BYDAY=MO,9:00,210,203-757-7734,https://gwimwaterbury.com/food-pantry-ct/,"No appointment, ID, proof of address, or income requirement; open to all households",walk-in,Main distributions plus Monday emergency access.
