city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Dover,Central Delaware,PODD Pantry,"4462 W Denneys Rd, Dover, DE 19904",Saturdays 10 AM-1 PM,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,180,302-566-5441,https://www.poddchurch.org/pantry,Open pantry hours; appointment only outside open hours,walk-in,Ring bell at rear entrance.
Milford,Central Delaware,Food Bank of Delaware - Milford Healthy Pantry,"102 Delaware Veterans Blvd, Milford, DE 19963","Mon, Wed & Thu 9 AM-3:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,TH",9:00,390,302-424-3301,https://www.fbd.org/milford-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Milford,Central Delaware,Food Bank of Delaware - Milford Healthy Pantry,"102 Delaware Veterans Blvd, Milford, DE 19963",Tuesday 9 AM-5:30 PM,RRULE:FREQ=WEEKLY;BYDAY=TU,9:00,510,302-424-3301,https://www.fbd.org/milford-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Milford,Central Delaware,Food Bank of Delaware - Milford Healthy Pantry,"102 Delaware Veterans Blvd, Milford, DE 19963",Friday 9-11:30 AM,RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,150,302-424-3301,https://www.fbd.org/milford-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Milford,Central Delaware,Food Bank of Delaware - Milford Healthy Pantry,"102 Delaware Veterans Blvd, Milford, DE 19963",First Saturday monthly 9 AM-12:30 PM,RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=1,9:00,210,302-424-3301,https://www.fbd.org/milford-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Newark,Northern Delaware,Food Bank of Delaware - Newark Healthy Pantry,"222 Lake Dr, Newark, DE 19702",Mon-Wed 9 AM-3:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE",9:00,390,302-292-1305,https://www.fbd.org/newark-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring mail; Thu/Fri/Sat windows separate.
Newark,Northern Delaware,Food Bank of Delaware - Newark Healthy Pantry,"222 Lake Dr, Newark, DE 19702",Thursday 9 AM-5:30 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,510,302-292-1305,https://www.fbd.org/newark-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Newark,Northern Delaware,Food Bank of Delaware - Newark Healthy Pantry,"222 Lake Dr, Newark, DE 19702",Friday 9-11:30 AM,RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,150,302-292-1305,https://www.fbd.org/newark-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Newark,Northern Delaware,Food Bank of Delaware - Newark Healthy Pantry,"222 Lake Dr, Newark, DE 19702",Second Saturday monthly 9 AM-12:30 PM,RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=2,9:00,210,302-292-1305,https://www.fbd.org/newark-healthy-pantry-center/,No appointment; physical proof of Delaware residency; once/month,walk-in,Bring physical proof of residence.
Wilmington,Northern Delaware,St. Philip's Lutheran Church Produce Distribution,"4501 Kirkwood Hwy, Wilmington, DE 19808","First and third Mondays, around 8:30 AM","RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1,3",8:30,180,302-998-0171,https://www.stphilips.us/produce_distribution.html,Anyone in need may show up; sign in onsite,mobile pantry,FoodBank truck; produce varies.
Wilmington,Northern Delaware,YWCA Delaware People's Pantry,"709 N Madison St, Wilmington, DE 19801",Tue & Thu 10 AM-5 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,420,302-655-0039,https://www.ywcade.org/peoples-pantry,Public welcome; no appointment necessary,walk-in,Choice pantry; while supplies last.
Wilmington,Northern Delaware,YWCA Delaware People's Pantry,"709 N Madison St, Wilmington, DE 19801",Saturdays 10 AM-2 PM,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,240,302-655-0039,https://www.ywcade.org/peoples-pantry,Public welcome; no appointment necessary,walk-in,Choice pantry; while supplies last.
