city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Crawfordville,Big Bend,Crawfordville United Methodist Church Food Pantry,"176 Ochlockonee St, Crawfordville, FL 32327","2nd and last Wednesdays, about 11:00 AM–12:30 PM","RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=2,-1",11:00,90,850-508-9097,https://www.crawfordvilleumc.org/food-pantry/,Wakulla County low-income residents; drive-thru; times may vary,drive-thru,Official site says dates/times are subject to change; watch Facebook.
Monticello,Big Bend,A New Day Initiative Food Pantry,"1599 Spring Hollow Rd, Monticello, FL 32344","4th Saturday, 8:00 AM until food runs out",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=4,8:00,180,850-408-2316,https://fightinghunger.org/wp-content/uploads/2025/02/Agency-Referral-List-Updated-2.13.25.pdf,First-come while supplies last; call to confirm,walk-in,Agency referral list lists recurring public distribution.
Monticello,Big Bend,Eagles Wings Food Pantry,"290 E Dogwood St, Monticello, FL 32344","1st and 3rd Wednesdays, 9:30–10:30 AM","RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=1,3",9:30,60,850-545-3116,https://fightinghunger.org/wp-content/uploads/2025/02/Agency-Referral-List-Updated-2.13.25.pdf,Jefferson County residents; call to confirm,walk-in,Agency referral list lists recurring distribution.
Perry,Big Bend,First Assembly of God of Perry – Friday,"828 W Julia St, Perry, FL 32347","1st Friday, 3:00–4:00 PM",RRULE:FREQ=MONTHLY;BYDAY=FR;BYSETPOS=1,15:00,60,850-584-7349,https://fightinghunger.org/wp-content/uploads/2025/02/Agency-Referral-List-Updated-2.13.25.pdf,First-come while supplies last; call to confirm,walk-in,Agency referral list lists recurring distribution.
Perry,Big Bend,First Assembly of God of Perry – Saturday,"828 W Julia St, Perry, FL 32347","3rd Saturday, 9:00 AM until food is gone",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=3,9:00,180,850-584-7349,https://fightinghunger.org/wp-content/uploads/2025/02/Agency-Referral-List-Updated-2.13.25.pdf,First-come while supplies last; call to confirm,walk-in,Agency referral list lists recurring distribution.
Perry,Big Bend,First United Methodist Church of Perry Food Pantry,"302 N Jefferson St, Perry, FL 32347","2nd and 4th Saturdays, 10:00 AM until food is gone","RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=2,4",10:00,180,850-584-3028,https://fightinghunger.org/wp-content/uploads/2025/02/Agency-Referral-List-Updated-2.13.25.pdf,First-come while supplies last; call to confirm,walk-in,Agency referral list lists recurring distribution.
Tallahassee,Big Bend,Good News Outreach Food Pantry,"606 W 4th Ave, Tallahassee, FL 32303","Wednesdays and Thursdays, 9:00 AM–2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=WE,TH",9:00,300,850-692-3301,https://www.freefood.org/l/fl_tallahassee_good-news-outreach,Leon County residency proof; once per month; call to confirm current hours,walk-in,Directory reports walk-in pantry hours; senior meal delivery is excluded.
Tallahassee,Big Bend,Good Samaritan Network Food Distribution,"2706 N Monroe St, Tallahassee, FL 32303","Monday–Friday, 10:30 AM–12:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:30,120,850-297-1113,https://gsncares.org/food,Individuals and families; available while food lasts,walk-in,Official site says hours may be affected by food availability.
Tallahassee,Big Bend,Manna on Meridian – Monthly Drive-Thru,"2200 N Meridian Rd, Tallahassee, FL 32303","3rd Saturday, 8:00–9:30 AM",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=3,8:00,90,850-385-6151,https://www.mannaonmeridian.org/,No barriers stated; drive-thru; supplies limited,drive-thru,Monthly distribution is held behind Faith Presbyterian Church.
Tallahassee,Big Bend,Manna on Meridian – Weekly Walk-Up,"2200 N Meridian Rd, Tallahassee, FL 32303","Sundays, 11:00 AM until supplies run out (or 12:15 PM)",RRULE:FREQ=WEEKLY;BYDAY=SU,11:00,75,850-385-6151,https://www.mannaonmeridian.org/,No barriers stated; walk-up; supplies limited,walk-in,Weekly Sunday walk-up distribution; site says until supplies run out or 12:15 PM.
Deerfield Beach,Broward,Christ Church Blessings Food Pantry,"100 NE 44th St, Deerfield Beach, FL 33064","Mondays, Wednesdays and Fridays 9:00-11:30 AM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,150,954-771-7300,https://www.christchurchfl.org/blessing-food-pantry,Walk-in pantry; no appointment stated.,walk-in,Food for families and individuals.
Deerfield Beach,Broward,Christ Church Love in Action Shared Meals,"100 NE 44th St, Deerfield Beach, FL 33064",Wednesdays 4:30-6:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,16:30,90,954-771-7300,https://www.christchurchfl.org/love-in-action-shared-meals,Free meal; walk-in.,hot meal,Shared dinner and clothing distribution.
Deerfield Beach,Broward,Christ Church Love in Action Shared Meals,"100 NE 44th St, Deerfield Beach, FL 33064",Sundays 9:00-10:00 AM,RRULE:FREQ=WEEKLY;BYDAY=SU,9:00,60,954-771-7300,https://www.christchurchfl.org/love-in-action-shared-meals,Free meal; walk-in.,hot meal,Shared breakfast and clothing distribution.
Fort Lauderdale,Broward,United Church of Christ Ruth Ministry,"2501 NE 30th St, Fort Lauderdale, FL 33306",Thursdays 11:00 AM,RRULE:FREQ=WEEKLY;BYDAY=TH,11:00,60,954-563-4271,https://www.uccftl.org/ruthministry,All welcome; walk-in.,hot meal,Meal plus clothing and toiletries.
Hollywood,Broward,Hollywood Community Church Open Heart Pantry,"1708 N State Road 7, Hollywood, FL 33021",Saturdays 8:30-9:30 AM,RRULE:FREQ=WEEKLY;BYDAY=SA,8:30,60,954-322-4302,https://ourhcc.org/foodpantry,No questions asked; drive-through and walk-up.,drive-thru,Enter from Taft Street.
Hollywood,Broward,Jubilee Center of South Broward,"2020 Scott St, Hollywood, FL 33020",Monday-Friday 11:00 AM-12:15 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:00,75,954-920-0106,https://jubileecenterbroward.com/programs.html,Hot meal walk-in; pantry requires proof of address and has weekly limits.,hot meal,Pantry access also available via social-services intake.
