city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Alpharetta,Atlanta Metro,St. James Community Church Free Food Program,"3000 Webb Bridge Road, Alpharetta, GA 30009","Tuesdays and Thursdays, 6:30-8:30 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",18:30,120,678-762-1543,https://stjamescca.org/event/2026-2-2-2/,Walk-up; no appointment requirement stated.,walk-in,Atlanta Food Bank partner; supplies distributed while available.
Alpharetta,Atlanta Metro,St. James Community Church Free Food Program,"3000 Webb Bridge Road, Alpharetta, GA 30009","Last Friday monthly, 9:30 AM-12:00 PM",RRULE:FREQ=MONTHLY;BYDAY=FR;BYSETPOS=-1,9:30,150,678-762-1543,https://stjamescca.org/event/2026-2-2-2/,Walk-up; no appointment requirement stated.,walk-in,Monthly Friday service; holiday weekends move to prior weekend.
Alpharetta,Atlanta Metro,St. James Community Church Free Food Program,"3000 Webb Bridge Road, Alpharetta, GA 30009","Last Saturday monthly, 11:30 AM-1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=-1,11:30,90,678-762-1543,https://stjamescca.org/event/2026-2-2-2/,Walk-up; no appointment requirement stated.,drive-thru,Monthly Saturday walk-up/drive-thru; holiday weekends move prior weekend.
Atlanta,Atlanta Metro,Angie's Kitchen,"2033 Joseph E. Boone Blvd NW, Atlanta, GA 30314","Monday-Friday, 9:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,180,404-287-8292,https://angieskitchen.org/get-help,No appointment; walk in.,hot meal,Hot meals and pantry bags; supplies vary.
Atlanta,Atlanta Metro,Georgia Harm Reduction Coalition - Parker Center,"759 Joseph E. Boone Blvd NW, Atlanta, GA 30314",Wednesdays 12:00-1:00 PM; Fridays 1:00-2:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=WE,FR",12:00,60,,https://www.foodhelpline.org/resources/georgia-harm-reduction-coalition-1,Walk-in; first come until food runs out.,hot meal,Groceries and hot meals; hours may vary by service.
Atlanta,Atlanta Metro,Intown Cares Food Pantry,"1026 Ponce de Leon Ave NE, Atlanta, GA 30306","Tuesdays and Saturdays, 10:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,SA",10:00,120,404-590-6956,https://www.intowncares.org/food,"No ID/documentation; first come, first served.",walk-in,Anyone experiencing food insecurity; twice-weekly access.
Atlanta,Atlanta Metro,Suthers Center Food Pantry,"3110 Ashford Dunwoody Rd NE, Atlanta, GA 30319","Every Saturday, 8:00-10:00 AM",RRULE:FREQ=WEEKLY;BYDAY=SA,8:00,120,,https://www.sutherscenter.org/,First come; DeKalb County and surrounding areas; ID for utility aid.,drive-thru,Stay in vehicle; food while supplies last.
College Park,Atlanta Metro,ServFirst Inc. Food Pantry,"6045 Riverdale Rd, College Park, GA 30349","Thursdays, 9:00 AM-2:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,300,770-731-0839,https://sites.vivery.org/servfirst-incfood-pantry/college-park-ga/5269,Walk-ins accepted; proof of identification.,walk-in,No service-area restriction listed; outdoor/curbside options.
College Park,Atlanta Metro,ServFirst Inc. Food Pantry,"6045 Riverdale Rd, College Park, GA 30349","Third Saturday monthly, 9:00 AM-2:00 PM",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=3,9:00,300,770-731-0839,https://sites.vivery.org/servfirst-incfood-pantry/college-park-ga/5269,Walk-ins accepted; proof of identification.,walk-in,Monthly Saturday distribution; verify before travel.
College Park,Atlanta Metro,World Changers Church International Food Pantry,"2500 Burdett Rd, College Park, GA 30349","Wednesdays, 10:00-11:30 AM",RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,90,770-210-5757,https://foodpantries.org/li/world_changers_church_international_ministry_of_resources_30349,"Walk-in; photo ID, proof of residence; child birth certificates if requesting child aid.",walk-in,Fulton County listing; call to confirm current intake.
East Point,Atlanta Metro,Community ImPACT Food Pantry,"2323 Sylvan Road, East Point, GA 30344",Sundays 9:00 AM-1:00 PM; Tuesdays 10:00 AM-3:00 PM; Thursdays 4:00-6:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=SU,TU,TH",9:00,240,404-577-2826,https://impactdcd.org/foodpantry,Walk-in service; requirements not stated.,walk-in,Separate weekday windows; call if status changes.
East Point,Atlanta Metro,East Point First Mallalieu UMC Food Pantry,"2651 Church Street, East Point, GA 30344","First and third Thursday monthly, 8:30-10:00 AM","RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=1,3",8:30,90,404-761-3183,https://foodpantries.org/li/world_changers_church_international_ministry_of_resources_30349,First come; College Park/East Point; proof of residence or lease.,walk-in,Older directory schedule; call to verify before publishing.
Kennesaw,Atlanta Metro,Beth Day Memorial Food Pantry,"3206 Old Hwy 41, Kennesaw, GA 30144","First and third Saturday monthly, 11:00 AM-1:00 PM","RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=1,3",11:00,120,678-574-0005,https://ampleharvest.org/food-pantries/beth-day-memorial-food-pantry-1794/,Open to anyone; first come; no pre-registration.,walk-in,Directory listing last updated Mar 2023; verify current operation.
Marietta,Atlanta Metro,Pantry on Church - First Presbyterian Church,"189 Church Street, Marietta, GA 30060","Tuesdays, 5:00-7:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,17:00,120,770-427-0293,https://fpcmarietta.org/pantry/,Walk/drive-up welcome; no appointment stated.,drive-thru,Drive-through pickup in west parking lot; serves 400 families weekly.
Marietta,Atlanta Metro,There's Hope for the Hungry - St. Peter & St. Paul,"1795 Johnson Ferry Road, Marietta, GA 30062","First Tuesday monthly, 10:00 AM-1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=1,10:00,180,678-460-7526,https://www.foodhelpline.org/resources/there-s-hope-for-the-hungry-inc-marietta-st-peter-st-paul,No appointment; walk in.,walk-in,Directory schedule; verify host date before calendar publication.
Riverdale,Atlanta Metro,VIC Hope House Food Pantry,"6398 Highway 85, Riverdale, GA 30274","Every Thursday, 2:30-5:00 PM or until food is gone",RRULE:FREQ=WEEKLY;BYDAY=TH,14:30,150,770-744-7478,https://www.victoryinchrist.life/food-pantry,"First come, first served; no questions asked.",walk-in,Free groceries; distribution ends when food runs out.
Smyrna,Atlanta Metro,Church Street Food Pantry,"810 Church Street SE, Smyrna, GA 30080","Second and fourth Tuesday monthly, 1:00-5:00 PM","RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=2,4",13:00,240,470-344-8968,https://churchstreetcrc.org/food-pantry/,"First come, first served; one package per family while supplies last.",walk-in,Fresh and shelf-stable groceries; schedule subject to change.
Augusta,Augusta Area,Downtown Cooperative Church Ministries Pantry,"St. John UMC parking lot / Telfair St., Augusta, GA 30901","3rd Saturday monthly, 9:00–11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=3SA,9:00,120,706-722-3530,https://dccmpantry.org/food-distribution/,Richmond/Columbia and listed CSRA counties; Georgia photo ID; walk-ups welcome,drive-thru,Drive-up line on Telfair St.; first-come until food runs out.
Augusta,Augusta Area,The Master's Table Community Kitchen,"702 Fenwick St., Augusta, GA 30901","Daily hot lunch, 11:00 AM–12:00 PM",RRULE:FREQ=DAILY,11:00,60,706-722-0607,https://goldenharvest.org/our-impact/our-programs/the-masters-table/,Open to anyone; no appointment,hot meal,"Golden Harvest says hot meal daily, 365 days/year."
