city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Hilo,Big Island,The Food Basket – Hilo Warehouse,"40 Holomua St, Hilo, HI 96720","Monday–Friday, 1:00pm–3:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,120,808-933-6030,https://www.hawaiifoodbasket.org/find-food-now,Emergency food open to everyone; no preregistration or list,walk-in,One emergency-food visit per week stated.
Kailua-Kona,Big Island,Salvation Army – Kona,"75-223 Kalani St, Kailua-Kona, HI 96740","Tuesdays, 11:00am–12:30pm",RRULE:FREQ=WEEKLY;BYDAY=TU,11:00,90,808-326-2330,https://www.hawaiifoodbasket.org/find-food-now,Public pantry hours; call ahead for changes,walk-in,Top of Hamburger Hill; except holidays.
Kailua-Kona,Big Island,The Food Basket – Kona Warehouse,"73-4161 Ulu Wini Pl, Kailua-Kona, HI 96740","Monday–Friday, 1:00pm–2:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,60,808-322-1418,https://www.hawaiifoodbasket.org/find-food-now,Emergency food open to everyone; no preregistration or list,walk-in,One emergency-food visit per week stated.
Kailua-Kona,Big Island,The Friendly Place – breakfast,"55-5955 Pawai Pl, Kailua-Kona, HI 96740","Mondays, 8:30am–9:00am",RRULE:FREQ=WEEKLY;BYDAY=MO,8:30,30,808-217-6183,https://www.hawaiifoodbasket.org/find-food-now,Open meal service; no appointment stated,hot meal,Free breakfast; except holidays.
Kailua-Kona,Big Island,The Friendly Place – lunch,"55-5955 Pawai Pl, Kailua-Kona, HI 96740","Mondays, 11:00am–12:00pm",RRULE:FREQ=WEEKLY;BYDAY=MO,11:00,60,808-217-6183,https://www.hawaiifoodbasket.org/find-food-now,Open meal service; no appointment stated,hot meal,Free lunch; except holidays.
Lihue,Kauai,Kauai Independent Food Bank – community distribution,"3285 Waʻapa Rd, Lihue, HI 96766","Second and fourth Wednesday monthly, 10:00am until supplies run out","RRULE:FREQ=MONTHLY;BYDAY=2WE,4WE",10:00,180,808-246-3809,https://www.kauaifoodbank.org/get-help/,Free community distribution; no income requirement stated,walk-in,Bring bags; supplies may run out early.
Lihue,Kauai,Kauai Independent Food Bank – warehouse emergency distribution,"3285 Waʻapa Rd, Lihue, HI 96766","Monday–Friday, 10:00am–1:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,180,808-246-3809,https://www.kauaifoodbank.org/get-help/,Warehouse-door emergency distribution; no income requirement,walk-in,Operating days exclude weekends and holidays.
Wainiha,Kauai,Hawaiʻi Foodbank Kauaʻi Mobile Pantry,"Behind Wainiha Country Market, Wainiha, HI 96746","Last Wednesday monthly, 2:00pm–4:00pm",RRULE:FREQ=MONTHLY;BYDAY=-1WE,14:00,120,808-482-2225,https://kauainownews.com/2026/05/05/kaua%ca%bbi-community-market-offers-space-for-hawai%ca%bbi-foodbanks-mobile-truck-on-north-shore/,Open to anyone; on-site signup; no cost or ongoing obligation,mobile pantry,Capacity may fill; check latest local update.
Hana,Maui County,Feed My Sheep – Hana,"Hana Hwy at Hauoli Rd, Hana, HI 96713","Last Wednesday monthly, 4:00pm–5:00pm",RRULE:FREQ=MONTHLY;BYDAY=-1WE,16:00,60,808-872-9100,https://www.feedmysheepmaui.org/food-distribution,"Income qualification and household ID; site registration only, no advance registration",mobile pantry,Line forms after 4pm; hours may change.
Kahului,Maui County,Feed My Sheep – Central Distribution,"65 W Kamehameha Ave, Kahului, HI 96732","Saturdays, 9:00am–12:00pm",RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,180,808-872-9100,https://www.feedmysheepmaui.org/food-distribution,"Income qualification and household ID; site registration only, no advance registration",mobile pantry,Arrive at start; bring bags. Outdoor distribution.
