city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Boise,Boise Metro,Society of St. Vincent de Paul Southwest Idaho,"3209 W Overland Rd, Boise, ID 83705","Tuesdays and Fridays, 10:00am–12:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,FR",10:00,120,208-333-1460,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/society-st-vincent-de-paul-southwest-idaho,Pantry; walk-in; no appointment stated,walk-in,Pantry and meal site.
Boise,Boise Metro,St. Mary’s Church & Food Bank,"3890 W State St, Boise, ID 83702","Mondays and Fridays, 11:00am–2:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,FR",11:00,180,208-345-2734,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/st-marys-church-food-bank,Pantry; walk-in; no appointment stated,walk-in,Except holidays; confirm closures.
Caldwell,Boise Metro,Farmway Village Mobile Pantry,"22730 Farmway Rd, Caldwell, ID 83605","4th Thursday, 6:30–8:30pm",RRULE:FREQ=MONTHLY;BYDAY=4TH,18:30,120,,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/farmway-village-mobile-pantry-canyon-county,Mobile pantry; walk-in; no appointment stated,mobile pantry,Except holidays.
Garden City,Boise Metro,Vineyard Christian Fellowship of Boise,"4950 Bradley St, Garden City, ID 83714","Wednesdays and Saturdays, 10:00am–12:00pm","RRULE:FREQ=WEEKLY;BYDAY=WE,SA",10:00,120,208-377-1477,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/vineyard-christian-fellowship-boise,Pantry; walk-in; no appointment stated,walk-in,
Meridian,Boise Metro,Meridian Food Bank,"133 W Broadway Ave, Meridian, ID 83642","Mondays and Wednesdays–Thursdays, 12:00–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,TH",12:00,240,208-888-5102,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/meridian-food-bank,Photo ID; household names and birth dates; walk-in service,drive-thru,Official listing calls this drive-through pantry service.
Meridian,Boise Metro,St. Vincent de Paul – Holy Apostles,"6300A N Meridian Rd, Meridian, ID 83646","Mondays, Wednesdays and Fridays, 1:00–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",13:00,180,,https://www.svdpid.org/foodpantries,Community pantry; walk-in; no appointment stated,walk-in,Thursday evening runs 5:30–7:00pm; verify holiday changes.
Meridian,Boise Metro,St. Vincent de Paul – Holy Apostles,"6300A N Meridian Rd, Meridian, ID 83646","Thursdays, 5:30–7:00pm",RRULE:FREQ=WEEKLY;BYDAY=TH,17:30,90,,https://www.svdpid.org/foodpantries,Community pantry; walk-in; no appointment stated,walk-in,Thursday evening runs 5:30–7:00pm; verify holiday changes.
Mountain Home,Boise Metro,St. Vincent de Paul – Our Lady of Good Counsel,"342 E Jackson St, Mountain Home, ID 83647","4th Tuesday, 4:00–5:30pm",RRULE:FREQ=MONTHLY;BYDAY=4TU,16:00,90,,https://www.svdpid.org/foodpantries,Community pantry; walk-in; no appointment stated,walk-in,Pantry open 4th Tuesday.
Nampa,Boise Metro,St. Vincent de Paul – Our Lady of Guadalupe,"2920 E Railroad St, Nampa, ID 83687","Tuesdays and Thursdays, 3:00–5:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",15:00,120,,https://www.svdpid.org/foodpantries,Community pantry; walk-in; no appointment stated,walk-in,
Nampa,Boise Metro,The Traveling Table Mobile Food Pantry – Nampa Housing Authority,"3rd St N & Johnson Dr, Nampa, ID 83686","4th Wednesday, 12:30–2:30pm",RRULE:FREQ=MONTHLY;BYDAY=4WE,12:30,120,,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/traveling-table-mobile-food-pantry-nampa-housing-authority,Mobile pantry; walk-in; no appointment stated,mobile pantry,Monthly schedule from Idaho DHW listing.
Blackfoot,Eastern Idaho,Blackfoot Community Dinner Table Pantry,"245 W Sexton St, Blackfoot, ID 83221","Wednesdays, 3:00–6:00pm",RRULE:FREQ=WEEKLY;BYDAY=WE,15:00,180,,https://www.eastidahonews.com/2025/01/community-dinner-table-returns-after-holidays-and-100000-meals-served/,One food box per household; walk-in; food-insecure households,walk-in,Published schedule; confirm current location before visit.
Blackfoot,Eastern Idaho,Community Dinner Table Hot Meal,"Jason Lee Memorial United Methodist Church, Blackfoot, ID","Tuesdays, 5:00–6:30pm (November–March)",RRULE:FREQ=WEEKLY;BYDAY=TU,17:00,90,,https://www.eastidahonews.com/2025/01/community-dinner-table-returns-after-holidays-and-100000-meals-served/,Open to anyone needing a meal; walk-in,hot meal,Seasonal November–March schedule.
Idaho Falls,Eastern Idaho,Community Food Basket – Idaho Falls,"245 Placer Ave, Idaho Falls, ID 83403","Monday–Friday, 4:00–5:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",16:00,60,208-524-0994,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/community-food-basket-idaho-falls,Pantry; walk-in; no appointment stated,walk-in,Except holidays.
Idaho Falls,Eastern Idaho,St. Vincent de Paul Social Services – Idaho Falls,"805 S Holmes Ave, Idaho Falls, ID 83401","Mondays, Wednesdays and Fridays, 1:00–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",13:00,180,208-522-6280,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/st-vincent-de-paul-social-services-idaho-falls,Food assistance; walk-in; no appointment stated,walk-in,
Idaho Falls,Eastern Idaho,The Salvation Army – Idaho Falls,"605 N Blvd, Idaho Falls, ID 83402","Mondays, Tuesdays and Thursdays–Fridays, 9:30am–12:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH,FR",9:30,180,208-522-7200,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/salvation-army-idaho-falls-0,Food assistance; walk-in; no appointment stated,walk-in,Except holidays.
Pocatello,Eastern Idaho,St. Vincent de Paul Pocatello Food Pantry,"855 S 2nd Ave, Pocatello, ID 83201","Wednesdays, 10:00am–1:00pm",RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,180,208-478-2062,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/st-vincent-de-paul-pocatello-food-pantry,Pantry; walk-in; no appointment stated,walk-in,Call for other services.
Coeur D’Alene,North Idaho,Altar Ministries Food Pantry,"901 E Best Ave, Coeur d’Alene, ID 83814","Mondays and Wednesdays, 11:00am–2:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",11:00,180,208-664-1453,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/altar-ministries-food-pantry,Pantry; walk-in; no appointment stated,walk-in,Except holidays.
Coeur D’Alene,North Idaho,Lake City Community Food Bank,"6000 N Ramsey Rd, Coeur d’Alene, ID 83815","Mondays, 2:00–4:30pm",RRULE:FREQ=WEEKLY;BYDAY=MO,14:00,150,208-676-0632,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/lake-city-community-food-bank,"Proof of residency; serves Coeur d’Alene, Hayden, Rathdrum, Spirit Lake and Athol",walk-in,Residency restriction.
Lewiston,North Idaho,Hope Haven Gospel Mission Food Pantry/Giveaway Center,"Lewiston, ID","Mondays, Wednesdays and Fridays, 10:00–11:30am","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",10:00,90,,https://www.hopehavengospelmission.net/hours-of-operation,Walk-in; first-come line; valid ID may be needed for other mission services,walk-in,Address not published in retrieved source; confirm before travel.
Moscow,North Idaho,Moscow Food Bank,"110 N Polk St, Moscow, ID 83843","Tuesday–Friday, 2:00–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",14:00,120,208-882-4813,https://www.sojournersalliance.org/community-resources.html,Pantry; walk-in; no appointment stated,walk-in,Closes Thanksgiving and Christmas per local report.
Twin Falls,South Central Idaho,SCCAP Food Pantry,"550 Washington St S, Twin Falls, ID 83301","Mondays, Tuesdays and Thursdays, 8:00am–4:00pm (closed 11am–1pm)","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH",8:00,480,208-733-9351,https://healthandwelfare.idaho.gov/food-banks-food-sites-and-food-pantries/sccap-food-pantry,Pantry; walk-in; local program requirements may apply,walk-in,Closed 11:00am–1:00pm. Except holidays.
