city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Champaign,Champaign Area,Daily Bread Soup Kitchen,"116 N First St, Champaign, IL 61820",Daily 10:30 AM-12:30 PM,RRULE:FREQ=DAILY,10:30,120,217-607-1418,https://dailybreadsoupkitchen.com/,Open to anyone; dine-in or takeout.,hot meal,Free hot lunch; closed major holidays.
Champaign,Champaign Area,Faith Church Emergency Food Pantry,"1719 S Prospect Ave, Champaign, IL 61820",Monday and Tuesday 12:00-2:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU",12:00,120,217-359-3631,https://www.champaignfaith.org/foodpantry,One visit per month; no ID; basic intake chart.,walk-in,No appointment necessary.
Champaign,Champaign Area,Faith Church Emergency Food Pantry,"1719 S Prospect Ave, Champaign, IL 61820",Every Wednesday 10:00 AM-12:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,120,217-359-3631,https://www.champaignfaith.org/foodpantry,One visit per month; no ID; basic intake chart.,walk-in,No appointment necessary.
Champaign,Champaign Area,Friends of Champaign County Food Pantry,"201 W Kenyon Rd, Champaign, IL 61820",Every Sunday 1:00-3:00 PM,RRULE:FREQ=WEEKLY;BYDAY=SU,13:00,120,217-352-7961,https://friendsofchampaigncounty.org/346-2/,"First-come, first-served; while supplies last.",walk-in,Walk-up/drive-up pantry.
Champaign,Champaign Area,Grace Lutheran Food Pantry,"313 S Prospect Ave, Champaign, IL 61821",Every Thursday 10:00 AM-12:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,10:00,120,217-356-6232,https://glccu.org/food-pantry-information/,Champaign County; once per month.,drive-thru,Drive-thru distribution.
Champaign,Champaign Area,St. Luke CME Food Pantry,"809 N 5th St, Champaign, IL 61820",3rd Saturday 10:00 AM-12:00 PM,RRULE:FREQ=MONTHLY;BYDAY=3SA,10:00,120,217-356-4922,https://studentlegal.illinois.edu/resources/community/food-pantries,Requirements not stated; drive-up or bus stop pickup.,drive-thru,Monthly distribution.
Champaign,Champaign Area,Wesley Food Pantry at Parkland,"2400 W Bradley Ave, Champaign, IL 61821",Every Wednesday 1:00-3:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,13:00,120,217-729-7418,https://wesleypantry.org/index.html,Open to public; not student-only.,walk-in,Public pantry at Parkland.
Champaign,Champaign Area,Wesley Food Pantry at Parkland,"2400 W Bradley Ave, Champaign, IL 61821",1st and 3rd Saturday 10:00 AM-12:00 PM,"RRULE:FREQ=MONTHLY;BYDAY=1SA,3SA",10:00,120,217-729-7418,https://wesleypantry.org/index.html,Open to public; not student-only.,walk-in,Public pantry at Parkland.
Urbana,Champaign Area,St. Vincent de Paul Food Pantry at St. Patrick,"708 W Main St, Urbana, IL 61801",Every Tuesday and Thursday 4:00-5:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",16:00,60,217-367-2665,https://www.stpaturbana.org/food-pantry,Photo ID and Champaign County residence; once weekly.,walk-in,Parish center south entrance.
Urbana,Champaign Area,Vineyard Food Pantry at Hope Center,"1802 N Lincoln Ave, Urbana, IL 61801",Every Wednesday 10:00 AM-12:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,120,217-384-3076,https://www.foodpantries.org/li/il_61801_the-vineyard-food-pantry-at-the-hope-center,Champaign County; confirm requirements.,drive-thru,Drive-thru pantry.
Urbana,Champaign Area,Vineyard Food Pantry at Hope Center,"1802 N Lincoln Ave, Urbana, IL 61801",Every Wednesday 5:00-6:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,17:00,60,217-384-3076,https://www.foodpantries.org/li/il_61801_the-vineyard-food-pantry-at-the-hope-center,Champaign County; confirm requirements.,drive-thru,Drive-thru pantry.
Urbana,Champaign Area,Wesley Evening Food Pantry,"1203 W Green St, Urbana, IL 61801",Every Thursday 5:00-7:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,120,217-729-7418,https://wesleypantry.org/index.html,Open to public; no appointment stated.,walk-in,Enter via Goodwin parking entrance.
Chicago,Chicago,Above and Beyond Free Food Pantry,"817 S Pulaski Rd, Chicago, IL 60624",Monday-Friday 12:00-3:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,180,773-823-1660,https://www.anb.tips/,Chicago 60624 service area; GCFD card; walk-ins welcome; sign-up on site,walk-in,Client-choice groceries; closed major holidays.
