city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Anderson,Central Indiana,Second Harvest Food Bank of East Central Indiana,"2811 W Nichol Ave, Anderson, IN 46011","1st & 3rd Fridays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=1FR,3FR",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Old Kmart Parking Lot; arrive no earlier than 2 hours before start.
Elwood,Central Indiana,Second Harvest Food Bank of East Central Indiana,"902 Callaway Park Dr, Elwood, IN 46036","1st & 3rd Tuesdays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=1TU,3TU",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Callaway Park; arrive no earlier than 2 hours before start.
Marion,Central Indiana,Second Harvest Food Bank of East Central Indiana,"1129 N Baldwin Ave, Marion, IN 46952","4th Tuesday, 10 AM",RRULE:FREQ=MONTHLY;BYDAY=4TU,10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Five Points Mall; arrive no earlier than 2 hours before start.
Muncie,Central Indiana,Second Harvest Food Bank of East Central Indiana,"383 W Centennial Ave, Muncie, IN 47303","2nd & 4th Thursdays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=2TH,4TH",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Delaware County Fairgrounds; arrive no earlier than 2 hours before start.
Muncie,Central Indiana,Second Harvest Food Bank of East Central Indiana,"6621 N Old SR 3, Muncie, IN 47303","1st Saturday, 10 AM (some 2026 dates 9 AM)",RRULE:FREQ=MONTHLY;BYDAY=1SA,10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Second Harvest warehouse; arrive no earlier than 2 hours before start.
New Castle,Central Indiana,Second Harvest Food Bank of East Central Indiana,"709 S Memorial Dr, New Castle, IN 47362","2nd & 4th Fridays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=2FR,4FR",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,First Baptist Church; arrive no earlier than 2 hours before start.
Wabash,Central Indiana,Second Harvest Food Bank of East Central Indiana,"2147 IN-15, Wabash, IN 46992","2nd & 4th Wednesdays, 11 AM","RRULE:FREQ=MONTHLY;BYDAY=2WE,4WE",11:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Bachelor Creek Church of Christ; arrive no earlier than 2 hours before start.
Hartford City,East Central Indiana,Second Harvest Food Bank of East Central Indiana,"310 E Park Ave, Hartford City, IN 47348","1st & 3rd Thursdays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Blackford County Fairgrounds; arrive no earlier than 2 hours before start.
Winchester,East Central Indiana,Second Harvest Food Bank of East Central Indiana,"701 N Union St, Winchester, IN 47394","2nd & 4th Fridays, 10 AM","RRULE:FREQ=MONTHLY;BYDAY=2FR,4FR",10:00,120,765-287-8698,https://curehunger.org/get-help/tailgates/,"Everyone welcome; no ID, proof of address, or income; while supplies last",drive-thru,Goodrich Park; arrive no earlier than 2 hours before start.
Albion,Fort Wayne Area,Community Harvest Food Bank - Farm Wagon,"200 Weber Rd, Albion, IN 46701","Fridays, 9 AM",RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,120,260-447-3696,https://www.communityharvest.org/wp-content/uploads/2025/04/2025-04-Farm-Wagon-Printable-Schedule-share.pdf,No signup or voucher; open to anyone in need; first-come; TEFAP form optional for extra product,drive-thru,Food varies; cancellations possible for holidays/weather.
Angola,Fort Wayne Area,Community Harvest Food Bank - Farm Wagon,"2201 N Wayne St, Angola, IN 46703","1st, 3rd & 5th Thursdays, 9 AM","RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH,5TH",9:00,120,260-447-3696,https://www.communityharvest.org/wp-content/uploads/2025/04/2025-04-Farm-Wagon-Printable-Schedule-share.pdf,No signup or voucher; open to anyone in need; first-come; TEFAP form optional for extra product,drive-thru,Food varies; cancellations possible for holidays/weather.
Auburn,Fort Wayne Area,Community Harvest Food Bank - Farm Wagon,"1800 E 7th St, Auburn, IN 46706","2nd & 4th Mondays, 9 AM","RRULE:FREQ=MONTHLY;BYDAY=2MO,4MO",9:00,120,260-447-3696,https://www.communityharvest.org/wp-content/uploads/2025/04/2025-04-Farm-Wagon-Printable-Schedule-share.pdf,No signup or voucher; open to anyone in need; first-come; TEFAP form optional for extra product,drive-thru,Food varies; cancellations possible for holidays/weather.
