city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Cedar Rapids,Cedar Rapids-Iowa City,Bethany Lutheran Food Pantry,"2202 Forest Dr SE, Cedar Rapids, IA 52403",Sunday 13:00-15:00,RRULE:FREQ=WEEKLY;BYDAY=SU,13:00,120,319-364-6026,https://www.bethanycr.org/food-pantry/,Community pantry; walk in,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,Elayne Fisher Community Cupboard,"3791 Blairs Ferry Rd NE, Cedar Rapids, IA 52402",Tuesday 10:00-12:30,RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,150,319-393-5422,https://unitycr.org/programs/community-cupboard,No requirements or paperwork,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,First Church of the Open Bible Pantry,"1911 E Avenue NW, Cedar Rapids, IA 52405",Fourth Saturday 10:00-12:00,RRULE:FREQ=MONTHLY;BYDAY=4SA,10:00,120,319-363-3117,https://search.ne211.org/search/d1c83ee3-382a-5902-be25-1c0f244d361b,Anyone; no appointment,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,Linn Community Food Bank,"310 5th St SE, Cedar Rapids, IA 52401","Mon, Wed, Fri 13:00-15:00","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",13:00,120,319-364-3543,https://linncommunityfoodbank.org/,Call ahead; local pantry,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,Loaves & Fishes Food Pantry,"1285 3rd Ave SE, Cedar Rapids, IA 52403",Tuesday 14:30-17:00,RRULE:FREQ=WEEKLY;BYDAY=TU,14:30,150,319-366-7185,https://www.crwpc.org/loaves-and-fishes,Everyone welcome; walk in,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,Open Hands Food Pantry,"6455 E Ave NW, Cedar Rapids, IA 52405",Monday 17:00-18:00,RRULE:FREQ=WEEKLY;BYDAY=MO,17:00,60,319-396-6608,https://cedarhillscr.org/foodpantry/,No income requirement; up to 2 visits/month,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,Open Hands Food Pantry,"6455 E Ave NW, Cedar Rapids, IA 52405",Wednesday 10:00-12:00,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,120,319-396-6608,https://cedarhillscr.org/foodpantry/,No income requirement; up to 2 visits/month,walk-in,
Cedar Rapids,Cedar Rapids-Iowa City,River of Life Church Food Pantry,"3801 Blairs Ferry Rd NE, Cedar Rapids, IA 52402",Wednesday 08:00-10:00,RRULE:FREQ=WEEKLY;BYDAY=WE,8:00,120,319-393-3709,https://riveroflife.org/food-pantry/,Once/month per family; walk in,walk-in,
Iowa City,Cedar Rapids-Iowa City,CommUnity Food Bank at Pepperwood,"1045 Highway 6 E, Iowa City, IA 52240",Mon 12:00-16:30,RRULE:FREQ=WEEKLY;BYDAY=MO,12:00,270,319-351-0128,https://builtbycommunity.org/i-need-help/food-bank/,Walk-in; Johnson residents get full membership; check-in on site,walk-in,
Iowa City,Cedar Rapids-Iowa City,CommUnity Food Bank at Pepperwood,"1045 Highway 6 E, Iowa City, IA 52240",Tue 12:00-19:00,RRULE:FREQ=WEEKLY;BYDAY=TU,12:00,420,319-351-0128,https://builtbycommunity.org/i-need-help/food-bank/,Walk-in; Johnson residents get full membership; check-in on site,walk-in,
