city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Basehor,Kansas City KS Metro,Basehor UMC Pantry,"18660 158th St, Basehor, KS 66007",Thursday 5-6pm,RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,60,913-406-9856,https://kansasfoodsource.org/category/help-agency/,Basehor/Linwood School District residents,walk-in,
Bonner Springs,Kansas City KS Metro,Christ First Ministries,"229 N Neconi Ave, Bonner Springs, KS 66012",Saturday 10am-1pm,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,180,913-400-1188,https://kansasfoodsource.org/category/help-agency/page/2/,Call to confirm hours,walk-in,
Gardner,Kansas City KS Metro,Divine Mercy Parish Mobile,"555 W Main St, Gardner, KS 66030",1st Thursday 1-2pm,RRULE:FREQ=MONTHLY;BYDAY=TH,13:00,60,469-237-0782,https://kansasfoodsource.org/category/help-agency/page/3/,Call to confirm,drive-thru,
Kansas City,Kansas City KS Metro,Agape Multicultural SDA,"1117 N 28th St, Kansas City, KS 66102",Saturday 3-5pm,RRULE:FREQ=WEEKLY;BYDAY=SA,15:00,120,913-306-4455,https://kansasfoodsource.org/category/help-agency/,Call to confirm hours,walk-in,
Kansas City,Kansas City KS Metro,American Indian Mobile Distribution,"853 Washington Blvd, Kansas City, KS 66102",3rd Saturday 1-2:30pm,RRULE:FREQ=MONTHLY;BYDAY=SA,13:00,90,913-912-7910,https://kansasfoodsource.org/category/help-agency/,Call to confirm; mobile distribution,mobile pantry,
Kansas City,Kansas City KS Metro,Cross Lines Community Outreach Pantry,"Kansas City, KS 66105",Tue-Thu 9am-noon & 1-3pm; Fri 9am-noon,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",9:00,360,913-281-3388,https://www.foodpantries.org/ci/ks-kansas_city,Walk-in; seniors-only Monday excluded,walk-in,
Kansas City,Kansas City KS Metro,Dynamic Life Baptist Ministries Pantry,"Kansas City, KS 66102",1st & 3rd Sat noon-2pm,RRULE:FREQ=MONTHLY;BYDAY=SA,12:00,120,913-233-1866,https://www.foodpantries.org/ci/ks-kansas_city,No income restrictions; confirm address,walk-in,
Kansas City,Kansas City KS Metro,Forest Grove Baptist Pantry,"Kansas City, KS 66101",Mon-Fri 11am-1pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:00,120,913-342-7648,https://www.foodpantries.org/ci/ks-kansas_city,Confirm street address,walk-in,
Kansas City,Kansas City KS Metro,Giving Hope Food Pantry,"Kansas City, KS 66102",Sat 9-11am; 1st/3rd Tue 6-7pm,RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,120,913-915-6183,https://www.foodpantries.org/ci/ks-kansas_city,Wyandotte County and surrounding communities; confirm address,drive-thru,
Kansas City,Kansas City KS Metro,St Paul's Neighborhood Pantry,"Kansas City, KS 66102",Wed noon-2:30pm; Sat 10am-12:30pm,"RRULE:FREQ=WEEKLY;BYDAY=WE,SA",10:00,150,913-321-3535,https://www.foodpantries.org/ci/ks-kansas_city,Confirm street address,walk-in,
Kansas City,Kansas City KS Metro,The Hub,"3730 Metropolitan Ave, Kansas City, KS 66106",Tue 9am-noon; 2nd Sat 10am-noon,RRULE:FREQ=WEEKLY;BYDAY=TU,9:00,180,913-831-4531,https://www.harvesters.org/location/the-hub,Call to confirm hours,walk-in,
