city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Greenup,Eastern Kentucky,Lloyd Church of the Nazarene Food Pantry,"157 Ohio River Road, Greenup, KY 41144",Third Tuesday of each month 5:30 pm-6:30 pm,RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=3,17:30,60,606-473-7279,https://uwnek211.myresourcedirectory.com/index.php?code=BD&id=4448579&option=com_cpx&search_history_id=234305465&task=resource.view,"Greenup County resident; picture ID, proof of residency and proof of income",walk-in,
Greenup,Eastern Kentucky,Wurtland Church of God Food Pantry,"3361 State Route 503, Greenup, KY 41144",Third Thursday of each month 10:00 am-12:00 noon,RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=3,10:00,120,606-836-0557,https://uwbg211.org/index.php?option=com_cpx&task=resource.view&id=4490109&search_history_id=197108483&code=BD-1800,"Greenup County resident; photo ID, proof of income and proof of residency",walk-in,
Inez,Eastern Kentucky,Appalachia Reach Out Food Pantry,"2596 Rockcastle Rd, Inez, KY 41224",Every Wednesday from 10 am to 2 pm,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,240,606-298-7470,https://www.appalachiareachout.com/thrift-store-and-food-pantry,Martin County residents; valid street address and proof of income,walk-in,Once a month on whichever Wednesday the resident chooses.
Morehead,Eastern Kentucky,God's Pantry Food Bank Mobile Pantry,"111 BLC Rd, Morehead, KY 40351","Fourth Friday of each month 11:00 AM; January, March, May, July, September, November","RRULE:FREQ=YEARLY;BYMONTH=1,3,5,7,9,11;BYDAY=FR;BYSETPOS=4",11:00,60,859-255-6592,https://www.godspantry.org/get-help/mobile-pantry,none; prior arrangements are not necessary,mobile pantry,Just show up; alternating-month schedule as published.
Mt. Sterling,Eastern Kentucky,Sterling Community Food Coalition Mobile Pantry,"515 Maysville Road, Mt. Sterling, KY 40353",First Monday each month 11:00 am,RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1,11:00,60,888-765-7232,https://uwbg211.org/search/21eaef25-9dba-5685-988f-b929c89be72f,Montgomery County resident; photo ID,mobile pantry,"211 lists this as a mobile food pantry coordinated with God’s Pantry; call only to confirm changes, not to make an appointment."
Salt Lick,Eastern Kentucky,God's Pantry Food Bank Mobile Pantry,"6367 US-60, Salt Lick, KY 40371","Fourth Friday of each month, 11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=FR;BYSETPOS=4,11:00,60,859-255-6592,https://www.godspantry.org/get-help/mobile-pantry,none; prior arrangements are not necessary,mobile pantry,Just show up.
Salyersville,Eastern Kentucky,Water Into Wine Food Pantry,"5083 Middle Fork Road Suite B, Salyersville, KY 41465",Every Wednesday 9AM-11:30AM,RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,150,606-349-6301,https://waterintowinefoodpantry.weebly.com/,Magoffin County families; income guidelines may apply,walk-in,Third Thursday CSFP/senior distribution is excluded; site also describes Wednesday general pantry service.
Vanceburg,Eastern Kentucky,God's Pantry Food Bank Mobile Pantry,"41 Industrial Park Rd, Vanceburg, KY 41179","First Saturday (after first Friday) of each month, 11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=1,11:00,60,859-255-6592,https://www.godspantry.org/get-help/mobile-pantry,none; prior arrangements are not necessary,mobile pantry,Just show up.
Albany,Kentucky Heartland,Days of Grace Food Pantry,"801 Tennessee Rd., Albany, KY 42602","2nd and 4th Wednesday, 10:00 AM–12:00 PM","RRULE:FREQ=MONTHLY;BYDAY=2WE,4WE",10:00,120,,https://www.wbko.com/2025/11/03/list-food-banks-across-south-central-kentucky/,Clinton County residents; call required for emergency boxes only,walk-in,Regular pantry schedule; emergency boxes have separate call-first process.
Bardstown,Kentucky Heartland,Bread for Life Community Food Pantry,"1065A Bloomfield Rd., Bardstown, KY 40004","Monday and Wednesday, 12:30–4:00 PM (1st and 3rd Wednesday until 6:00 PM)","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",12:30,210,502-348-7270,https://www.svdpbard.org/,Nelson County residents below federal poverty level,walk-in,Client-choice pantry; 1st/3rd Wednesday evening extension; source publishes client hours.
Bardstown,Kentucky Heartland,Bread for Life Community Food Pantry,"1065A Bloomfield Rd., Bardstown, KY 40004","Tuesday and Thursday, 9:00 AM–4:00 PM (closed 11:45 AM–12:30 PM)","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",9:00,420,502-348-7270,https://www.svdpbard.org/,Nelson County residents below federal poverty level,walk-in,Client-choice pantry; closed for lunch; source publishes client hours.
Bardstown,Kentucky Heartland,Harvest Food Pantry,"5231 Louisville Rd., Bardstown, KY 40004","Every Thursday, 3:00–6:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,15:00,180,270-307-0093,https://www.pmg-ky2.com/kystandard/features/harvest-food-pantry-serves-nearly-300-families-in-nelson-co/article_ac3e0741-6859-501f-a35d-2387af4aca96.html,none,drive-thru,Food is distributed to cars; approximately 20 pounds while supplies last.
Burkesville,Kentucky Heartland,Feed My Sheep Food Pantry,"118 S. Main St., Burkesville, KY 42717","Every Tuesday, 10:00 AM–12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,120,616-283-0657,https://uwbg211.org/search/1a2fcb63-6ea8-56b8-b13c-77f4cebec293,Cumberland County residents; photo ID if available,walk-in,211 listing identifies walk-in application.
Elizabethtown,Kentucky Heartland,Helping Hand of Hope,"6796 S. Wilson Rd., Elizabethtown, KY 42701","Every Friday, 7:30 AM–4:00 PM",RRULE:FREQ=WEEKLY;BYDAY=FR,7:30,510,,https://feedam.org/resource/207976,none,walk-in,Feed America directory says walk-ins accepted; confirm before travel.
Elizabethtown,Kentucky Heartland,Memorial United Methodist Church USDA Food Distribution,"631 N. Miles St., Elizabethtown, KY 42701","2nd Saturday of each month, 8:00–11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=2SA,8:00,180,270-769-3331,https://mydonaldsky.com/wp-content/uploads/2024/12/McDonalds-Community-Resource-Guide.pdf,Hardin County residents; proof of address,walk-in,Monthly USDA commodities distribution; source guide advises bringing proof of address.
Jamestown,Kentucky Heartland,Greater Hope Outreach,"253 Ballenger Spur Rd., Jamestown, KY 42629",1st Saturday of each month at 8:30 AM,RRULE:FREQ=MONTHLY;BYDAY=1SA,8:30,120,606-306-4214,https://uwbg211.org/search/158fbe18-ed8c-535a-89f9-c4b1865f1fc1,Russell County residents,walk-in,Food boxes; while supplies last.
Radcliff,Kentucky Heartland,Esther's Closet Food & Clothing Pantry,"95 Park Ave., Radcliff, KY 40160","Every Tuesday, 1:00–3:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,13:00,120,270-351-6055,https://www.ampleharvest.org/food-pantries/esthers-closet-9956/,"Residents of Radcliff, Vine Grove or West Point; photo ID, proof of local address, proof of household income; once monthly",walk-in,Food pantry and clothing; no appointment requirement stated.
Radcliff,Kentucky Heartland,Heritage Church Food Pantry,"660 Knox Blvd., Radcliff, KY 40160","1st and 3rd Saturday of each month, 11:00 AM–1:00 PM","RRULE:FREQ=MONTHLY;BYDAY=1SA,3SA",11:00,120,270-351-7770,https://heritageky.org/event/22918259-2026-09-19-food-pantry/,none,drive-thru,Drive-through pantry.
Russell Springs,Kentucky Heartland,God's Food Pantry of Russell County,"55 Dan St., Russell Springs, KY 42642","Monday, Wednesday and Friday, 12:00–4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",12:00,240,270-866-7992,https://www.foodpantries.org/ci/ky-burkesville,Photo ID,walk-in,Public pantry directory schedule; serves Russell County area.
Harrodsburg,Lexington Area,Hope For Harrodsburg Food Pantry,"116 E Broadway St, Harrodsburg, KY 40330",Tuesday 1PM-5PM,RRULE:FREQ=WEEKLY;BYDAY=TU,13:00,240,859-613-2462,https://hopeforharrodsburgfoodpantry.org/,Harrodsburg and Mercer County residents,walk-in,Once a month for groceries.
Harrodsburg,Lexington Area,Hope For Harrodsburg Food Pantry,"116 E Broadway St, Harrodsburg, KY 40330",Thursday 10AM-2PM,RRULE:FREQ=WEEKLY;BYDAY=TH,10:00,240,859-613-2462,https://hopeforharrodsburgfoodpantry.org/,Harrodsburg and Mercer County residents,walk-in,Once a month for groceries.
Lexington,Lexington Area,Lexington Rescue Mission,"535 West Second St, Lexington, KY 40508","Breakfast Monday-Saturday, 9-10 a.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",9:00,60,859-381-9600,https://www.lexingtonrescue.org/,none stated,hot meal,Free meal.
Lexington,Lexington Area,Lexington Rescue Mission,"535 West Second St, Lexington, KY 40508","Lunch Monday-Saturday, noon to 1 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",12:00,60,859-381-9600,https://www.lexingtonrescue.org/,none stated,hot meal,Free meal.
Lexington,Lexington Area,NorthEast Christian Church Food Pantry,"990 Star Shoot Parkway, Lexington, KY 40509",Every Saturday | 10AM to 12PM,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,120,859-299-1251,https://www.ncclex.org/foodpantry,none stated,walk-in,West Wing entrance; closings posted on Facebook.
Lexington,Lexington Area,Sisters Road To Freedom More Than A Pantry,"1018 E. New Circle Road, Lexington, KY 40505",Every Wednesday 1:30-2:30 p.m.,RRULE:FREQ=WEEKLY;BYDAY=WE,13:30,60,,https://fox56news.com/news/local/heres-a-list-of-central-kentucky-food-resources-ahead-of-snap-cutoff/,none stated,walk-in,Saturday event starts at 10 a.m.; source reports this as open pantry service.
Lexington,Lexington Area,Sisters Road To Freedom More Than A Pantry,"1018 E. New Circle Road, Lexington, KY 40505",Saturdays 10 a.m. until noon,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,120,,https://fox56news.com/news/local/heres-a-list-of-central-kentucky-food-resources-ahead-of-snap-cutoff/,none stated,walk-in,Saturday event starts at 10 a.m.; source reports this as open pantry service.
Lexington,Lexington Area,The Nathaniel Mission Mission Market,"1109 Versailles Road, Lexington, KY 40508","Every Tuesday, Wednesday, and Thursday at 1 PM; guests must be checked in by 1:45 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",13:00,60,859-255-0062,https://www.nathanielmission.com/mission-market,picture ID as proof of Fayette County address,walk-in,May shop once a month per household; check-in by 1:45 PM.
Nicholasville,Lexington Area,Bethel Harvest Church / Family Food Center,"3260 Lexington Rd, Nicholasville, KY 40356","Thursdays, 5 pm–6 pm",RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,60,859-399-8315,https://jesspublib.org/food-assistance/,valid photo ID showing Jessamine or Fayette County residency,walk-in,
Nicholasville,Lexington Area,Edgewood Baptist Church Food Pantry,"717 South Main St, Nicholasville, KY 40356","Monday–Thursday, 9 am–3 pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,360,859-885-6211,https://jesspublib.org/food-assistance/,none stated,walk-in,Offers a couple bags of non-perishables as supplies are available.
Nicholasville,Lexington Area,Jessamine County Food Pantry,"104 S 2nd St, Nicholasville, KY 40356","Mondays, open tables from about 10:00 am to 11:30 am",RRULE:FREQ=WEEKLY;BYDAY=MO,10:00,90,859-312-4003,https://jcfoodpantry.org/hours/,photo ID and proof of residence,walk-in,Sign in on arrival; numbers are given out before opening; no need to come earlier.
Nicholasville,Lexington Area,Jessamine County Food Pantry,"104 S 2nd St, Nicholasville, KY 40356","Tuesdays, store open from 12 pm to 4 pm",RRULE:FREQ=WEEKLY;BYDAY=TU,12:00,240,859-312-4003,https://jcfoodpantry.org/hours/,photo ID and proof of residence,walk-in,Sign in on arrival; clients receive food once per month.
Nicholasville,Lexington Area,Jessamine County Food Pantry,"104 S 2nd St, Nicholasville, KY 40356","Thursdays, store open from 2 pm to 6 pm",RRULE:FREQ=WEEKLY;BYDAY=TH,14:00,240,859-312-4003,https://jcfoodpantry.org/hours/,photo ID and proof of residence,walk-in,Sign in on arrival; clients receive food once per month.
