city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Abbeville,Acadiana,Briggs UMC Food Pantry,"710 Huey Street, Abbeville, LA 70510","Friday, 9:00–11:00 AM",RRULE:FREQ=WEEKLY;BYDAY=FR,09:00,120,,https://no-hunger.org/wp-content/uploads/2021/04/SHFB-Partner-Agencies-rev-041621.pdf,none stated,walk-in,"Second Harvest partner-agency schedule; source is older, verify current operation."
Abbeville,Acadiana,St. Mary Magdalen Christian Service Center,"701 Chevis Street, Abbeville, LA 70510","Monday–Thursday, 8:00 AM–4:00 PM; Friday, 8:00 AM–12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",08:00,480,337-893-9756,https://www.serve.love/resources/food-pantries/abbeville-la/,none stated; walk-ins during posted hours,walk-in,Directory lists weekday pantry hours; call ahead because hours can change.
Breaux Bridge,Acadiana,St. Bernard/St. Francis Food Pantry,"701 W Bridge Street, Breaux Bridge, LA 70517","Tuesday, 8:30–10:30 AM",RRULE:FREQ=WEEKLY;BYDAY=TU,08:30,120,337-314-9494,https://sites.vivery.org/st-bernardst-francis-food-pantry/breaux-bridge-la/3909,St. Martin Parish residents; picture ID; household income; brief application completed at pantry,walk-in,Drive-through and client-choice service are both available; income eligibility applies. No appointment is required according to pantry site.
Church Point,Acadiana,New Horizon Church,"162 Napp Street, Church Point, LA 70525","Last Tuesday of each month, 11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=-1TU,11:00,60,337-308-0336,https://acadia.macaronikid.com/guides/625600f602c3101285382e0a/acadia-st-landry-food-pantry-guide,none stated,hot meal,Local pantry guide says the church serves a hot meal and food pantry on the last Tuesday.
Crowley,Acadiana,Crowley Christian Care Center,"726 West Seventh Street, Crowley, LA 70527","Thursday, 9:00 AM–12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,09:00,180,337-783-5811,https://feedam.org/resource/207724,none stated; walk-ins accepted,walk-in,Second Harvest-affiliated food distribution location.
Crowley,Acadiana,Ms. Helen's Soup Kitchen,"117 West 7th Street, Crowley, LA 70526","Monday, Wednesday, and Friday, 10:30 AM–1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",10:30,150,337-783-7374,https://acadia.macaronikid.com/guides/625600f602c3101285382e0a/acadia-st-landry-food-pantry-guide,none stated,hot meal,Local pantry guide lists these open meal-service hours; confirm holiday changes.
Eunice,Acadiana,Eunice Food Bank,"2101 West Ash Avenue, Eunice, LA 70535","Monday, Wednesday, and Friday, 9:00 AM–12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",09:00,180,337-457-7541,https://www.findhelp.org/eunice-food-bank--eunice-la--food-pantry/6541615359590400,photo ID; proof of income for all household members; proof of residency,walk-in,Food pantry for Eunice-area low-income individuals and families; directory says contact or go to the location.
Franklin,Acadiana,Little Zion Community Outreach,"7814 Highway 182, Franklin, LA 70538","Monday, Wednesday, Thursday, and Friday, 9:00 AM–1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,TH,FR",09:00,240,337-350-2030,https://smplib.org/community-food-assistance/,none stated,walk-in,St. Mary Parish Library lists regular pantry hours; confirm holiday changes.
Franklin,Acadiana,Wanda Hilliard Food Pantry,"315 6th Street, Franklin, LA 70538","Second and fourth Monday of each month, 8:00 AM–5:00 PM","RRULE:FREQ=MONTHLY;BYDAY=2MO,4MO",08:00,540,,https://smplib.org/community-food-assistance/,none stated,walk-in,St. Mary Parish Library resource page lists regular program hours.
Hackberry,Acadiana,Care Help Hackberry Food Pantry,,"First and third Thursday of each month, 9:00 AM–12:00 PM","RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH",09:00,180,337-528-2273,https://care-help.org/what-we-do/food-pantry.html,"West Cameron Parish residents, including Hackberry and Johnson Bayou; documents may be required",walk-in,Care Help page identifies the community center but does not publish a street address.
