city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Presque Isle,Aroostook County,Grace Interfaith Food Table (GIFT) Pantry,"11 Industrial St, Presque Isle, ME 04769","Every Wednesday, 9:00 AM-12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,180,207-764-8584,https://www.maine.gov/dacf/ard/food-assistance/tefap/bytown.shtml,Walk-in; call to confirm current hours,walk-in,Maine DACF listing.
Presque Isle,Aroostook County,Parson's Pantry M&M Ministries,"21 Parsons St, Presque Isle, ME 04769","Last Friday monthly, 3:00-5:00 PM",RRULE:FREQ=MONTHLY;BYDAY=-1FR,15:00,120,207-764-0758,https://www.maine.gov/dacf/ard/food-assistance/tefap/bytown.shtml,Walk-in; call to confirm current hours,walk-in,Monthly pantry; soup kitchen also runs M/W/F.
Presque Isle,Aroostook County,Parson's Pantry M&M Ministries,"21 Parsons St, Presque Isle, ME 04769","Monday, Wednesday, Friday, 3:00-5:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",15:00,120,207-764-0758,https://www.maine.gov/dacf/ard/food-assistance/tefap/bytown.shtml,Walk-in; call to confirm current hours,hot meal,Maine DACF lists soup kitchen at this time.
Bangor,Bangor Area,Bangor Area Homeless Shelter Food Pantry,"263 Main St, Bangor, ME 04401","Sunday and Tuesday, 1:00-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=SU,TU",13:00,180,207-947-0092,https://www.maine.gov/dacf/ard/food-assistance/tefap/bytown.shtml,Walk-in; call to confirm current hours,walk-in,Separate daily soup kitchen is not included.
Bangor,Bangor Area,Salvation Army Bangor Food Pantry,"65 South Park St, Bangor, ME 04401","Monday-Friday, 9:00-11:00 AM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,120,207-941-2990,https://www.maine.gov/dacf/ard/food-assistance/tefap/bytown.shtml,Walk-in during listed morning hours; call to confirm,walk-in,Afternoon hours are appointment-only.
Augusta,Central Maine,Augusta Food Bank Free Food Thursday,"161 Mount Vernon Ave, Augusta, ME 04330","Every Thursday, 8:00-10:00 AM",RRULE:FREQ=WEEKLY;BYDAY=TH,8:00,120,207-622-5225,https://www.augustafoodbank.org/,No appointment; anyone welcome regardless of residence or income,walk-in,Doors may close early if surplus runs out.
Farmington,Central Maine,Care & Share Food Closet,"508 Fairbanks Rd, Farmington, ME 04938","Monday-Friday, 12:00-2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,120,207-778-0508,https://www.careandsharefoodcloset.org/,Walk-in; no appointment; basic household information may be requested,walk-in,3-5 day supply once monthly.
Farmington,Central Maine,Care & Share Food Closet,"508 Fairbanks Rd, Farmington, ME 04938","Tuesday and Saturday, 8:30-11:00 AM","RRULE:FREQ=WEEKLY;BYDAY=TU,SA",8:30,150,207-778-0508,https://www.careandsharefoodcloset.org/,Walk-in; no appointment; basic household information may be requested,walk-in,Tuesday early hours include extra produce/bread.
Farmington,Central Maine,MaineHealth Food Pantry Farmington,"200 Franklin Health Commons, Farmington, ME 04938","Monday and Wednesday, 10:00 AM-2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",10:00,240,207-779-2928,https://www.mainehealth.org/mainehealth-franklin-hospital/healthy-communities/mainehealth-food-pantry-farmington,Walk-in; all welcome,walk-in,Free grocery-style pantry.
Farmington,Central Maine,MaineHealth Food Pantry Farmington,"200 Franklin Health Commons, Farmington, ME 04938","Every Friday, 11:00 AM-3:00 PM",RRULE:FREQ=WEEKLY;BYDAY=FR,11:00,240,207-779-2928,https://www.mainehealth.org/mainehealth-franklin-hospital/healthy-communities/mainehealth-food-pantry-farmington,Walk-in; all welcome,walk-in,Free grocery-style pantry.
