city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Boston,Greater Boston,Friday Night Supper Program / Arlington Street Church,"351 Boylston St, Boston, MA 02116","Every Friday, 5–7 PM; line starts 4:30 PM",RRULE:FREQ=WEEKLY;BYDAY=FR,17:00,120,617-536-7050,https://www.fridaynightsupper.org/be-our-guest,No registration or sign-up; no questions asked; free hot meal; first-come,hot meal,
Boston,Greater Boston,Roxbury Food Not Bombs,"Dudley Square Plaza, Blue Hill Ave, Roxbury, MA","Sundays, 1–3 PM",RRULE:FREQ=WEEKLY;BYDAY=SU,13:00,120,,https://food-not-bombs-boston.beehiiv.com/p/the-raised-carrot-003,No sign-up; everyone welcome; free prepared meal,hot meal,
Cambridge,Greater Boston,Boston Food Not Bombs,"James Cronin Park, Cambridge, MA","Every Saturday, 1–3 PM",RRULE:FREQ=WEEKLY;BYDAY=SA,13:00,120,617-787-3436,https://food-not-bombs-boston.beehiiv.com/p/the-raised-carrot-003,No sign-up; everyone welcome; free prepared meal,hot meal,
Framingham,Greater Boston,HOPE Worldwide Massachusetts Framingham pantry,"214 Concord St, Framingham, MA 01702",Open days vary; visit during posted pantry hours,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,120,508-848-2401,https://www.hopeworldwidema.org/framingham-food-pantry,No appointment; bring any ID; sign up on first visit; bring bags,walk-in,
Framingham,Greater Boston,Pearl Street Cupboard & Café at Park,"46 Park St, Framingham, MA 01702","Pantry Monday–Friday 9 AM–1 PM; café breakfast 9–10, lunch 12–1, dinner 5:30–7","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,240,508-370-4921,https://www.uwotc.org/pearl,Free emergency food and community meals; walk-in during service hours,hot meal,
Lowell,Greater Boston,Catholic Charities Merrimack Valley pantry,"70 Lawrence St, Lowell, MA 01852",Monday–Thursday 1–3:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",13:00,150,978-454-9946,https://www.ccab.org/basic-needs/food-pantries/,Walk-in; bring name/address and household information if available,walk-in,
Lynn,Greater Boston,Phoenix Food Hub Brown Bag Mobile Market,"8 Silsbee St, Lynn, MA 01901",First Saturday 9–10 AM; third Friday 9–11 AM,"RRULE:FREQ=MONTHLY;BYDAY=1SA,3FR",9:00,120,781-599-0110,https://lynntv.org/event/brown-bag-mobile-market-first-saturdays/,Open to Lynn/Lynnfield/Nahant/Saugus/Swampscott; sign up in person; no age/income requirement,walk-in,
Malden,Greater Boston,Malden Food Not Bombs,"Malden Center Station, Commercial & Pleasant Sts, Malden, MA","First and third Saturday, 1:30 PM","RRULE:FREQ=MONTHLY;BYDAY=1SA,3SA",13:30,90,,https://food-not-bombs-boston.beehiiv.com/p/the-raised-carrot-003,No sign-up; everyone welcome; free prepared meal,hot meal,
Medford,Greater Boston,Mystic Community Market – Walnut Street Center,"291 Mystic Ave, Medford, MA 02155",Monday–Wednesday 5–6 PM (walk-in); Friday 5–6 PM (walk-in); Saturday 9 AM–2 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,FR,SA",17:00,60,781-324-4266,https://www.mv-ymca.org/food-security/mystic-community-market,Walk-in windows listed; no ID/proof residence; appointment encouraged only outside walk-in hours,walk-in,
Somerville,Greater Boston,Elizabeth Peabody House pantry,"277 Broadway, Somerville, MA 02145",Wednesday 5–7 PM; Thursday 10 AM–12 PM; Sunday 10 AM–3 PM,"RRULE:FREQ=WEEKLY;BYDAY=WE,TH,SU",10:00,180,617-623-5510,https://www.somervillemobilefarmersmarket.org/food-assistance,No ID; walk-in; bring bags if possible,walk-in,
Somerville,Greater Boston,Food4ALL,"59 Cross St, Somerville, MA 02145",Tuesday 10:30 AM–1 PM; Wednesday 9 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE",9:00,150,857-270-8432,https://www.somervillemobilefarmersmarket.org/food-assistance,No ID; register on site; walk-in,walk-in,
Somerville,Greater Boston,Project SOUP,"165 Broadway at Cross Street, Somerville, MA 02145",Tuesday 12–4 PM; Wednesday 10 AM–3 PM; Thursday 2–7 PM; Friday 10 AM–3 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",10:00,300,617-623-6111,https://www.somervillemobilefarmersmarket.org/food-assistance,Somerville residents; register on site; no pre-registration; not senior/student-only,walk-in,
Waltham,Greater Boston,Waltham Food Not Bombs,"Waltham Common, Waltham, MA","Sundays, 2–4 PM",RRULE:FREQ=WEEKLY;BYDAY=SU,14:00,120,,https://food-not-bombs-boston.beehiiv.com/p/the-raised-carrot-003,No sign-up; everyone welcome; free prepared meal,hot meal,
Waltham,Greater Boston,Waltham Food Not Bombs grocery distribution,"Near 240 Moody St, Waltham, MA","Wednesdays, 6 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,18:00,90,,https://food-not-bombs-boston.beehiiv.com/p/the-raised-carrot-003,No sign-up; free groceries; show up during distribution,hot meal,
Brockton,South Shore-Cape,Catholic Charities Brockton pantry,"169 Court St, Brockton, MA 02302",Monday–Wednesday 10–11:45 AM & 1–2:45 PM; Friday 9 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,FR",9:00,180,508-587-0815,https://www.ccab.org/basic-needs/food-pantries/,Walk-in emergency food; bring name/address and household information if available,walk-in,
Amherst,Western Massachusetts,Amherst Survival Center & The Boulders,"125 Brittany Manor, Amherst, MA 01002","First Wednesday, 1–2 PM",RRULE:FREQ=MONTHLY;BYDAY=1WE,13:00,60,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
Chicopee,Western Massachusetts,Neighbors Helping Neighbors & First Central Bible Church,"50 Broadway St, Chicopee, MA 01020","Second and fourth Monday, 10–11 AM","RRULE:FREQ=MONTHLY;BYDAY=2MO,4MO",10:00,60,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
Easthampton,Western Massachusetts,Easthampton Community Center / Our Lady of the Valley,"34 Franklin St, Easthampton, MA 01027","First and third Thursday, 1–2 PM","RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH",13:00,60,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
Holyoke,Western Massachusetts,Holyoke Housing Authority,"40 Leary Dr, Holyoke, MA 01040","First Monday, 11–11:45 AM",RRULE:FREQ=MONTHLY;BYDAY=1MO,11:00,45,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
Holyoke,Western Massachusetts,One Holyoke CDC,"70 North Bridge St, Holyoke, MA 01040","Second and fourth Friday, 1–1:45 PM","RRULE:FREQ=MONTHLY;BYDAY=2FR,4FR",13:00,45,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
Holyoke,Western Massachusetts,St. Paul’s Episcopal Church,"485 Appleton St, Holyoke, MA 01040","Second and fourth Tuesday, 11 AM–12 PM","RRULE:FREQ=MONTHLY;BYDAY=2TU,4TU",11:00,60,413-419-0079,https://www.foodbankwma.org/get-help/mobile-food-bank/,No eligibility requirements; anyone can attend; arrive 10–15 minutes early; bring bags,mobile pantry,
