city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Escanaba,Central UP,Escanaba Seventh-day Adventist Pantry,"210 S Lincoln Rd, Escanaba, MI 49829",Monday and Friday 1:00 PM-4:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,FR",13:00,180,906-212-2272,https://www.ngos1.com/US/Escanaba/107368824230353/Escanaba-Adventist-Community-Services,Bring ID; punch card used monthly,walk-in,"Free pantry; hours are older listing, verify."
Escanaba,Central UP,St Vincent de Paul Food Pantry,"115 N 8th St, Escanaba, MI 49829","Monday, Wednesday, Friday 10:00 AM-2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",10:00,240,906-789-1434,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility,walk-in,Food pantry.
Escanaba,Central UP,St Vincent de Paul Food Pantry,"115 N 8th St, Escanaba, MI 49829",Wednesday 11:30 AM-1:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,11:30,90,906-789-1434,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility,hot meal,Hot lunch.
Gladstone,Central UP,St Vincent de Paul Food Pantry,"816 Delta Ave, Gladstone, MI 49837","Monday, Wednesday, Friday 11:00 AM-1:45 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",11:00,165,906-428-9690,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility,walk-in,Food pantry.
Iron Mountain,Central UP,St Vincent de Paul Food Pantry,"101 W A St, Iron Mountain, MI 49801","Monday, Wednesday, Friday 9:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,180,906-779-0749,https://www.svdpironmountain.org/food-pantry,Confirm local eligibility; Tue/Thu require appointment,walk-in,Walk-in days only.
Ishpeming,Central UP,St Vincent de Paul Food Pantry,"322 Cleveland Ave, Ishpeming, MI 49849",Monday 1:00 PM-3:00 PM; Wednesday 10:00 AM-12:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE",10:00,120,906-486-6340,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility,walk-in,Two weekly windows; schedule text preserves times.
Manistique,Central UP,St Vincent de Paul Food Pantry,"231 S Cedar Ave, Manistique, MI 49854","Monday, Tuesday, Thursday 10:00 AM-3:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,TH",10:00,300,906-341-8181,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Food pantry walk-in; financial aid by appointment,walk-in,Food pantry hours only.
Marquette,Central UP,St Vincent de Paul Food Pantry,"2119 Presque Isle Ave, Marquette, MI 49855","Monday, Wednesday, Friday 1:00 PM-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",13:00,180,906-226-3840,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility/registration,walk-in,Food pantry hours; financial aid may differ.
Marquette,Central UP,St Vincent de Paul Food Pantry,"2119 Presque Isle Ave, Marquette, MI 49855",First Thursday 6:00 PM-7:30 PM,RRULE:FREQ=MONTHLY;BYDAY=1TH,18:00,90,906-226-3840,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility/registration,walk-in,Evening pantry.
Norway,Central UP,St Vincent de Paul Food Pantry,"431 Main St, Norway, MI 49870","Tuesday, Wednesday, Thursday 9:00 AM-11:00 AM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",9:00,120,906-563-7302,https://www.svdpup.org/contact-2/food-pantry-locations-hours/,Confirm local eligibility,walk-in,Food pantry.
Addison,Detroit Metro,South Michigan Food Bank,"8800 N Rollin Hwy, Addison, MI 49220","2nd Wednesday monthly, 3:00 PM until gone",RRULE:FREQ=MONTHLY;BYDAY=2WE,15:00,120,,https://smfoodbank.org/getfood/findfood/,No appointment listed; confirm need; first-come while supplies last.,mobile pantry,Source lists a recurring direct food distribution; call ahead for cancellations.
Adrian,Detroit Metro,South Michigan Food Bank,"800 Block of Toledo St, Adrian, MI 49221","1st Friday monthly, 10:00 AM until gone",RRULE:FREQ=MONTHLY;BYDAY=1FR,10:00,120,,https://smfoodbank.org/getfood/findfood/,No appointment listed; confirm need; first-come while supplies last.,mobile pantry,Source lists a recurring direct food distribution; call ahead for cancellations.
Adrian,Detroit Metro,South Michigan Food Bank,"217 W Church St, Adrian, MI 49221","1st and 3rd Tuesday monthly, 8:30–10:30 AM","RRULE:FREQ=MONTHLY;BYDAY=1TU,3TU",8:30,120,,https://smfoodbank.org/getfood/findfood/,No appointment listed; confirm need; first-come while supplies last.,mobile pantry,Source lists a recurring direct food distribution; call ahead for cancellations.
Adrian,Detroit Metro,South Michigan Food Bank,"302 S Tecumseh St, Adrian, MI 49221","Tuesday–Friday, 11:30 AM–2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",11:30,150,,https://smfoodbank.org/getfood/findfood/,No appointment listed; free meal; first-come while meals last.,hot meal,Source lists recurring soup-kitchen hours; call ahead for holiday changes.
Auburn Hills,Detroit Metro,Gleaners Community Food Bank,"The River Church, 255 S Squirrel Rd, Auburn Hills, MI 48326","Monthly, generally 4th Tuesday, 9:30–10:30 AM",RRULE:FREQ=MONTHLY;BYDAY=4TU,9:30,60,866-453-2637,https://avondale-cdn.fxbrt.com/downloads/high-school/gleaners_distribution_schedule_2024-25_1.pdf,No appointment listed; first-come while supplies last.,mobile pantry,Published 2025–26 dates shift around holidays; verify current schedule.
Howell,Detroit Metro,Gleaners Community Food Bank,"5924 Sterling Dr, Howell, MI 48843","Wednesdays, 10:00 AM–1:00 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,180,(517) 548-3710,https://www.gcfb.org/about-us/contact-us/,No appointment necessary; free fresh market; confirm eligibility/site rules.,walk-in,Gleaners lists Fresh Market as no appointment necessary; verify holiday closures.
Howell,Detroit Metro,Gleaners Community Food Bank,"5924 Sterling Dr, Howell, MI 48843","Wednesdays, 5:00–7:00 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,17:00,120,(517) 548-3710,https://www.gcfb.org/about-us/contact-us/,No appointment necessary; free fresh market; confirm eligibility/site rules.,walk-in,Gleaners lists Fresh Market as no appointment necessary; verify holiday closures.
Morenci,Detroit Metro,South Michigan Food Bank,"240 Salisbury St, Morenci, MI 49256","1st Thursday monthly, 2:00–4:00 PM",RRULE:FREQ=MONTHLY;BYDAY=1TH,14:00,120,,https://smfoodbank.org/getfood/findfood/,No appointment listed; confirm need; first-come while supplies last.,mobile pantry,Source lists a recurring direct food distribution; call ahead for cancellations.
Waterford,Detroit Metro,Gleaners Community Food Bank,"Oakland County Farmers Market, 2350 Pontiac Lake Rd, Waterford, MI 48328","2nd and 4th Wednesday monthly, 9:00–10:00 AM","RRULE:FREQ=MONTHLY;BYDAY=2WE,4WE",9:00,60,866-453-2637,https://pantrynet.org/mobile-distribution-events/,"No appointment, ID, or proof of eligibility required; provide household information.",drive-thru,Walk-up guests without cars welcome; groceries while supplies last.
Newberry,Eastern UP,St Gregory Catholic Church Food Pantry,"Newberry, MI 49868",Monday-Friday 9:00 AM-3:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,360,906-293-5511,https://mynewberrynews.com/features/volunteers-rally-for-food-aid-as-snap-funding-halts/,Confirm local requirements,walk-in,Schedule reported by local news.
