city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Ball Club,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Ball Club Center, 30995 Arctic Rd","2nd TH of each month, 10:00",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=2,10:00,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Cloquet,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Our Savior’s Lutheran Church, 615 12th Street","3rd TH of each month, 10:30",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=3,10:30,60,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Duluth,Duluth Area,CHUM Food Shelf,120 N 1st Ave W,"Wednesdays and Fridays, 10:00 a.m.–12:00 p.m. or until supplies run out","RRULE:FREQ=WEEKLY;BYDAY=WE,FR",10:00,120,218-727-1939,https://www.chumduluth.org/foodshelf,For people without food/resources; walk-in line.,walk-in,Food boxes while supplies last.
Duluth,Duluth Area,CHUM Food Shelf at Our Saviour’s Lutheran Church,4831 Grand Ave,"Mondays, 10:00 a.m.–12:00 p.m. or until supplies run out",RRULE:FREQ=WEEKLY;BYDAY=MO,10:00,120,218-727-1939,https://www.chumduluth.org/foodshelf,For people without food/resources; walk-in line.,walk-in,Food boxes while supplies last.
Duluth,Duluth Area,Fruit of the Vine Food Shelf,1533 W Arrowhead Rd,Tuesdays 6:00–8:00 p.m.; Saturdays 9:30–11:30 a.m.,"RRULE:FREQ=WEEKLY;BYDAY=TU,SA",18:00,120,218-525-3462,https://www.duluthvineyard.org/fotv,"Anyone welcome; first-come, first-served; no location or financial requirements.",walk-in,Take a ticket on arrival; tickets available before opening.
Duluth,Duluth Area,Second Harvest Northland Duluth Food Shelf,2302 Commonwealth Ave,"Tuesdays and Fridays, 10:00 a.m.–1:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=TU,FR",10:00,180,218-336-2312,https://secondharvestnorthland.org/find-food/food-shelf-program/,Income eligible or in crisis; low-barrier intake.,drive-thru,Choose one day per week; drive-through only.
Grand Marais,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Cook County Community Center, 317 W 5th St","4th WE of each month, 13:30",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=4,13:30,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Grand Portage,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Grand Portage Community Center, 73 Upper Road","4th WE of each month, 11:30",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=4,11:30,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Grand Rapids,Duluth Area,Second Harvest Northland Grand Rapids Food Shelf,2222 Cromwell Dr,Mondays and Wednesdays 11:00 a.m.–3:30 p.m.; Fridays 9:00 a.m.–12:00 p.m.,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",11:00,270,218-326-4420,https://secondharvestnorthland.org/find-food/food-shelf-program/,Income eligible or in crisis; brief intake.,walk-in,"Shopping, drive-through, or delivery format may vary."
Inger,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Inger Community Center, 53714 County Road 146","3rd TU of each month, 11:30",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=3,11:30,60,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Marble,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Marble City Garage (Ball Park), 603 Alice Ave","3rd WE of each month, 12:00",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=3,12:00,45,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Marcell,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Marcell Community Church, 49103 Hwy 38","2nd WE of each month, 12:00",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=2,12:00,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Ogilvie,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Ogilvie School, 333 School Dr","4th TU of each month, 10:00",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=4,10:00,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Palisade,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"Palisade Fire Hall, 48052 Nature Ave","4th TU of each month, 13:00",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=4,13:00,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
S Lake,Duluth Area,Second Harvest Northland Mobile Food Pantry Program,"S. Lake Fire Hall, 51272 State Hwy 46","3rd TU of each month, 12:30",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=3,12:30,45,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Big Falls,Northern Minnesota,Second Harvest Northland Mobile Food Pantry Program,"City Garage, 410 2nd St NW","3rd TH of each month, 13:00",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=3,13:00,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Birchdale,Northern Minnesota,Second Harvest Northland Mobile Food Pantry Program,"Birchdale Area Community Building, 10370 MN-11","3rd TH of each month, 10:30",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=3,10:30,30,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Cass Lake,Northern Minnesota,Second Harvest Northland Mobile Food Pantry Program,"Mission Old Palace, 16599 69th Ave NW","1st TU of each month, 13:00",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=1,13:00,45,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Federal Dam,Northern Minnesota,Second Harvest Northland Mobile Food Pantry Program,"Fire Hall, 36 2nd Ave","2nd TH of each month, 12:15",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=2,12:15,45,218-336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Income qualification or crisis; household size and income requested; no proof required.,mobile pantry,Monthly drive-through; food available while supplies last.
Pequot Lakes,Northern Minnesota,Lakes Area Food Shelf – Pequot Lakes,29316 Patriot Ave,Tue 9:00–12:00; Wed 3:00–6:00; Thu 9:00–12:00,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",9:00,540,218-568-8474,https://lakesareafoodshelf.org/get-food/,Household under 300% FPL; no documentation required; simple registration.,walk-in,Crow Wing County; weather closures possible.
Austin,Rochester MN,Channel One Mobile Pantry / CLUES at Riverland Community College,"1900 8th Ave SW, Door W5",2nd and 4th Fridays 12:00–2:00 p.m.,"RRULE:FREQ=MONTHLY;BYDAY=FR;BYSETPOS=2,4",12:00,120,612-439-9790,https://www.helpingfeedpeople.org/programs/mobile-food-pantry/,Mobile TEFAP distribution; dates/times subject to change.,mobile pantry,Mower County; walk-up distribution.
Austin,Rochester MN,Channel One Mobile Pantry / CLUES at Riverland Community College,"1900 8th Ave SW, Door W5","3rd Thursday of each month, 3:30–5:30 p.m.",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=3,15:30,120,612-439-9790,https://www.helpingfeedpeople.org/programs/mobile-food-pantry/,Mobile TEFAP distribution; dates/times subject to change.,mobile pantry,Mower County; walk-up distribution.
Blue Earth,Rochester MN,Channel One Mobile Pantry at Tafco Equipment,1565 Industrial Dr,"3rd Friday of each month, 2:30–4:30 p.m.",RRULE:FREQ=MONTHLY;BYDAY=FR;BYSETPOS=3,14:30,120,507-424-1720,https://www.helpingfeedpeople.org/programs/mobile-food-pantry/,Bring shopper or CSFP ID card; mobile TEFAP distribution.,mobile pantry,Faribault County; dates/times subject to change.
Owatonna,Rochester MN,Community Pathways Marketplace Food Pantry,155 Oakdale St,Monday–Friday daytime; Tue evening 5:00–8:00,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,510,507-455-2991,https://www.communitypathwayssc.org/,Steele County residents; walk-in/application; once weekly.,walk-in,Hours vary by weekday; call to confirm.
