city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Belzoni,Central Mississippi,Helping Hands of Humphreys County,"16463 US Highway 49W, Belzoni, MS 39038","Tuesdays through Thursdays, 8:00 AM-1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",08:00,300,662-836-6252,https://ampleharvest.org/food-pantries/helping-hands-of-humphreys-county-10589/,none stated; serves anyone with food insecurity,walk-in,"Listing says serves families, homeless people, immigrants, veterans, and anyone with food insecurity; phone also 662-836-4075."
Brandon,Central Mississippi,Crossgates Baptist Church Food Pantry,"8 Crosswoods Road, Brandon, MS 39042","Thursdays, 9:00 AM-1:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,09:00,240,601-825-2561,https://mississippitoday.org/2025/10/31/snap-federal-funding-jackson-list/,none stated,walk-in,Metro-area listing; verify holiday/supply changes.
Brandon,Central Mississippi,Grace Baptist Church Food Pantry,"205 Value Park Drive, Brandon, MS 39042","Every Monday, 9:00 AM-12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,09:00,180,601-824-7334,https://www.gracebaptistonline.net/events/food-pantry/,none stated,walk-in,Church page lists recurring Monday pantry.
Carthage,Central Mississippi,Center Hill Baptist Church Food Pantry,"3207 Conway Road, Carthage, MS 39051","Thursdays, 10:00 AM-2:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,10:00,240,,https://feedam.org/food-pantry/ms/carthage,none stated,walk-in,Feed America listing recently verified; source advises calling before visiting.
Crystal Springs,Central Mississippi,Manna Food Pantry,"26114 Highway 28 South, Crystal Springs, MS 39059","First Tuesday of each month, 8:30 AM-12:00 PM",RRULE:FREQ=MONTHLY;BYDAY=1TU,08:30,210,601-892-2926,https://www.msfoodnet.org/location/manna-food-pantry/,service-area residents; photo ID and proof of residency,walk-in,Mississippi Food Network listing.
Crystal Springs,Central Mississippi,Pilgrim Rest Baptist Church Food Pantry,"3121 Didlake Road, Crystal Springs, MS 39059","Tuesdays, 9:00 AM until all food boxes are distributed",RRULE:FREQ=WEEKLY;BYDAY=TU,09:00,180,,https://mentalhealth.networkofcare.org/Region8-ms/services/agency?pid=PilgrimsRestBaptistChurchFoodBank_2_1783_1,valid photo ID; open to all community members and surrounding areas,walk-in,Free food boxes; until food boxes are distributed.
Flora,Central Mississippi,First Baptist Church of Flora Food Pantry,,"Third Saturday of each month, 9:00-10:30 AM",RRULE:FREQ=MONTHLY;BYDAY=3SA,09:00,90,601-879-8022,https://www.foodpantries.org/co/ms-madison,none stated,walk-in,Address not published in retrieved listing.
Forest,Central Mississippi,Crudup-Ward Activity Center Food Pantry,"630 Longview Street, Forest, MS 39074","Last Thursday of each month, 12:00-2:00 PM",RRULE:FREQ=MONTHLY;BYDAY=-1TH,12:00,120,601-469-4463,https://www.food-banks.org/assistance/forest_ms.html,Scott County residents; qualification requirements apply,walk-in,"Listing says canned goods are handed out to qualified people of varying ages; same time may include senior hot meal/bingo, but pantry is not stated as senior-only."
Jackson,Central Mississippi,EversCare / Mississippi Urban League Food Pantry,"2548 Livingston Road, Jackson, MS 39213","Third Wednesday of each month, 10:00 AM-1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=3WE,10:00,180,601-815-3535,https://www.msul.org/food-pantry,proof of residency may be required; income documents may be required,walk-in,"Additional distributions may occur as resources allow; directory says broader community, not UMMC patients only."
Jackson,Central Mississippi,Hope Community Outreach Food Pantry,"548 W Northside Dr, Suite C, Jackson, MS 39206","Every 2nd and 4th Tuesday, 11:30 AM-1:00 PM","RRULE:FREQ=MONTHLY;BYDAY=2TU,4TU",11:30,90,,https://hopefulms.org/,none; no ID required,walk-in,Open to all; food boxes and hot meals for 350+ families.
Jackson,Central Mississippi,Jackson Resource Center,"1129 Langley Avenue, Jackson, MS 39204","Monday-Friday, 11:30 AM-12:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:30,60,769-218-0008,https://mississippitoday.org/2025/10/31/snap-federal-funding-jackson-list/,none stated,hot meal,Free meal service; two daily windows with a midday-to-afternoon gap.
Jackson,Central Mississippi,Jackson Resource Center,"1129 Langley Avenue, Jackson, MS 39204","Monday-Friday, 4:00-5:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",16:00,60,769-218-0008,https://mississippitoday.org/2025/10/31/snap-federal-funding-jackson-list/,none stated,hot meal,Free meal service; two daily windows with a midday-to-afternoon gap.
Jackson,Central Mississippi,Jackson Revival Center Church - Food Outreach,,"Monday, 9:30 AM-12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,09:30,150,601-948-3618,https://www.foodpantries.org/co/ms-rankin,none stated,walk-in,"Directory schedule; address/ZIP not published in the retrieved listing, so address is left as a best-effort city entry."
Jackson,Central Mississippi,New Jerusalem Church / NJC Cares Food Giveaway,"168 Colonial Drive, Jackson, MS 39204","Every Monday, 9:00 AM-12:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,09:00,180,,https://www.jxnneighborhoods.com/communitycalendar/njc-cares-monday-morning-food-giveaway,"none stated; first-come, first-served",walk-in,"Joseph Pantry Food and Clothing Ministry; come one, come all; while supplies last."
