city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Ashland,Central Missouri,Ashland Baptist Church Mobile Food Pantry,"500 S Henry Clay Blvd, Ashland, MO 65010",3rd Tuesday 3:00pm-6:00pm,RRULE:FREQ=MONTHLY;BYDAY=3TU,15:00,180,800-764-3663,https://www.foodpantries.org/co/mo-boone,Check-in requirements vary,mobile pantry,Address needs confirmation; directory provides schedule.
Columbia,Central Missouri,Central Pantry,"1007 Big Bear Boulevard, Columbia, MO 65202",Tuesday-Friday 10:00am-4:00pm; Saturday 10:00am-2:00pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR,SA",10:00,360,573-874-7848,https://www.foodpantries.org/li/central_pantry_of_the_food_bank_for_central_and_northeast_missouri,"Photo ID, current address, Social Security cards",walk-in,Directory listing; verify current intake.
Columbia,Central Missouri,Destiny Worship Center Food Pantry,"4914 Prairie Ridge Road, Columbia, MO 65202",2nd Saturday 10:00am-12:00pm,RRULE:FREQ=MONTHLY;BYDAY=2SA,10:00,120,573-474-5885,https://www.foodpantries.org/li/mo_columbia_destiny-worship-center-food-pantry,Boone County residents,walk-in,Emergency needs by phone.
Columbia,Central Missouri,The Food Bank Market,"705 Business Loop 70 W, Columbia, MO 65203",Tuesday-Friday 10:00am-4:00pm; Saturday 10:00am-2:00pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR,SA",10:00,360,573-474-1020,https://sharefoodbringhope.org/the-food-bank-market/,Boone County live/work; no paperwork required,walk-in,One shopping visit/month; Sharing Room open to all.
Jefferson City,Central Missouri,Building Community Bridges Food Pantry,"213 E Ashley Street, Jefferson City, MO 65101",Monday 4:30pm-6:00pm; Thursday 10:00am-1:00pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TH",16:30,150,573-616-2845,https://foodpantries.org/li/mo_65101_building-community-bridges,Cole County residents,walk-in,Verify current hours.
Jefferson City,Central Missouri,First Presbyterian Church Food Pantry,"324 E Capitol Ave, Jefferson City, MO 65101",Tuesday 1:00pm-3:00pm,RRULE:FREQ=WEEKLY;BYDAY=TU,13:00,120,573-636-2149,https://www.foodpantries.org/co/mo-cole,Photo ID,walk-in,Address from directory needs verification.
Jefferson City,Central Missouri,The Pantry of Jefferson City,"2123 Missouri Blvd, Jefferson City, MO 65109",2nd & 4th Saturday 10:00am-2:00pm,"RRULE:FREQ=MONTHLY;BYDAY=2SA,4SA",10:00,240,,https://foodpantries.org/li/the-pantry-of-jefferson-city,First name and household size; no income verification,walk-in,Directory typo says 10pm; source Q&A says 10am.
Belton,Kansas City Metro,Heart and Hand Mobile Pantry,"613 E North Avenue, Belton, MO 64012",2nd Wed 2-3pm,RRULE:FREQ=MONTHLY;BYDAY=2WE,14:00,60,816-322-0700,https://www.harvesters.org/location/heart-and-hand-mobile-pantry,None stated,drive-thru,
Grandview,Kansas City Metro,Trinity Temple COGIC,"11922 Food Lane, Grandview, MO 64030",4th Wed 9-10am,RRULE:FREQ=MONTHLY;BYDAY=4WE,9:00,60,816-763-3000,https://www.harvesters.org/location/trinity-temple-cogic,None stated,drive-thru,
Independence,Kansas City Metro,Olde Oak Tree Apartments,"13975 E 35th Street South, Independence, MO 64055",1st Wed 10:30-11:30am; 3rd Wed 10:30am-12:30pm and 1:30-4:30pm,"RRULE:FREQ=MONTHLY;BYDAY=1WE,3WE",10:30,360,816-405-8191,https://www.harvesters.org/location/olde-oak-tree-apartments,None stated,walk-in,
