city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Billings,Billings Area,Billings Food Bank,"2112 4th Ave N, Billings, MT 59101","Monday–Friday, 10:00am–12:00pm food service","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,120,406-259-2856,https://billingsfoodbank.com/,"In-person application; picture ID, proof of address or homelessness declaration, SS cards for household",walk-in,Food service closes for lunch 12:00–1:00.
Billings,Billings Area,Billings Food Bank,"2112 4th Ave N, Billings, MT 59101","Monday–Friday, 1:00–3:00pm food service","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,120,406-259-2856,https://billingsfoodbank.com/,"In-person application; picture ID, proof of address or homelessness declaration, SS cards for household",walk-in,Food service closes for lunch 12:00–1:00.
Billings,Billings Area,Family Service Billings Client Choice Food Room,"3927 1st Ave S, Billings, MT 59101","Monday–Friday, 10:00am–3:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,300,406-259-2269,https://billingsfamilyservice.org/food-assistance/food-room/,"Photo ID; proof of residency; household information; walk-in allowed, optional time slot",walk-in,"Serves families, individuals and seniors; once every 7 days."
Billings,Billings Area,Peace Lutheran Food Pantry,"1301 Avenue D, Billings, MT 59102","Mondays, 1:00–3:00pm",RRULE:FREQ=WEEKLY;BYDAY=MO,13:00,120,406-252-5504,https://www.peacelutheranbillings.com/foodpantry,Sign in with name/address; no ID or utility bill required; walk-in,walk-in,Visits limited to once per week.
Billings,Billings Area,Peace Lutheran Food Pantry,"1301 Avenue D, Billings, MT 59102","Thursdays, 10:00am–12:00pm",RRULE:FREQ=WEEKLY;BYDAY=TH,10:00,120,406-252-5504,https://www.peacelutheranbillings.com/foodpantry,Sign in with name/address; no ID or utility bill required; walk-in,walk-in,Visits limited to once per week.
Billings,Billings Area,Peace Lutheran Food Pantry,"1301 Avenue D, Billings, MT 59102","Fridays, 2:00–4:00pm",RRULE:FREQ=WEEKLY;BYDAY=FR,14:00,120,406-252-5504,https://www.peacelutheranbillings.com/foodpantry,Sign in with name/address; no ID or utility bill required; walk-in,walk-in,Visits limited to once per week.
Billings,Billings Area,Salvation Army Billings Corps Community Center,"6th Avenue N, Billings, MT","Monday–Friday, 9:00am–12:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,180,406-245-4659,https://www.salvationarmyusa.org/mt/billings/6th-avenue-n-corps/,Open to people needing food; walk-in,hot meal,Pastries/coffee 9–12; sack lunches 1–3; lunch closure 12–1.
Billings,Billings Area,Salvation Army Billings Corps Community Center,"6th Avenue N, Billings, MT","Monday–Friday, 1:00–3:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,120,406-245-4659,https://www.salvationarmyusa.org/mt/billings/6th-avenue-n-corps/,Open to people needing food; walk-in,hot meal,Pastries/coffee 9–12; sack lunches 1–3; lunch closure 12–1.
Bozeman,Bozeman-Helena,Gallatin Valley Food Bank,"206 E Griffin Dr, Bozeman, MT 59715","Mondays–Thursdays, 1:00–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",13:00,180,,https://mfbn.org/resource/gallatin-valley-food-bank/,Food assistance; walk-in; no appointment stated,walk-in,
Bozeman,Bozeman-Helena,Gallatin Valley Food Bank,"206 E Griffin Dr, Bozeman, MT 59715","Tuesdays, 5:00–7:00pm",RRULE:FREQ=WEEKLY;BYDAY=TU,17:00,120,,https://mfbn.org/resource/gallatin-valley-food-bank/,Food assistance; walk-in; no appointment stated,walk-in,Evening hours.
Bozeman,Bozeman-Helena,Gallatin Valley Food Bank,"206 E Griffin Dr, Bozeman, MT 59715","Fridays, 9:00am–12:00pm",RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,180,,https://mfbn.org/resource/gallatin-valley-food-bank/,Food assistance; walk-in; no appointment stated,walk-in,
East Helena,Bozeman-Helena,Helena Food Share East Helena Open Mobile Site,"50 Prickly Pear St, East Helena, MT","Mondays, 2:00–3:00pm",RRULE:FREQ=WEEKLY;BYDAY=MO,14:00,60,,https://mfbn.org/resource/helena-food-share/,Grocery Share open to all; walk-in; no income requirement,mobile pantry,
East Helena,Bozeman-Helena,Helena Food Share East Helena Open Mobile Site,"50 Prickly Pear St, East Helena, MT","Thursdays, 5:00–6:00pm",RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,60,,https://mfbn.org/resource/helena-food-share/,Grocery Share open to all; walk-in; no income requirement,mobile pantry,
Helena,Bozeman-Helena,Helena Food Share,"1280 Boulder Ave, Helena, MT 59601","Mondays and Thursdays, 12:30–6:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TH",12:30,360,,https://mfbn.org/resource/helena-food-share/,Grocery Share open to all; walk-in; no income requirement,walk-in,
Helena,Bozeman-Helena,Helena Food Share,"1280 Boulder Ave, Helena, MT 59601","Tuesdays, Wednesdays and Fridays, 12:30–3:30pm","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,FR",12:30,180,,https://mfbn.org/resource/helena-food-share/,Grocery Share open to all; walk-in; no income requirement,walk-in,
Livingston,Bozeman-Helena,Livingston Food Resource Center,"202 S 2nd St, Livingston, MT 59047","Tuesdays and Thursdays, 1:00–5:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",13:00,240,406-222-5335,https://livingstonfrc.org/get-food/contact.html,In-person shopping; explicitly walk-in,walk-in,
Glendive,Eastern Montana,Dawson County Food Bank,"207 W Bell St, Glendive, MT 59330","Monday–Friday, 10:00am–1:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,180,406-939-0202,https://www.homelessshelterdirectory.org/shelter/mt_dawson-county-food-bank,Food pantry; walk-in; call to confirm current rules,walk-in,Directory reports M–F service hours; verify before travel.
Miles City,Eastern Montana,Custer County Food Bank,"15 N 8th St, Miles City, MT 59301","Tuesdays–Thursdays, 9:00am–1:30pm","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",9:00,270,406-234-3663,https://mfbn.org/resource/custer-county-food-bank/,Food pantry; walk-in; call for current eligibility/holiday rules,walk-in,
Great Falls,Great Falls Area,Salvation Army Family Services,"527 9th Ave S, Great Falls, MT 59405","Monday–Friday, 10:00am–12:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,120,406-761-5660,https://mfbn.org/resource/the-salvation-army-family-services/,Food pantry; walk-in; no appointment stated,walk-in,Closed for lunch 12:00–1:00.
Great Falls,Great Falls Area,Salvation Army Family Services,"527 9th Ave S, Great Falls, MT 59405","Monday–Friday, 1:00–3:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",13:00,120,406-761-5660,https://mfbn.org/resource/the-salvation-army-family-services/,Food pantry; walk-in; no appointment stated,walk-in,Closed for lunch 12:00–1:00.
Great Falls,Great Falls Area,Vineyard Mercy Ministry,"1617 6th Ave N, Great Falls, MT 59401","Saturdays, 9:00–11:00am",RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,120,,https://mfbn.org/resource/vineyard-mercy-ministry/,Food pantry; walk-in; no appointment stated,walk-in,
Hamilton,Missoula Area,Haven House Food Bank,"316 N 3rd St, Hamilton, MT 59840","Mondays, Wednesdays and Fridays, 10:00am–2:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",10:00,240,406-363-2450,https://havenhousefoodbank.org/,Weekly donated-food service is walk-in; no registration for weekly service,walk-in,"First-come, first-served until food runs out."
Hamilton,Missoula Area,Haven House Food Bank,"316 N 3rd St, Hamilton, MT 59840","Wednesdays, 5:00–7:00pm",RRULE:FREQ=WEEKLY;BYDAY=WE,17:00,120,406-363-2450,https://havenhousefoodbank.org/,Weekly donated-food service is walk-in; no registration for weekly service,walk-in,"Evening service; first-come, first-served until food runs out."
Missoula,Missoula Area,Christian Life Center Food Pantry,"3801 Russell St, Missoula, MT 59806","2nd and 4th Mondays, 4:30–6:00pm","RRULE:FREQ=MONTHLY;BYDAY=2MO,4MO",16:30,90,406-542-0353,https://mfbn.org/resource/clc-food-pantry/,Pantry; walk-in; no appointment stated,walk-in,Closed if church holiday.
Missoula,Missoula Area,Missoula Food Bank & Community Center,"1720 Wyoming St, Missoula, MT 59801","Mondays, Tuesdays and Thursdays, 10:00am–7:00pm; Wednesdays and Fridays, 10:00am–1:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,540,406-549-0543,https://missoulafoodbank.org/,No eligibility criteria; self-reported intake form; no documentation; walk-in,walk-in,Free choice-model store.
Polson,Missoula Area,Polson Loaves and Fish Pantry,"904 1st St E, Polson, MT 59860","Tuesdays, 2:00–5:45pm",RRULE:FREQ=WEEKLY;BYDAY=TU,14:00,225,406-883-6864,https://www.foodpantries.org/ci/mt-polson,Food pantry; walk-in; call provider for current rules,walk-in,Address not published in retrieved listing.
