city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Grand Island,Central Nebraska,Crossroads Mission Avenue,1910 W 9th St,"Every day, breakfast 6:00-7:00 a.m.",RRULE:FREQ=DAILY,6:00,60,308-675-1973,https://www.crossroadsmission.com/food-services/,Anyone with food insecurity may join; no requirements for meal.,hot meal,Free hot meal.
Grand Island,Central Nebraska,Crossroads Mission Avenue,1910 W 9th St,"Every day, lunch 11:00 a.m.-Noon",RRULE:FREQ=DAILY,11:00,60,308-675-1973,https://www.crossroadsmission.com/food-services/,Anyone with food insecurity may join; no requirements for meal.,hot meal,Free hot meal.
Grand Island,Central Nebraska,Crossroads Mission Avenue,1910 W 9th St,"Every day, supper 5:00-6:00 p.m.",RRULE:FREQ=DAILY,17:00,60,308-675-1973,https://www.crossroadsmission.com/food-services/,Anyone with food insecurity may join; no requirements for meal.,hot meal,Free hot meal.
Grand Island,Central Nebraska,Loaves & Fishes mobile food pantry,"3180 US Hwy 34, College Park","2nd Saturday monthly, 9:30-11:30 a.m.",RRULE:FREQ=MONTHLY;BYDAY=2SA,9:30,120,308-382-1952,https://www.nebraskatotalcare.com/newsroom/grand-island-free-food-resources.html,Drive-up; no appointment or ID required; stay in vehicle.,drive-thru,Food loaded into vehicle; weather can move event.
Grand Island,Central Nebraska,Salvation Army Grimminger Worship & Community Center,818 W 3rd St,"Monday-Friday, lunch 12:00-1:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,60,308-382-4855,https://www.salvationarmyusa.org/ne/grand-island/w-3rd-st-corps/food-programs/,Anyone in need may walk in; no appointment for meal.,hot meal,Free hot lunch.
Grand Island,Central Nebraska,Salvation Army Grimminger Worship & Community Center,818 W 3rd St,"Monday-Friday, dinner 5:00-6:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",17:00,60,308-382-4855,https://www.salvationarmyusa.org/ne/grand-island/w-3rd-st-corps/food-programs/,Anyone in need may walk in; no appointment for meal.,hot meal,Free hot dinner.
Grand Island,Central Nebraska,Salvation Army Grimminger Worship & Community Center,818 W 3rd St,"Sunday, dinner 5:00 p.m.",RRULE:FREQ=WEEKLY;BYDAY=SU,17:00,60,308-382-4855,https://www.salvationarmyusa.org/ne/grand-island/w-3rd-st-corps/food-programs/,Anyone in need may walk in; no appointment for meal.,hot meal,Sunday dinner.
Hastings,Central Nebraska,United Harvest Mobile Food Pantry,"622 N Lincoln Ave, Peace Center","3rd Saturday monthly, 9:45-11:30 a.m.",RRULE:FREQ=MONTHLY;BYDAY=3SA,9:45,105,402-463-6733,https://search.ne211.org/search/e861b807-be05-552e-8fd2-807c268ce315,Open to anyone; no appointment; brief onsite information/ID may determine rotating entry time.,drive-thru,Pre-boxed drive-through; time assignments rotate by driver last initial.
Kearney,Central Nebraska,Crossroads Mission Avenue,1404 E 39th St,"Every day, breakfast 7:00-8:00 a.m.",RRULE:FREQ=DAILY,7:00,60,308-236-5688,https://www.crossroadsmission.com/food-services/,Open to anyone; no documents; join table at mealtime.,hot meal,Free daily meal.
Kearney,Central Nebraska,Crossroads Mission Avenue,1404 E 39th St,"Every day, lunch Noon-1:00 p.m.",RRULE:FREQ=DAILY,12:00,60,308-236-5688,https://www.crossroadsmission.com/food-services/,Open to anyone; no documents; join table at mealtime.,hot meal,Free daily meal.
