city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Carson City,Carson City Area,FBNN Mobile Harvest - Carson City,"911 Beverly Dr, Carson City, NV 89706",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=MO,9:00,120,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,FBNN Mobile Harvest rural schedule; date/time changes monthly.
Fernley,Carson City Area,FBNN Mobile Harvest - Fernley,"110 S Center St, Fernley, NV 89408",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=WE,12:00,60,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,FBNN rural Mobile Harvest; host address from schedule.
Gardnerville,Carson City Area,Carson Valley Community Food Closet,"1255 Waterloo Ln, Gardnerville, NV 89410",Monday-Wednesday 12:30pm-4:00pm; Friday 11:30am-3:00pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,FR",12:30,210,775-782-3711,https://www.foodpantries.org/li/carson-valley-community-food-closet,Qualifying Douglas County residents,walk-in,Monthly commodities; call for current requirements.
Minden,Carson City Area,FBNN Mobile Harvest - Dresslerville,"1585 Watasheamu Rd, Dresslerville, NV 89410",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=MO,15:00,60,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,FBNN rural Mobile Harvest; date/time changes monthly.
Silver Springs,Carson City Area,FBNN Mobile Harvest - Silver Springs LDS Chapel,"5470 Elm St, Silver Springs, NV 89429",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=WE,9:00,60,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,Lyon County FBNN Mobile Harvest; exact monthly dates/times change.
Virginia City,Carson City Area,FBNN Mobile Harvest - Virginia City,"D St and Mill/Six Mile Canyon Rd, Virginia City, NV 89440",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=TU,13:30,60,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,Storey County FBNN Mobile Harvest; exact monthly dates/times change.
Yerington,Carson City Area,FBNN Mobile Harvest - Yerington,"117 Tilson Way, Yerington, NV 89447",Monthly dates vary; check FBNN rural calendar,RRULE:FREQ=MONTHLY;BYDAY=TU,9:00,60,775-331-3663,https://www.fbnn.org/distribution-calendar-mobile-harvest/,Brief intake first visit/annually; no other requirements,mobile pantry,FBNN rural Mobile Harvest; date/time changes monthly.
Henderson,Las Vegas Metro,Centro De Adoracion,"2010 Haren Dr, Suite A, Henderson, NV 89011",Tuesdays 7:00pm-8:30pm,RRULE:FREQ=WEEKLY;BYDAY=TU,19:00,90,702-433-4223,https://www.threesquare.org/images/documents/Website_TEFAP_Update_-_Last_Updated_3.18.26.pdf,TEFAP eligibility,walk-in,Three Square listed TEFAP pantry.
Henderson,Las Vegas Metro,Giving Life Ministries,"416 Perlite St, Henderson, NV 89015",Tuesdays and Fridays 8:30am-11:00am,"RRULE:FREQ=WEEKLY;BYDAY=TU,FR",8:30,150,702-565-4984,https://www.threesquare.org/images/documents/Website_TEFAP_Update_-_Last_Updated_3.18.26.pdf,TEFAP eligibility,walk-in,Three Square TEFAP pantry.
Henderson,Las Vegas Metro,Henderson Presbyterian Church,"601 N Major Ave, Henderson, NV 89015","Mondays, Wednesdays and Fridays 10:00am-noon","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",10:00,120,,https://www.threesquare.org/learn/programs/tefap,TEFAP eligibility,walk-in,Three Square TEFAP pantry.
