city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Albuquerque,Albuquerque Metro,Casa San Miguel Food Pantry,"601 Montaño Rd NW, Albuquerque, NM 87107",Tuesdays 8:00-10:00 AM,RRULE:FREQ=WEEKLY;BYDAY=TU,8:00,120,505-345-8147,https://www.stmichaelsabq.org/foodpantry,Photo ID helpful but not required; new clients register 8:00-9:30; once/4 weeks,drive-thru,"Bernalillo County; limited supply, arrive early."
Albuquerque,Albuquerque Metro,First Unitarian Food Pantry,"3701 Carlisle Blvd NE, Albuquerque, NM 87110",Every Wednesday 12:00-2:00 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,12:00,120,,https://uuabq.org/first-unitarian-food-pantry/,Open weekly; no appointment stated,walk-in,Bernalillo County; Roadrunner partner.
Albuquerque,Albuquerque Metro,Gods Warehouse Community Dinner,"8011 Central Ave NE, Albuquerque, NM 87108",Daily 4:00 PM,RRULE:FREQ=DAILY,16:00,60,,https://www.cabq.gov/health-housing-homelessness/homelessness/meals,Open meal site,hot meal,Bernalillo County; city meal-site listing.
Albuquerque,Albuquerque Metro,Good Shepherd Center Community Meal,"218 Iron St SW, Albuquerque, NM 87102",Mon-Wed & Fri 2:00-3:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,FR",14:00,60,505-243-2527,https://www.gscnm.org/services,Open to everyone,hot meal,Bernalillo County; meals for homeless individuals/families.
Albuquerque,Albuquerque Metro,Good Shepherd Center Saturday Meal,"218 Iron St SW, Albuquerque, NM 87102",Saturdays 11:30 AM-12:00 PM,RRULE:FREQ=WEEKLY;BYDAY=SA,11:30,30,505-243-2527,https://www.gscnm.org/services,Open to everyone,hot meal,Bernalillo County; meals for homeless individuals/families.
Albuquerque,Albuquerque Metro,HopeWorks Day Shelter Meal,"1201 3rd St NW, Albuquerque, NM 87102",Mon-Fri 10:00 AM-12:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,120,,https://www.cabq.gov/health-housing-homelessness/homelessness/meals,Open meal site for people in need,hot meal,Bernalillo County; city meal-site listing.
Albuquerque,Albuquerque Metro,Isabella's Food Pantry,"5701 Arroyo Vista Blvd NW, Albuquerque, NM 87120",Every Friday 9:00 AM-12:00 PM,RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,180,505-850-0748,http://albuquerquebiblechurch.com/ministries/food-pantry/,NM state ID plus utility bill/lease; service area Central-Paseo and river-I-25,walk-in,Bernalillo County; once/month per family.
Albuquerque,Albuquerque Metro,Joy Junction Community Dinner,"4500 2nd St SW, Albuquerque, NM 87105",Daily 5:00 PM,RRULE:FREQ=DAILY,17:00,60,,https://www.cabq.gov/health-housing-homelessness/homelessness/meals,Open meal site,hot meal,Bernalillo County; city meal-site listing.
Albuquerque,Albuquerque Metro,Joy Junction Community Lunch,"4500 2nd St SW, Albuquerque, NM 87105",Daily 12:00 PM,RRULE:FREQ=DAILY,12:00,60,,https://www.cabq.gov/health-housing-homelessness/homelessness/meals,Open meal site,hot meal,Bernalillo County; city meal-site listing.
Albuquerque,Albuquerque Metro,La Mesa Presbyterian Food Pantry,"7401 Copper Ave NE, Albuquerque, NM 87108","Mon, Wed & Fri 9:00-11:00 AM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,120,505-255-8095,https://www.lamesapresabq.org/outreach/food-pantry,Everyone welcome; no ID or proof of need,walk-in,Bernalillo County; ring church parking-lot gate.
Albuquerque,Albuquerque Metro,La Plazita Institute Community Food Distribution,"831 Isleta Blvd SW, Albuquerque, NM 87105",Every Friday 10:00-11:30 AM,RRULE:FREQ=WEEKLY;BYDAY=FR,10:00,90,,https://laplazitainstitute.org/food-distribution,"First come, first served",walk-in,Bernalillo County; fresh produce/food bags.
Albuquerque,Albuquerque Metro,Mission ABQ Breakfast,"8216 Central Ave SE, Albuquerque, NM 87108",Sundays about 8:00 AM,RRULE:FREQ=WEEKLY;BYDAY=SU,8:00,60,,https://www.missionabq.org/resource-center,Open community meal,hot meal,Bernalillo County; breakfast for community in need.
Albuquerque,Albuquerque Metro,Mission ABQ Dinner,"8216 Central Ave SE, Albuquerque, NM 87108",Thursdays about 4:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,16:00,60,,https://www.missionabq.org/resource-center,Open community meal,hot meal,Bernalillo County; dinner for community in need.
Albuquerque,Albuquerque Metro,Mission ABQ Food Boxes - Central,"8216 Central Ave SE, Albuquerque, NM 87108",Tuesdays 11:00 AM,RRULE:FREQ=WEEKLY;BYDAY=TU,11:00,60,,https://www.missionabq.org/resource-center,Open community distribution; no appointment stated,walk-in,Bernalillo County; food boxes while supplies last.
