city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Buffalo,Buffalo-Niagara,CAO Food Pantry at Resource Council WNY,347 East Ferry Street Buffalo NY 14208,"Tuesday–Friday, 10:00 AM–2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",10:00,240,716-480-5153,https://www.211wny.org/provider/11411/,ZIP 14208/14211/14204/14209; income at or below 200% FPL; walk-in with ID/address,mobile pantry,"First-come, one visit per household every 14 days."
Buffalo,Buffalo-Niagara,FeedMore WNY Food Farmacy at D'Youville,301 Connecticut Street Buffalo NY 14213,"Tuesday and Thursday, 10:00 AM–2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,240,716-829-7736,https://www.wnyreentryresources.com/provider/11314/,Income-eligible Erie/Niagara residents; walk-in first-come; no appointment,mobile pantry,No patient relationship required; third-floor Food Farmacy.
Buffalo,Buffalo-Niagara,Hearts Mobile Soup Kitchen,Buffalo & Erie County Library Ellicott Street side Buffalo NY 14201,Tuesday 5:30 PM; Wednesday–Friday 6:00 PM; Saturday 5:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR,SA",17:30,90,716-877-3536,https://www.211wny.org/provider/12317/,Open to all; sign-in log; call for current mobile location,hot meal,Mobile soup-kitchen times differ by day; verify 6 PM start Wed–Fri.
Buffalo,Buffalo-Niagara,Hearts for the Homeless FeedMore Mobile Food Pantry,870–890 Tonawanda Street Buffalo NY 14207,"Fourth Wednesday monthly, 1:00–3:00 PM (not Nov–Dec)",RRULE:FREQ=MONTHLY;BYDAY=4WE,13:00,120,,https://heartsforthehomeless.org/feedmore-mobile-food-pantry/,Everyone welcome; valid ID required; no ZIP restriction,mobile pantry,Rain-or-shine; 10 months annually.
Buffalo,Buffalo-Niagara,Joseph Project – Arkansas Street,Empty lot behind McDonald's on West Ferry Street Buffalo NY,"Fourth Friday monthly, 4:30–5:30 PM",RRULE:FREQ=MONTHLY;BYDAY=4FR,16:30,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Address is described by cross-street/landmark in 211 listing.
Buffalo,Buffalo-Niagara,Joseph Project – Buffalo Dream Center,437 Masten Avenue Buffalo NY 14209,"Third Friday monthly, 4:30–5:30 PM",RRULE:FREQ=MONTHLY;BYDAY=3FR,16:30,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Monthly Buffalo Dream Center schedule.
Buffalo,Buffalo-Niagara,Joseph Project – Church of the Assumption,435 Amherst Street Buffalo NY 14207,"Second Friday monthly, 4:30–5:30 PM",RRULE:FREQ=MONTHLY;BYDAY=2FR,16:30,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Parking lot on Peter Street.
Buffalo,Buffalo-Niagara,Joseph Project – Frederick Douglass Community Center,234 Jefferson Avenue Buffalo NY 14204,"First Friday monthly, 4:30–5:30 PM",RRULE:FREQ=MONTHLY;BYDAY=1FR,16:30,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Monthly Buffalo Dream Center schedule.
Buffalo,Buffalo-Niagara,Joseph Project – Hertel Park Senior Housing,1631 Hertel Avenue Buffalo NY 14216,"Second Friday monthly, 1:00–2:00 PM",RRULE:FREQ=MONTHLY;BYDAY=2FR,13:00,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Site name includes Senior Housing but listing is not senior-only; serves low-income households.
Buffalo,Buffalo-Niagara,Joseph Project – LaSalle Courts,110 Blum Avenue Buffalo NY 14216,"Third Friday monthly, 4:00–5:00 PM",RRULE:FREQ=MONTHLY;BYDAY=3FR,16:00,60,716-854-1001,https://www.211wny.org/provider/7559/,Walk-up; low-income households; photo ID and proof of income,mobile pantry,Monthly Buffalo Dream Center schedule.
