city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Kenansville,Cape Fear,Word of Faith Ministries Food Program,"1288 N NC 11 / 903 Hwy, Kenansville, NC 28349","2nd Wednesday, 8am-9am",RRULE:FREQ=MONTHLY;BYDAY=2WE,8:00,60,910-296-1728,https://www.foodpantries.org/li/word_of_faith_ministries_food_program_28349,Walk-in pantry; call to confirm,walk-in,Duplin County.
Laurinburg,Cape Fear,Partners in Ministry Food Bank,"12 3rd St, Laurinburg, NC 28352","Friday, 9am-11am",RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,120,,https://www.foodhelpline.org/resources/partners-in-ministry,No requirements; no appointment; walk-in,walk-in,Scotland County site in requested major-city list.
Wilmington,Cape Fear,Catholic Social Ministries Food Pantry,"4006 Princess Place Dr, Wilmington, NC 28405","Tuesday-Friday, 9am-11:30am","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",9:00,150,910-251-8130,https://www.foodpantries.org/li/catholic_social_ministries_28405,Walk-in pantry; call to confirm,walk-in,New Hanover County listing.
Wilmington,Cape Fear,Church of St Peter Fisherman Early Bread Pantry,"314 S Carolina Ave, Wilmington, NC 28401","Tuesday and Thursday, 9am-noon","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",9:00,180,910-763-6222,https://www.foodpantries.org/li/nc_wilmington_church-of-st-peter-fisherman-food-pantry,Walk-ins accepted; appointment call also offered,walk-in,Food pantry and clothing closet.
Wilmington,Cape Fear,First Fruit Ministries Food Pantry,"2750 Vance St, Wilmington, NC 28412",Monday 10am-noon,RRULE:FREQ=WEEKLY;BYDAY=MO,10:00,120,910-794-9656,https://www.firstfruitministries.org/copy-of-services,Open to all; no requirements; sign-in on arrival,walk-in,Monday geared to families/caregivers; infant items may be available.
Wilmington,Cape Fear,First Fruit Ministries Food Pantry,"2750 Vance St, Wilmington, NC 28412",Wednesday 10am-noon,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,120,910-794-9656,https://www.firstfruitministries.org/copy-of-services,Open to all; no requirements; sign-in on arrival,walk-in,Client-choice shopping after sign-in.
Wilmington,Cape Fear,First Fruit Ministries Food Pantry,"2750 Vance St, Wilmington, NC 28412",Saturday 10am-1pm,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,180,910-794-9656,https://www.firstfruitministries.org/copy-of-services,Open to all; no requirements; sign-in on arrival,walk-in,Client-choice shopping after sign-in.
Wilmington,Cape Fear,Mother Hubbard's Cupboard,"315 Red Cross St, Wilmington, NC 28401","Wednesday, noon-3pm",RRULE:FREQ=WEEKLY;BYDAY=WE,12:00,180,910-762-2199,https://www.motherhubbardsnc.com/faq,Self-declared need; local individuals/families; household information requested,walk-in,Up to 3 visits/month; call for holiday/weather closures.
Wilmington,Cape Fear,Mother Hubbard's Cupboard,"315 Red Cross St, Wilmington, NC 28401","Saturday, 9am-noon",RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,180,910-762-2199,https://www.motherhubbardsnc.com/faq,Self-declared need; local individuals/families; household information requested,walk-in,Up to 3 visits/month; call for holiday/weather closures.
Wilmington,Cape Fear,Salvation Army Cape Fear Soup Kitchen,"820 N 2nd St, Wilmington, NC 28401","Daily, 6pm-6:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",18:00,30,910-762-7354,https://www.foodpantries.org/ci/nc-wilmington,Everyone welcome; no appointment stated,hot meal,Directory reports daily soup kitchen.
