city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Bismarck,Bismarck Area,Adopt-A-Block at Dream Center,"1805 Park Ave, Bismarck, ND","Monday, Wednesday, Friday 4:30-6:00 PM; Saturday 12:00-1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR,SA",16:30,90,701-955-2150,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Provider listing names this as Adopt-A-Block; verify which pantry door is operating.
Bismarck,Bismarck Area,Bismarck Emergency Food Pantry,"220 W Front Ave, Bismarck, ND","Monday-Tuesday, 1:00-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU",13:00,180,701-258-9188,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Official Great Plains resource listing; confirm holiday closures.
Bismarck,Bismarck Area,Dream Center Bismarck Food Pantry,"1805 Park Ave, Bismarck, ND",Monday-Friday 4:30-6:30 PM; Saturday 12:00-1:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",16:30,120,701-955-2150,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Separate hot-meal service is listed by the provider; this row is the food pantry.
Bismarck,Bismarck Area,Dream Center Bismarck Hot Meals,"1805 Park Ave, Bismarck, ND",Breakfast Mon-Fri 7-9 AM; banquet Mon-Fri 5:30-7 PM; weekend 12-1 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",7:00,120,701-955-2150,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,hot meal,Meal times are separate from the pantry times listed by provider.
Bismarck,Bismarck Area,Heaven's Helpers Soup Café,"220 N 23rd St, Bismarck, ND",Monday-Friday 11:00 AM-5:00 PM; Saturday 11:00 AM-3:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",11:00,360,701-751-7687,https://greatplainsfoodbank.org/wp-content/uploads/2025/05/Bis-Man-Area-Food-Resource-Guide-3.7.25.pdf,Walk-ins welcome; no appointment stated,hot meal,Soup café / meal service; hours in guide can change.
Bismarck,Bismarck Area,Ministry on the Margins Food Pantry,"201 N 24th St, Bismarck, ND","Thursday, 5:00-7:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,17:00,120,701-223-6315,https://greatplainsfoodbank.org/wp-content/uploads/2025/05/Bis-Man-Area-Food-Resource-Guide-3.7.25.pdf,Walk-ins welcome; no appointment stated,walk-in,Guide identifies east parking lot door; verify current hours.
Mandan,Bismarck Area,Spirit of Life Catholic Church Food Pantry / To-go Meals,"801 1st St SE, Mandan, ND",Weekly; published guide lists 10:00 AM-3:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,300,701-663-1660,https://greatplainsfoodbank.org/wp-content/uploads/2025/05/Bis-Man-Area-Food-Resource-Guide-3.7.25.pdf,Walk-ins welcome; no appointment stated,walk-in,Guide says to-go meals and food pantry open; call to confirm day.
Fargo,Fargo Area,Emergency Food Pantry FM,"1101 4th Ave N, Fargo, ND",Mon/Tue/Thu 10-11:30 AM & 1:30-3:30 PM; Wed 10-11:30; Fri 1:30-3:30,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,90,701-237-9337,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,First/third Wednesday evening is appointment-only and excluded; daytime walk-in hours retained.
Fargo,Fargo Area,Olivet Lutheran Church Food Pantry,"1330 S University Dr, Fargo, ND","1st and 3rd Monday, 4:30-6:30 PM","RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1,3",16:30,120,701-235-6603,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Official partner pantry listing; confirm holiday changes.
Fargo,Fargo Area,Peace Lutheran Church Food Pantry,"1011 12th Ave N, Fargo, ND",Tuesday 10:00 AM-12:00 PM; Thursday 3:00-5:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,120,701-232-7166,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Two weekly windows; start_time represents the Tuesday window.
Fargo,Fargo Area,Salvation Army Fargo Community Meals,"304 Roberts St, Fargo, ND",Monday-Friday breakfast 8:00-9:00 AM and lunch 11:30 AM-12:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,60,701-232-5565,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,hot meal,Two daily meal windows; start_time represents breakfast.
West Fargo,Fargo Area,Church of God's Word Food Pantry,"227 W Main Ave, West Fargo, ND",Thursday 10:30 AM-1:30 PM; 3rd Friday 4:00-6:30 PM; 3rd Saturday 10:00 AM-1:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,10:30,180,701-639-6240,https://greatplainsfoodbank.org/get-help/partner-food-pantries/,Walk-ins welcome; no appointment stated,walk-in,Thursday window is weekly; monthly Friday/Saturday windows also listed by provider.
