city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Akron,Akron-Canton,Akron-Canton Regional Foodbank,"350 Opportunity Pkwy, Akron, OH 44307","Every Monday, Wednesday and Friday, 9:00 AM–1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,240,330-535-6900,https://www.akroncantonfoodbank.org/foodbank-food-pantries,Open to the public; households may pick up groceries once per week; show up during open hours.,walk-in,Foodbank-operated choice pantry and resource center.
Alliance,Akron-Canton,Akron-Canton Regional Foodbank,"Glamorgan Castle, 200 Glamorgan St, Alliance, OH 44601","Fourth Wednesday monthly, 11:00 AM–1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=4,11:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,walk-in,New site on published 2026 schedule; verify monthly dates.
Canton,Akron-Canton,Akron-Canton Regional Foodbank,"Patrick Elementary School, 1326 Sherrick Rd SE, Canton, OH 44707","Third Monday monthly, 10:00 AM–12:00 PM",RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=3,10:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,walk-in,Published as walk-thru pop-up.
Canton,Akron-Canton,Akron-Canton Regional Foodbank,"1365 Cherry Ave NE, Canton, OH 44714","Every Monday, Wednesday and Friday, 9:00 AM–1:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,240,330-535-6900,https://www.akroncantonfoodbank.org/foodbank-food-pantries,Open to the public; households may pick up groceries once per week; show up during open hours.,walk-in,Foodbank-operated choice pantry and resource center.
Garrettsville,Akron-Canton,Akron-Canton Regional Foodbank,"Garrettsville Library, 10482 South St, Garrettsville, OH 44231","Second Thursday monthly, 12:00–2:00 PM",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=2,12:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,walk-in,Walk-in May–Oct; drive-thru Nov–Apr.
Kent,Akron-Canton,Akron-Canton Regional Foodbank,"Kent State University Dix Stadium, 2213 Summit St, Kent, OH 44242","Third Wednesday monthly, 1:00–3:00 PM",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=3,13:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,drive-thru,"Drive-thru year-round; open to community, not just students."
Massillon,Akron-Canton,Akron-Canton Regional Foodbank,"Massillon Health Department and School, 611 Erie St S, Massillon, OH 44646","Third Tuesday monthly, 12:30–2:30 PM",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=3,12:30,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,drive-thru,Drive-thru year-round.
Minerva,Akron-Canton,Akron-Canton Regional Foodbank,"Minerva Middle School, 600 E Line St, Minerva, OH 44657","First Monday monthly, 11:00 AM–1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1,11:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,walk-in,New site on published 2026 schedule; verify monthly dates.
Orrville,Akron-Canton,Akron-Canton Regional Foodbank,"Salvation Army Orrville, 401 W High St, Orrville, OH 44667","Second Wednesday monthly, 11:00 AM–1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=2,11:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,walk-in,Published as walk-thru pop-up.
Ravenna,Akron-Canton,Akron-Canton Regional Foodbank,"Portage County Health District, 999 E Main St, Ravenna, OH 44266","First Thursday monthly, 1:00–3:00 PM",RRULE:FREQ=MONTHLY;BYDAY=TH;BYSETPOS=1,13:00,120,330-535-6900,https://www.akroncantonfoodbank.org/pop-food-pantries,Show up during distribution; income eligibility may apply; no pre-registration reported.,drive-thru,Drive-thru Nov–Apr; walk-in May–Oct.
