city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Enid,North Central Oklahoma,Forgotten Ministries Grocery Giveaway,"1714 S 4th St, Enid, OK 73701","1st Saturday, 11:00 AM-1:00 PM",RRULE:FREQ=MONTHLY;BYDAY=1SA,11:00,120,580-616-3368,https://www.forgottenministries.com/fmfoodministry,none; open to individuals in need,walk-in,"Free lunches, groceries and clothing."
Enid,North Central Oklahoma,Loaves & Fishes of Northwest Oklahoma,"701 E Maine St, Enid, OK 73701","Mondays and Wednesdays, 1:00-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",13:00,180,580-540-9830,https://heartline.ok.networkofcare.org/211/services/agency.aspx?pid=loavesandfishesofnorthwestoklahomaclientchoicefoodpantry1884022569_4_1753_0,"photo ID, proof residency/income and household docs; service-area communities",walk-in,Brief intake at visit.
Enid,North Central Oklahoma,Loaves & Fishes of Northwest Oklahoma,"701 E Maine St, Enid, OK 73701","Tuesday, 2:30-5:30 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,14:30,180,580-540-9830,https://heartline.ok.networkofcare.org/211/services/agency.aspx?pid=loavesandfishesofnorthwestoklahomaclientchoicefoodpantry1884022569_4_1753_0,"photo ID, proof residency/income and household docs; service-area communities",walk-in,Brief intake at visit.
Enid,North Central Oklahoma,Loaves & Fishes of Northwest Oklahoma,"701 E Maine St, Enid, OK 73701","Thursday, 9:00 AM-noon",RRULE:FREQ=WEEKLY;BYDAY=TH,09:00,180,580-540-9830,https://heartline.ok.networkofcare.org/211/services/agency.aspx?pid=loavesandfishesofnorthwestoklahomaclientchoicefoodpantry1884022569_4_1753_0,"photo ID, proof residency/income and household docs; service-area communities",walk-in,Brief intake at visit.
Enid,North Central Oklahoma,North Garland Church of Christ Food Pantry,"703 N Garland Rd, Enid, OK 73703","2nd and 3rd Thursday, 9:00-11:00 AM","RRULE:FREQ=MONTHLY;BYDAY=2TH,3TH",09:00,120,,https://heartline.ok.networkofcare.org/211/services/agency.aspx?pid=northgarlandchurchofchristfoodpantry27072275_4_1753_0,"Garfield County; photo ID, proof residence and short assessment; once monthly",walk-in,Canned/nonperishable food.
Enid,North Central Oklahoma,Our Daily Bread,"616 W Randolph Ave, Enid, OK 73701","Monday-Friday breakfast, 7:00-9:00 AM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",07:00,120,580-242-5718,https://ourdailybreadenid.org/,none; arrive hungry,hot meal,"Free meal; all welcome, no questions asked."
Enid,North Central Oklahoma,Our Daily Bread,"616 W Randolph Ave, Enid, OK 73701","Monday-Friday lunch, 10:30 AM-noon","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:30,90,580-242-5718,https://ourdailybreadenid.org/,none; arrive hungry,hot meal,"Free meal; all welcome, no questions asked."
Enid,North Central Oklahoma,Shepherd's Cupboard,"931 E Maple Ave, Enid, OK 73701","1st and 2nd Wednesday, 9:00-11:00 AM","RRULE:FREQ=MONTHLY;BYDAY=1WE,2WE",09:00,120,580-484-0774,https://oklahomafoodbanks.org/food-bank/shepherds-cupboard/,photo ID and household number,drive-thru,Community drive-through pantry.
Perry,North Central Oklahoma,Perry Food Pantry,"736 Elm St, Perry, OK 73077","2nd Friday, 10:00 AM-noon",RRULE:FREQ=MONTHLY;BYDAY=2FR,10:00,120,580-370-6422,https://sites.vivery.org/perry-food-pantry/perry-ok/8912,Perry or Lucien; current utility bill or landlord letter; household names/DOBs,walk-in,One shopping day per household each month.
Perry,North Central Oklahoma,Perry Food Pantry,"736 Elm St, Perry, OK 73077","4th Thursday, 5:00-7:00 PM",RRULE:FREQ=MONTHLY;BYDAY=4TH,17:00,120,580-370-6422,https://sites.vivery.org/perry-food-pantry/perry-ok/8912,Perry or Lucien; current utility bill or landlord letter; household names/DOBs,walk-in,One shopping day per household each month.
Ponca City,North Central Oklahoma,New Emergency Resource Agency (NERA),"112 S 1st St, Ponca City, OK 74601","Monday, noon-3:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,12:00,180,580-765-5372,https://www.neraok.org/let-us-help-435413.html,service-area ZIPs; ID/proof of address for full choices; emergency bag with ID,walk-in,Client-choice grocery center; visit every 30 days.
Ponca City,North Central Oklahoma,New Emergency Resource Agency (NERA),"112 S 1st St, Ponca City, OK 74601","Tuesday, 2:00-5:30 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,14:00,210,580-765-5372,https://www.neraok.org/let-us-help-435413.html,service-area ZIPs; ID/proof of address for full choices; emergency bag with ID,walk-in,Client-choice grocery center; visit every 30 days.
Ponca City,North Central Oklahoma,New Emergency Resource Agency (NERA),"112 S 1st St, Ponca City, OK 74601","Thursday, 9:00 AM-1:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,09:00,240,580-765-5372,https://www.neraok.org/let-us-help-435413.html,service-area ZIPs; ID/proof of address for full choices; emergency bag with ID,walk-in,Client-choice grocery center; visit every 30 days.
Ponca City,North Central Oklahoma,New Emergency Resource Agency (NERA),"112 S 1st St, Ponca City, OK 74601","Friday, 11:00 AM-3:00 PM",RRULE:FREQ=WEEKLY;BYDAY=FR,11:00,240,580-765-5372,https://www.neraok.org/let-us-help-435413.html,service-area ZIPs; ID/proof of address for full choices; emergency bag with ID,walk-in,Client-choice grocery center; visit every 30 days.
Stillwater,North Central Oklahoma,Our Daily Bread Food & Resource Center,"701 E 12th Ave, Stillwater, OK 74074","Mondays, 1:00-3:30 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,13:00,150,405-533-2555,https://www.ourdailybreadstillwater.org/payne-county-residents,ID for household; proof of Payne County residence if ID address is not current; once every 28 days,walk-in,Payne County residents; client-choice groceries.
Stillwater,North Central Oklahoma,Our Daily Bread Food & Resource Center,"701 E 12th Ave, Stillwater, OK 74074","Tuesdays, 3:00-5:30 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,15:00,150,405-533-2555,https://www.ourdailybreadstillwater.org/payne-county-residents,ID for household; proof of Payne County residence if ID address is not current; once every 28 days,walk-in,Payne County residents; client-choice groceries.
Stillwater,North Central Oklahoma,Our Daily Bread Food & Resource Center,"701 E 12th Ave, Stillwater, OK 74074","Thursdays, 11:00 AM-1:30 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,11:00,150,405-533-2555,https://www.ourdailybreadstillwater.org/payne-county-residents,ID for household; proof of Payne County residence if ID address is not current; once every 28 days,walk-in,Payne County residents; client-choice groceries.
