city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Arlington,Central Oregon,Arlington Food Pantry,"150 Hemlock St, Arlington OR",2nd Mon 9am-noon,RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=2,9:00,180,,https://www.capeco-works.org/pantries.html,Walk-in pantry; local service area.,walk-in,
Bend,Central Oregon,Family Kitchen,"231 NW Idaho Ave, Bend OR",Mon/Wed/Fri 10:30am-12:30pm; Tue/Thu 4:30-6:30pm; Sat 2-4pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA",10:30,120,541-760-5677,https://www.thrivecentraloregon.org/_files/ugd/fe7323_0af694191a4e48d3805544a8660cea6b.pdf,Anyone; hot meals to-go.,hot meal,
Bend,Central Oregon,Foundry Church Food Pantry,"205 NW Irving Ave, Bend OR",Mon-Thu 9am-noon & 1-4pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,180,541-382-3862,https://www.thrivecentraloregon.org/_files/ugd/fe7323_0af694191a4e48d3805544a8660cea6b.pdf,Walk-in food bags twice/month.,walk-in,
Bend,Central Oregon,Nativity Lutheran Pantry,"60850 Brosterhaus Rd, Bend OR",Tue 12:30-3pm,RRULE:FREQ=WEEKLY;BYDAY=TU,12:30,150,541-388-0765,https://nativityinbend.com/ministry/,Walk-in shopping-style pantry.,walk-in,
Bend,Central Oregon,Shepherd's House Lighthouse,"275 NE 2nd St, Bend OR",Daily breakfast 7-8am; lunch noon-1pm; dinner 6-7pm,RRULE:FREQ=DAILY,7:00,60,541-388-2096,https://www.thrivecentraloregon.org/_files/ugd/fe7323_0af694191a4e48d3805544a8660cea6b.pdf,Community meals; walk-in.,hot meal,
Bend,Central Oregon,St Vincent de Paul Pantry,"950 SE 3rd St, Bend OR",Tue-Thu 10am-2pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH",10:00,240,541-389-6643,https://www.neighborimpact.org/providers/?_sft_services=food-pantry,Low-income; up to 2 visits/month.,walk-in,
Bend,Central Oregon,The Giving Plate Community Store,"61470 S Hwy 97, Bend OR 97702",Wed 2-6pm; Thu-Fri 10am-4pm; Sat 10am-2pm,"RRULE:FREQ=WEEKLY;BYDAY=WE,TH,FR,SA",14:00,240,541-797-6883,https://www.thegivingplate.org/grocery-program,Central Oregon residents; twice/month.,walk-in,
Condon,Central Oregon,Condon Food Pantry,"103 S Lincoln St, Condon OR",4th Mon 9am-noon,RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=4,9:00,180,,https://www.capeco-works.org/pantries.html,Walk-in pantry; local service area.,walk-in,
Fossil,Central Oregon,Fossil Community Food Pantry,"702 3rd St, Fossil OR 97830",3rd Tue 8am-noon,RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=3,8:00,240,,https://foodfinder.oregonfoodbank.org/locations/fossil-community-food-pantry,Walk-in pantry; call ahead.,walk-in,
Hood River,Central Oregon,FISH Food Bank,"1130 Tucker Rd, Hood River OR 97031",Mon 3-5pm; Wed 9-10am & 3-5:30pm; Fri 3-5pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",15:00,120,541-386-3474,https://www.fishfoodbank.org/,No ID; usually Hood River/Mosier; once/month.,walk-in,
