city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Kutztown,Berks County,"Friend, Inc. Northeastern Berks Food Pantry","60 Bieber Alley, Kutztown, PA",Third Thursday 6-7pm; third Friday 10:30-11:30am open to all,"RRULE:FREQ=MONTHLY;BYDAY=3TH,3FR",18:00,60,610-683-9011,https://www.friendinc.org/food-pantry/,Third Thu/Fri open to all; first Mon-Wed appointment/walk-ins excluded due mixed access,walk-in,Berks County.
Reading,Berks County,Beacon House Food Pantry,"821 Schuylkill Ave, Reading, PA",Thursday and Saturday 10am-1pm,"RRULE:FREQ=WEEKLY;BYDAY=TH,SA",10:00,180,610-374-4696,https://opphouse.org/beacon-house-food-pantry-opens/,Free pantry; income/household eligibility follows TEFAP guidelines,walk-in,Helping Harvest partner; source announcement 2025.
Reading,Berks County,Bethany Lutheran Church Food Pantry,"336 Franklin St, West Reading, PA 19611",Third Wednesday 9:30am-noon; no reserving/holding spots,RRULE:FREQ=MONTHLY;BYDAY=3WE,9:30,150,610-375-7163,https://www.bethanywestreading.org/site/cpage.asp?cpage_id=180094692&sec_id=180019403,Berks County resident; current ID and address verification for new families,walk-in,Wait in line; no reservations.
Reading,Berks County,New Journey Community Outreach,"138 S 6th St, Reading, PA 19602",Food distribution Wednesday 8:30-10am; emergency food appointment-only excluded,RRULE:FREQ=WEEKLY;BYDAY=WE,8:30,90,610-375-3310,https://bceh.org/get-help/food-pantries/,Walk-in distribution hours; emergency food by appointment excluded,walk-in,Reading.
Topton,Berks County,Brandywine Food Pantry Free Community Table,"122 W Franklin St, Topton, PA 19562","Every Tuesday 10am-1pm; first, second, third Tuesday 4-6pm",RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,180,484-861-7117,https://www.friendinc.org/food-pantry/,Anyone; no registration or appointment for Free Community Table only,walk-in,Full pantry appointment rules excluded; table only.
Allport,Central Pennsylvania,"Central Pennsylvania Community Action, Inc.","Gethsemane United Methodist Church, 369 Allport-Bigler Rd, Allport, PA 16821",1st and 3rd Wednesday monthly,"RRULE:FREQ=MONTHLY;BYDAY=1WE,3WE",9:00,120,814-345-6860,https://www.cpcaa.net/foodpantrylocations,Food pantry distribution; eligibility/service-area rules may apply; call listed pantry before attending.,walk-in,Call to confirm current distribution.
Bellefonte,Central Pennsylvania,FaithCentre Food Bank,"131 S Allegheny St, Bellefonte, PA 16823",Every Wednesday,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,240,814-355-4400,https://scfoodbank.org/clients/other-agencies-and-info,Centre County service-area rules may apply; call pantry to confirm.,walk-in,Food pantry; directory lists emergency Mon-Tue hours separately.
Bellefonte,Central Pennsylvania,FaithCentre Food Bank,"131 S Allegheny St, Bellefonte, PA 16823",Every Thursday,RRULE:FREQ=WEEKLY;BYDAY=TH,13:00,240,814-355-4400,https://scfoodbank.org/clients/other-agencies-and-info,Centre County service-area rules may apply; call pantry to confirm.,walk-in,Food pantry; directory lists emergency Mon-Tue hours separately.
Centre Hall,Central Pennsylvania,Centre Hall-Potter Township Food Pantry,"Grace United Methodist Church, 127 S Pennsylvania Ave, Centre Hall, PA 16828",3rd Tuesday monthly,RRULE:FREQ=MONTHLY;BYDAY=3TU,12:30,210,814-531-6151,https://scfoodbank.org/clients/other-agencies-and-info,Service area: Centre Hall Borough/Potter Township; appointment option also listed.,walk-in,Directory lists 12:30-4 PM or by appointment.
Clearfield,Central Pennsylvania,"Central Pennsylvania Community Action, Inc.","Clearfield Area Food Pantry, 212 Hammermill Rd, Clearfield, PA 16830","Monday-Wednesday, except 3rd Wednesday","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE",10:00,300,814-577-8905,https://www.cpcaa.net/foodpantrylocations,Food pantry distribution; eligibility/service-area rules may apply; call listed pantry before attending.,walk-in,Directory lists 10 AM-3 PM; verify holiday changes.
Curwensville,Central Pennsylvania,"Central Pennsylvania Community Action, Inc.","Curwensville Presbyterian Church, 430 Locust St, Curwensville, PA 16817",3rd Wednesday monthly,RRULE:FREQ=MONTHLY;BYDAY=3WE,10:00,180,814-577-8905,https://www.cpcaa.net/foodpantrylocations,Food pantry distribution; eligibility/service-area rules may apply; call listed pantry before attending.,walk-in,Call to confirm current distribution.
Dubois,Central Pennsylvania,"Central Pennsylvania Community Action, Inc.","DuBois Area Food Pantry, 228 First St, DuBois, PA 15801","1st, 2nd, and 4th Thursday monthly","RRULE:FREQ=MONTHLY;BYDAY=1TH,2TH,4TH",9:30,120,814-913-2100,https://www.cpcaa.net/foodpantrylocations,Food pantry distribution; eligibility/service-area rules may apply; call listed pantry before attending.,walk-in,Call to confirm current distribution.
Karthaus,Central Pennsylvania,"Central Pennsylvania Community Action, Inc.","Karthaus Township Building, 367 Market St, Karthaus, PA 16845",2nd Wednesday monthly,RRULE:FREQ=MONTHLY;BYDAY=2WE,9:30,120,814-263-7265,https://www.cpcaa.net/foodpantrylocations,Food pantry distribution; eligibility/service-area rules may apply; call listed pantry before attending.,walk-in,Call to confirm current distribution.
Lock Haven,Central Pennsylvania,Salvation Army Lock Haven Corps,"119 E Church St, Lock Haven, PA 17745",Every Monday,RRULE:FREQ=WEEKLY;BYDAY=MO,13:00,60,570-748-2951,https://easternusa.salvationarmy.org/eastern-pennsylvania/lock-haven/alleviate-hunger/,All are welcome; no pre-registration stated.,walk-in,"Free Food Program; grocery donations, meat, and canned goods."
Lock Haven,Central Pennsylvania,Salvation Army Lock Haven Corps,"119 E Church St, Lock Haven, PA 17745",Every Thursday,RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,60,570-748-2951,https://easternusa.salvationarmy.org/eastern-pennsylvania/lock-haven/alleviate-hunger/,All are welcome; no pre-registration stated.,walk-in,"Free Food Program; grocery donations, meat, and canned goods."
Lock Haven,Central Pennsylvania,Salvation Army Lock Haven Corps,"119 E Church St, Lock Haven, PA 17745",Monday-Friday,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:30,60,570-748-2951,https://easternusa.salvationarmy.org/eastern-pennsylvania/lock-haven/alleviate-hunger/,Open to the community; no pre-registration stated.,hot meal,More Than Bread Express hot meal; confirm holiday changes.
