city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Barrington,East Bay,Open Hands Food Pantry – Barrington Baptist Church,"Cedar Hall, 25 Old County Rd, Barrington, RI 02806","Saturdays, 10 AM (until supplies last)",RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,90,401-246-0188,https://www.bbcri.org/open-hands,No registration; first-come; anyone with food needs,walk-in,
Cranston,East Bay,Edgewood Pawtuxet Food Closet,"Transfiguration Church, 1665 Broad St, Cranston, RI 02905",Tuesday and Friday 9–10:45 AM; Wednesday 5–6:15 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,FR",9:00,105,401-461-3146,https://dhs.ri.gov/sites/g/files/xkgbur426/files/2023-09/FAL-SEP-6-2023-QR-code.pdf,Serves 02905 Cranston/Providence and 02888 Warwick; twice monthly; walk-in,walk-in,
East Providence,East Bay,East Bay CAP East Providence pantry,"Dennis Roy Building, 100 Bullocks Point Ave, East Providence, RI 02915",Monday 8 AM–4:30 PM; Wednesday/Thursday 12:30–4:30 PM; Friday 8 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,TH,FR",8:00,510,401-437-1000,https://ebcap.org/programs/food-pantries/,No appointment; walk-in; photo ID and brief application on site; East Bay residents,walk-in,Twice-monthly service limit may apply.
East Providence,East Bay,Good Neighbors Riverside Community Kitchen,"55 Turner Ave (entrance Dorr Ave), Riverside, RI 02915",Monday–Thursday 11 AM–1 PM; Friday 9:30 AM–1 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:00,120,401-434-7490,https://www.goodneighborsri.org/find-food,Free hot lunch; everyone welcome; dine-in or to-go; walk-in,hot meal,Friday begins at 9:30 AM; other weekdays 11 AM.
East Providence,East Bay,Good Neighbors Riverside Food Pantry,"55 Turner Ave (entrance Dorr Ave), Riverside, RI 02915",Every Wednesday 9 AM–12 PM; third Tuesday 5–7 PM; last Saturday 10 AM–12 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,180,401-434-7490,https://www.goodneighborsri.org/find-food,East Providence/neighboring residents; ID for pantry registration; walk-in,walk-in,Calendar captures weekly Wednesday; evening/weekend dates in schedule text.
Newport,East Bay,East Bay CAP Newport Food Pantry,"Jean E. Hicks Center, 19 Broadway, Newport, RI 02840",Monday 10 AM–2 PM; Thursday 9 AM–2 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TH",9:00,300,401-848-6697,https://ebcap.org/programs/food-pantries/,No appointment; walk-in; photo ID and brief application on site; Newport County residents,walk-in,Twice-monthly service limit may apply.
Newport,East Bay,MLK Community Center North End Food Pantry,"120 Hillside Ave, Newport, RI 02840",Monday 3–5 PM; Tuesday and Friday 9 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,FR",9:00,180,401-846-4828,https://mlkccenter.org/north-end-food-pantry/,"Walk-in, first-come; bring ID/bags if available; service for Newport County",walk-in,
Warwick,East Bay,Living Faith Christian Church Pantry,"11 Clifford St, Warwick, RI",Sunday 9–10 AM & 12:30–1:30 PM; Monday 10 AM–12 PM; Wednesday 4–6 PM; Thursday 1:30–2:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=SU,MO,WE,TH",9:00,120,,https://livingfaithri.org/pantry,Neighborhood pantry; walk in during volunteer-staffed hours; hours may change,walk-in,Volunteer-dependent schedule; check closures.
Warwick,East Bay,Westbay CAP Marketplace,"487 Jefferson Blvd, Warwick, RI 02886",Monday–Friday 9 AM–3 PM (closed 12–1),"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,360,401-732-4660,https://rifoodbank.org/wp-content/uploads/2025/12/FAL-DEC-2025.pdf,Walk-ins welcome; new shoppers may schedule intake; weekly visits,walk-in,
Pawtucket,Providence Metro,Holy Family Parish Pantry,"195 Walcott St, Pawtucket, RI 02860","Second and fourth Tuesdays, 9–10:30 AM","RRULE:FREQ=MONTHLY;BYDAY=2TU,4TU",9:00,90,401-724-9190,https://rifoodbank.org/wp-content/uploads/2025/12/FAL-DEC-2025.pdf,Serves Pawtucket/Central Falls; walk-in; every other week; accessible,walk-in,
Pawtucket,Providence Metro,Salvation Army Pawtucket Food Pantry,"102 High St, Pawtucket, RI 02860","Wednesdays, 9 AM–12 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,180,401-722-0320,https://dhs.ri.gov/sites/g/files/xkgbur426/files/2023-09/FAL-SEP-6-2023-QR-code.pdf,Serves Pawtucket/Central Falls/Cumberland/Lincoln/Rumford; walk-in,walk-in,
Pawtucket,Providence Metro,St. Matthew Trinity Lutheran Food Pantry,"690 Newport Ave, Pawtucket, RI 02861",Thursday and Friday 9 AM–12 PM; second and fourth Sunday 11 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=TH,FR,SU",9:00,180,401-723-5632,https://www.foodpantries.org/li/st_matthew_trinity_lutheran_food_pantry_02861,Walk-in; call ahead to confirm current hours,walk-in,Directory warns pantry hours can change.
Providence,Providence Metro,Better Lives Rhode Island Food Pantry,"12 Abbott Park Place, Providence, RI 02903",Monday 2–5 PM; Tuesday–Wednesday 9 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE",9:00,180,401-454-7422,https://www.betterlivesri.org/contact,Providence residents; bring ID/proof of address; no appointment required,walk-in,
Providence,Providence Metro,Meals on Wheels of Rhode Island No-Cost Market,"70 Bath St, Providence, RI 02908","Tuesdays, 10:00 AM–2:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,240,401-351-6700,https://www.rimeals.org/programs/food-pantry/,No appointment; photo ID and proof of address first visit; bring bags,walk-in,
Providence,Providence Metro,Olneyville Food Center,"261 Manton Ave, Providence, RI 02909",Tuesday/Thursday 9 AM–2 PM; Wednesday 9 AM–1 PM; Friday 9 AM–12 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",9:00,300,401-272-7111,https://www.providenceri.gov/food-pantries/,Serves Providence 02908/02909; guests may visit twice monthly; walk-in,walk-in,
