city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Chester,Catawba Region,Christ Central Chester Food Distribution,"144 Gadsden St, Chester, SC 29706",Every Monday 9 AM-12 PM,RRULE:FREQ=WEEKLY;BYDAY=MO,9:00,180,,https://www.foodpantries.org/li/sc_29706_chester-christ-central-mission-station,Call pantry for current requirements,walk-in,Directory listing; verify current schedule.
Chester,Catawba Region,Christ Central Chester Food Distribution,"133 Hudson St, Chester, SC 29706",Every Wednesday 9 AM-12:30 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,210,,https://www.foodpantries.org/li/sc_29706_chester-christ-central-mission-station,Call pantry for current requirements,walk-in,Directory listing; verify current schedule.
Rock Hill,Catawba Region,HOPE of Rock Hill,"504 Oakland Ave, Rock Hill, SC 29730",Mon-Thu doors open 8:30 AM; service 9-10:30 AM first-come,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",8:30,120,803-328-8000,https://www.hopeofrockhill.com/contact.html,York County resident; SC ID; household documents may be requested,walk-in,First-come service; 30 families/day or until 10:30; Tuesday evening working-client window also listed.
Rock Hill,Catawba Region,Lakeshore Catawba Pantry,"2203 S Anderson Rd, Rock Hill, SC 29704",3rd Saturday monthly 9-11 AM,RRULE:FREQ=MONTHLY;BYDAY=3SA,9:00,120,803-548-2755,https://lakeshorecf.com/food-pantry/,Short form on arrival; York County service area,walk-in,"First-come, first-served; simply show up."
Rock Hill,Catawba Region,Manna House Pantry,"546 S Cherry Rd, Rock Hill, SC 29732",Every Saturday 8:45-11 AM; gate opens 7:30,RRULE:FREQ=WEEKLY;BYDAY=SA,8:45,135,,https://www.themannahousepantry.org/,Call pantry for requirements,drive-thru,Curbside pickup; arrive early.
Rock Hill,Catawba Region,Pilgrims’ Inn Emergency Food Pantry,"236 W Main St, Rock Hill, SC 29730",Tue-Fri 8:30 AM-1 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",8:30,270,803-327-4227,https://pilgrimsinn.org/get-help/emergency-assistance/,York County; assistance every 30 days,drive-thru,Drive-through process; call ahead.
Abbeville,Central Savannah,Crossroads Ministries / My Brother’s Keeper,"37 Union Church Rd, Abbeville, SC 29620",Every Friday 9 AM-1 PM,RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,240,864-366-3484,https://www.freefood.org/l/crossroads_ministries_my_brothers_keeper,Abbeville County service area; call for rules,walk-in,Directory listing; verify address/hours.
Aiken,Central Savannah,Mt Anna Baptist Pantry,"2612 Banks Mill Rd, Aiken, SC 29803",Every Tuesday 10 AM-12 PM,RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,120,803-648-7017,https://www.freefood.org/l/sc_29803_mt-anna-baptist,Call pantry for requirements,walk-in,Directory listing; verify schedule.
Aiken,Central Savannah,Salvation Army Aiken Food Pantry,"322 Gayle Ave, Aiken, SC 29801",Mon-Thu 8:30 AM-3:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",8:30,420,803-641-4141,https://www.salvationarmyusa.org/sc/aiken/gayle-ave-nw-corps/hunger/,Call pantry for current requirements,walk-in,Food pantry hours from Salvation Army site.
Aiken,Central Savannah,Salvation Army Aiken Soup Kitchen,"604 Park Ave SE, Aiken, SC 29801",Mon-Fri at 12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,60,803-641-4149,https://www.salvationarmyusa.org/sc/aiken/gayle-ave-nw-corps/hunger/,Anyone in need; call ahead,hot meal,Free soup kitchen meal.
Aiken,Central Savannah,Second Baptist of Aiken Pantry,"425 Hampton Ave NW, Aiken, SC 29801",Every Saturday 10 AM-12 PM,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,120,803-649-2665,https://www.freefood.org/l/sc_29801_second-baptist-of-aiken,Call pantry for requirements,walk-in,Directory listing; verify schedule.
Aiken,Central Savannah,Williams Chapel Church of God Pantry,"212 Abbeville Ave NE, Aiken, SC 29801",Every Friday 11 AM-2 PM,RRULE:FREQ=WEEKLY;BYDAY=FR,11:00,180,803-649-2318,https://www.freefood.org/l/sc_29801_williams-chapel-church-of-god,Call pantry for requirements,walk-in,Directory listing; verify schedule.
Edgefield,Central Savannah,Pleasant Grove Baptist Pantry,"1120 Hwy 25 N, Edgefield, SC 29824",Every Saturday 9-11 AM,RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,120,803-637-1287,https://www.freefood.org/l/sc_29824_pleasant-grove-baptist,Call pantry for current requirements,walk-in,Directory listing; verify schedule.
Greenwood,Central Savannah,Food Bank of Greenwood County,"222 East Ave, Greenwood, SC 29646",Mon-Thu 10 AM-1 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:00,180,864-227-1556,https://www.gwdfoodbank.org/,Call pantry for current requirements,walk-in,Food pantry hours from organization site.
Greenwood,Central Savannah,Immanuel Lutheran Church Food Pantry,"501 E Creswell Ave, Greenwood, SC 29646",Tue 9:30-11:30 AM; Thu 11:30 AM-1:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",9:30,120,864-223-0590,https://www.ilcgreenwood.com/food-pantry,Call pantry for current requirements,walk-in,Two weekly windows; Sunday soup kitchen listed separately.
Greenwood,Central Savannah,Immanuel Lutheran Church Soup Kitchen,"501 E Creswell Ave, Greenwood, SC 29646",Every Sunday 11:30 AM-12:30 PM,RRULE:FREQ=WEEKLY;BYDAY=SU,11:30,60,864-223-0590,https://www.ilcgreenwood.com/food-pantry,Anyone in need; call ahead,hot meal,Sunday soup kitchen.
McCormick,Central Savannah,McCormick Helping Hands Food Pantry,"211 S Main St, McCormick, SC 29835",Every Tuesday 10 AM-1 PM,RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,180,864-602-9747,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3725/MCS/2933886/Food_Pantry_PUBLIC_NOTICE_5.pdf,Current SC photo ID; McCormick County resident; income eligibility,drive-thru,Public notice says drive-thru; extra Saturday only if demand warrants.
Charleston,Charleston Metro,Catholic Charities of South Carolina – Coastal Office,"1662 Ingram Rd, Charleston, SC 29407",Monday–Thursday 10:00 AM–1:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:00,180,843-531-5570,https://www.foodpantries.org/ci/sc-charleston,Walk-ins welcome; call to confirm current hours.,walk-in,Free groceries; Charleston-area listing.
Charleston,Charleston Metro,Grace United Methodist Church – Acts of Grace,"1601 Sam Rittenberg Blvd, Charleston, SC 29407",Mondays 1:00–3:00 PM,RRULE:FREQ=WEEKLY;BYDAY=MO,13:00,120,843-766-1621,https://www.mygraceumc.org/acts-of-grace,First-time clients complete a form; everyone in need welcome.,walk-in,Client-choice pantry; call to confirm.
Charleston,Charleston Metro,James Island Outreach,"1860 Camp Rd, Charleston, SC 29412",Client-choice pantry Tuesday and Thursday 9:30–11:30 AM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",9:30,120,843-762-3653,https://www.jioutreach.org/food-assistance,No appointment; register on arrival. James Island/Folly Beach service area.,walk-in,Clients may shop once monthly.
Charleston,Charleston Metro,James Island Outreach,"1860 Camp Rd, Charleston, SC 29412",Drive-through distribution Saturdays 9:00–11:30 AM,RRULE:FREQ=WEEKLY;BYDAY=SA,9:00,150,843-762-3653,https://www.jioutreach.org/food-assistance,Register on arrival if new; no advance appointment stated.,drive-thru,"Limited produce, bread and meat may be available."
Charleston,Charleston Metro,One80 Place,"35 Walnut St, Charleston, SC 29403",Community lunch daily 1:00–1:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",13:00,30,843-723-9477,https://www.one80place.org/community-lunch-schedule,Walk-in community lunch; no appointment stated.,hot meal,Schedule published Monday–Sunday.
Charleston,Charleston Metro,Our Lady of Mercy Community Outreach – Neighborhood House,"1684 Brownswood Rd, Johns Island, SC 29455",Food pantry Monday–Thursday 9:00–11:30 AM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,150,843-559-4109,https://www.foodpantries.org/ci/sc-charleston,Walk-in pantry hours listed; call to confirm.,walk-in,Pantry location serves Eastside/downtown per listing; address is Johns Island.
Charleston,Charleston Metro,Our Lady of Mercy Community Outreach – Neighborhood House,"1684 Brownswood Rd, Johns Island, SC 29455",Free lunch Monday–Friday 12:00–1:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,90,843-559-4109,https://www.foodpantries.org/ci/sc-charleston,Walk-in meal; call to confirm.,hot meal,Free lunch; neighborhood service.
North Charleston,Charleston Metro,Aldersgate United Methodist Church To-Go Soup Kitchen,"1444 Remount Rd, North Charleston, SC 29406",Mondays and Thursdays 10:30–11:30 AM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TH",10:30,60,843-744-0283,https://aldersgateremount.org/Outreach/,Walk-up or drive-through; first-come meals.,hot meal,"Free warm meal; walk-up or drive-through; first-come, first-served."
North Charleston,Charleston Metro,Holy City Missions / Aldersgate Food Bank & Clothes Closet,"1444 Remount Rd, North Charleston, SC 29406",Wednesdays 10:00–11:00 AM,RRULE:FREQ=WEEKLY;BYDAY=WE,10:00,60,843-647-0320,https://aldersgateremount.org/Outreach/,Guests welcomed for food bank session; registration is handled on site.,walk-in,Fresh and non-perishable food; toiletries also offered.
North Charleston,Charleston Metro,Holy City Missions / Aldersgate Food Bank & Clothes Closet,"1444 Remount Rd, North Charleston, SC 29406",Thursdays 6:00–7:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,18:00,60,843-647-0320,https://aldersgateremount.org/Outreach/,Guests welcomed for food bank session; registration is handled on site.,walk-in,Fresh and non-perishable food; toiletries also offered.
North Charleston,Charleston Metro,House of Hope North Charleston – Feed the Sheep,"3629 Azalea Dr, North Charleston, SC 29405",Third Saturday monthly at 10:00 AM,RRULE:FREQ=MONTHLY;BYDAY=3SA,10:00,120,,https://www.houseofhopenorthcharleston.com/,Direct distribution; no appointment requirement posted.,drive-thru,Monthly drive-up distribution; supplies may run out.
North Charleston,Charleston Metro,Living Hope Baptist Church,"8310 Dorchester Rd, North Charleston, SC 29418",Wednesdays 5:30–6:30 PM,RRULE:FREQ=WEEKLY;BYDAY=WE,17:30,60,843-552-4135,https://www.hope4charleston.com/ministries/community-food-distribution,Neighbors invited to pick up food; no appointment stated.,walk-in,Food supplies available for pickup inside church.
North Charleston,Charleston Metro,Park Circle Cares,"1087 E Montague Ave, North Charleston, SC 29405",Third Saturday monthly at 8:30 AM,RRULE:FREQ=MONTHLY;BYDAY=3SA,8:30,120,,https://www.facebook.com/WhatsGoingOnInCharleston/posts/-free-food-distribution-in-north-charleston-this-saturdaypark-circle-cares-will-/1553022666869000/,Walk-up/drive-up; first families while supplies last.,drive-thru,Facebook/news post describes monthly fresh produce distribution; verify date.
North Charleston,Charleston Metro,Seacoast Church North Charleston Food Pantry,"5505 N Rhett Ave, North Charleston, SC 29406",Thursdays 8:30 AM until supplies last,RRULE:FREQ=WEEKLY;BYDAY=TH,8:30,120,843-375-1099,https://www.seacoast.org/location/north-charleston,Walk-in food kits; supplies last.,walk-in,Lowcountry Food Bank partner.
Summerville,Charleston Metro,Christ Temple of Summerville Food Pantry,"1815 Old Trolley Rd Ste 104, Summerville, SC 29485",Second and fourth Saturday 9:00 AM–12:00 PM,"RRULE:FREQ=MONTHLY;BYDAY=2SA,4SA",9:00,180,843-875-5794,https://www.christtempleofsummerville.org/food-bank/,Walk-in pantry; once-monthly service stated.,walk-in,Community service site.
Summerville,Charleston Metro,Seacoast Church Summerville Food Pantry,"301 E 5th North St, Summerville, SC 29483",First and third Saturday monthly 9:00–11:00 AM,"RRULE:FREQ=MONTHLY;BYDAY=1SA,3SA",9:00,120,843-486-0193,https://www.seacoast.org/local-ministry-partners/food-pantries,"First-come, first-served; photo ID requested; no income proof.",drive-thru,Distribution events; supplies last.
Summerville,Charleston Metro,St. Paul’s Summerville / Impact Ministries,"316 W Carolina Ave, Summerville, SC 29483",Second Saturday monthly 9:00–11:00 AM,RRULE:FREQ=MONTHLY;BYDAY=2SA,9:00,120,843-873-1991,https://www.freefood.org/l/sc_29483_impact-ministries-food-distribution,Free community distribution; call to confirm.,walk-in,Partnership with Feeding America and Lowcountry Food Bank.
Andrews,Grand Strand,Helping Hands of Georgetown County – Andrews Remote Distribution,"130 Howell St, Andrews, SC 29510",Third Wednesday monthly from 9:00 AM,RRULE:FREQ=MONTHLY;BYDAY=3WE,9:00,180,843-527-3424,https://www.helpinghandsofgeorgetown.org/food-pantry/,29510 ZIP-code residents only; bring required pantry documents.,drive-thru,Official page gives start time; end time not posted.
Conway,Grand Strand,The Shepherd’s Table Community Kitchen,"1412 Gamecock Ave, Conway, SC 29526",Monday–Friday lunch 11:00 AM–12:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:00,90,843-488-3663,https://www.shepherdstableconway.org/services,Walk-in hot meal; no appointment stated.,hot meal,Community kitchen.
Conway,Grand Strand,The Shepherd’s Table Community Kitchen,"1412 Gamecock Ave, Conway, SC 29526",Monday–Friday dinner 4:00–5:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",16:00,90,843-488-3663,https://www.shepherdstableconway.org/services,Walk-in hot meal; no appointment stated.,hot meal,Community kitchen.
Conway,Grand Strand,The Shepherd’s Table Fresh Xpress,"1412 Gamecock Ave, Conway, SC 29526",Third Saturday monthly 9:00–11:00 AM,RRULE:FREQ=MONTHLY;BYDAY=3SA,9:00,120,843-488-3663,https://www.shepherdstableconway.org/services,No-cost farmers market; walk-in distribution.,mobile pantry,Fresh produce; separate OrderAhead lockers excluded.
Georgetown,Grand Strand,Helping Hands of Georgetown County – Gloria’s Place Food Pantry,"1813 Highmarket St, Georgetown, SC 29440",Monday–Thursday 9:00 AM–12:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,180,843-527-3424,https://www.helpinghandsofgeorgetown.org/food-pantry/,"SC ID, Georgetown County residency proof and income eligibility documentation.",walk-in,Client-choice pantry; call to confirm.
Kingstree,Grand Strand,Greater St. Mark AME Church Food Pantry,"300 W Main St, Kingstree, SC 29556",Thursdays 12:00–3:00 PM,RRULE:FREQ=WEEKLY;BYDAY=TH,12:00,180,,https://feedam.org/resource/207742,Walk-ins accepted; call 211 for current confirmation.,walk-in,Affiliated with Lowcountry Food Bank per directory.
Myrtle Beach,Grand Strand,Socastee Food Pantry – Faith Outreach Ministries,"4513 US Hwy 17 Bypass S, Myrtle Beach, SC 29578",Monday 11:00 AM–2:30 PM; Tuesday–Wednesday 10:00 AM–2:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE",10:00,240,843-420-9027,https://www.faithoutreachministries-gs.org/content.cfm?id=9018,Walk-in pantry; call to confirm.,walk-in,Weekly community pantry.
Myrtle Beach,Grand Strand,The Community Kitchen,"1411 Mr. Joe White Ave, Myrtle Beach, SC 29577",Breakfast Monday–Friday 7:30–9:00 AM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",7:30,90,,https://unitedwayhorry.org/food-resources/,Walk-in hot meal; schedule can change.,hot meal,United Way Horry resource listing.
Myrtle Beach,Grand Strand,The Community Kitchen,"1411 Mr. Joe White Ave, Myrtle Beach, SC 29577",Lunch Monday–Friday 11:00 AM–1:00 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:00,120,,https://unitedwayhorry.org/food-resources/,Walk-in hot meal; schedule can change.,hot meal,United Way Horry resource listing.
Anderson,Greenville-Spartanburg,Anderson Interfaith Ministries Pantry,"1202 S Murray Ave, Anderson, SC 29624",Mon-Fri 9-11:30 AM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,150,864-226-2273,https://www.foodpantries.org/li/anderson-interfaith-ministries,Call pantry for current requirements,walk-in,Directory listing; verify schedule.
Anderson,Greenville-Spartanburg,Salvation Army of Anderson,"112 Tolly St, Anderson, SC 29624",Mon-Thu 9 AM-4:30 PM; Fri 9 AM-12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,450,864-225-7381,https://www.foodpantries.org/li/salvation-army-of-anderson,Proof of income/expenses may be requested; call ahead,walk-in,Public directory lists food pantry hours; intake may apply.
Easley,Greenville-Spartanburg,The Storehouse Pantry,"1021 S Pendleton St, Easley, SC 29642",Every Saturday 10-11 AM,RRULE:FREQ=WEEKLY;BYDAY=SA,10:00,60,864-920-3663,https://thestorehouseeasley.org/,Photo ID,drive-thru,Serves Pickens/Greenville/Anderson; call to confirm.
Easley,Greenville-Spartanburg,The Storehouse at Powdersville First Baptist,"4212 Hwy 153, Easley, SC 29642",1st Thursday monthly 6-7:30 PM,RRULE:FREQ=MONTHLY;BYDAY=1TH,18:00,90,864-920-3663,https://thestorehouseeasley.org/,Call organization for current requirements,drive-thru,Monthly drive-thru site.
Easley,Greenville-Spartanburg,United Christian Ministries,"303 Dacusville Hwy, Easley, SC 29640","Mon, Wed & Fri 9 AM-12 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",9:00,180,864-671-1134,https://www.foodpantries.org/li/united-christian-ministries,Call pantry for current requirements,walk-in,Pickens County listing; verify current hours.
Gaffney,Greenville-Spartanburg,Bread From Heaven Food Distribution,"308 College Dr, Gaffney, SC 29340",3rd Saturday monthly 8:30 AM-12 PM,RRULE:FREQ=MONTHLY;BYDAY=3SA,8:30,210,864-489-6183,https://www.findhelp.org/episcopal-church-of-the-incarnation--gaffney-sc--bread-from-heaven---food-distribution/5145458914164736,Anyone; no appointment stated,mobile pantry,Cherokee County; directory last reviewed 2026.
Gaffney,Greenville-Spartanburg,Peach Center Ministries,"518 N Limestone St, Gaffney, SC 29340",Mon-Thu 9 AM-12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,180,864-489-2549,https://foodpantries.org/li/sc_29340_peach-center-ministries-inc,Call pantry for current requirements,walk-in,Serves Cherokee County.
Gray Court,Greenville-Spartanburg,Laurens County Food Ministry,"4471 Greenpond Rd, Gray Court, SC 29645",Every Monday 9 AM-1 PM,RRULE:FREQ=WEEKLY;BYDAY=MO,9:00,240,864-862-4674,https://ampleharvest.org/food-pantries/laurens-county-food-ministry-829/,Call pantry for current requirements,walk-in,Directory listing last updated 2021; verify before visiting.
Greenville,Greenville-Spartanburg,Catholic Charities Our Lady’s Pantry,"2300 Old Buncombe Rd, Greenville, SC 29609",Tue & Fri 9 AM-1 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,FR",9:00,240,864-331-2629,https://www.foodpantries.org/li/sc_29609_catholic-charities-our-ladys-pantry-greenville,Call pantry for current ID/service-area rules,walk-in,Directory listing; verify schedule.
Greenville,Greenville-Spartanburg,Harvest Hope Food Bank,"2818 White Horse Rd, Greenville, SC 29611",Mon-Thu 9 AM-1 PM; closed last business day monthly,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",9:00,240,864-281-3995,https://www.harvesthope.org/about/locations,Photo ID; household birthdays; county residency for USDA commodities; no appointment,walk-in,Second Friday monthly is CSFP-only; call ahead for holidays/inventory.
Greenville,Greenville-Spartanburg,Miracle Hill From God To You Food Warehouse,"725 Keith Dr, Greenville, SC 29607",Mon-Fri 8 AM-12 PM,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,240,864-242-2911,https://miraclehill.org/shelters/food-warehouse/,Photo ID and two pieces of matching mail; one person per household,walk-in,Food boxes available up to six consecutive months.
Greenville,Greenville-Spartanburg,North Greenville Crisis Ministry,"811 Pendleton Rd, Greenville, SC 29617",Tue & Wed 9-11:30 AM,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE",9:00,150,864-834-7342,https://www.foodpantries.org/ci/sc-greenville,Service boundaries; photo ID and proof of residency,walk-in,Food available every other month per listing.
Greenville,Greenville-Spartanburg,Our Saviour Community Ministries,"2600 Wade Hampton Blvd, Greenville, SC 29615",Tue & Thu 12:30-2:30 PM,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",12:30,120,864-244-2836,https://www.feedourneighborsfoodpantry.org/,State-issued ID,walk-in,Pantry is behind the church; call to confirm.
