city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Athens,Chattanooga Area,St. Paul Episcopal Church – free lunch,"123 S. Jackson Street, Athens, TN 37303","Wednesdays, 12:00 p.m. (free lunch)",RRULE:FREQ=WEEKLY;BYDAY=WE,12:00,60,423-745-2224,https://www.foodpantries.org/li/st-paul-episcopal-church,none stated,hot meal,Source states church hosts free lunch Wednesdays; pantry hours are not specified.
Benton,Chattanooga Area,People Helping People – food distribution,"121 Poplar Street, Benton, TN 37307","First Monday, 10:00 a.m.–1:00 p.m.",RRULE:FREQ=MONTHLY;BYDAY=1MO,10:00,180,423-299-9062,https://peoplehelpingpeopletn.org/food-programs,One bag of nonperishable food per household per month,walk-in,"Come on either distribution day, not both."
Benton,Chattanooga Area,People Helping People – food distribution,"121 Poplar Street, Benton, TN 37307","Third Thursday, 2:00–4:00 p.m.",RRULE:FREQ=MONTHLY;BYDAY=3TH,14:00,120,423-299-9062,https://peoplehelpingpeopletn.org/food-programs,One bag of nonperishable food per household per month,walk-in,"Come on either distribution day, not both."
Chattanooga,Chattanooga Area,Community Food Pantry at St Thaddaeus,"4300 Locksley Lane, Chattanooga, TN 37416","Every Saturday, 2:00–4:00 p.m.",RRULE:FREQ=WEEKLY;BYDAY=SA,14:00,120,423-400-0826,https://www.foodpantries.org/li/tn_37416_community-food-pantry-at-st-thaddaeus,none; free food for all in need,walk-in,"Food, household necessities, and clean clothing may also be available."
Chattanooga,Chattanooga Area,Helping Hands Pantry – Thankful Missionary Baptist Church,"980 N Orchard Knob Ave, Chattanooga, TN 37406","Third Saturday of each month, 11:00 a.m.–12:00 p.m.",RRULE:FREQ=MONTHLY;BYDAY=3SA,11:00,60,423-622-1839,https://www.foodpantries.org/li/helping-hands-pantry-thankful-mb-church,none stated,walk-in,Call to confirm current hours.
Chattanooga,Chattanooga Area,Red Bank Community Food Pantry,"3800 Dayton Blvd, Chattanooga, TN 37415","First Thursday, 11:00 a.m.–1:30 p.m.; third Thursday, 5:00–7:00 p.m.","RRULE:FREQ=MONTHLY;BYDAY=1TH,3TH",11:00,150,423-887-2881,https://www.foodpantries.org/li/tn_37415_red-bank-community-food-pantry,none stated,walk-in,Two monthly distribution windows.
Chattanooga,Chattanooga Area,Warren Chapel AME Church,"503 North Market Street, Chattanooga, TN 37405","Third Saturday of each month, 10:00 a.m.–12:00 p.m.",RRULE:FREQ=MONTHLY;BYDAY=3SA,10:00,120,423-267-4992,https://www.foodpantries.org/li/tn_37405_warren-chapel-ame-church,Residents of ZIP codes 37405 and 37402 only,walk-in,Bring proof of eligible ZIP/residency if requested.
Dunlap,Chattanooga Area,Sequatchie County Fellowship of Churches and Food Bank,"103 Heard Street, Dunlap, TN 37327","Mondays, 9:00 a.m.–12:00 p.m.; Wednesdays, 1:00–4:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",9:00,180,423-949-7716,https://www.prayers1.com/US/Dunlap/584799938252315/Sequatchie-County-Fellowship-of-Churches-and-Food-Bank,none stated,walk-in,Source lists regular opening hours; holiday closures may occur.
Harrison,Chattanooga Area,Bayside Baptist Church Food Pantry,"6100 Hwy 58, Harrison, TN 37341","Mondays during the first and third weeks each month, 10:00 a.m.–12:00 p.m.","RRULE:FREQ=MONTHLY;BYDAY=1MO,3MO",10:00,120,423-344-8327,https://www.foodpantries.org/li/tn_37341_bayside-baptist-church,none stated,walk-in,Four monthly windows; source says first and third weeks.
Harrison,Chattanooga Area,Bayside Baptist Church Food Pantry,"6100 Hwy 58, Harrison, TN 37341","Tuesdays during the first and third weeks each month, 4:00–6:00 p.m.","RRULE:FREQ=MONTHLY;BYDAY=1TU,3TU",16:00,120,423-344-8327,https://www.foodpantries.org/li/tn_37341_bayside-baptist-church,none stated,walk-in,Four monthly windows; source says first and third weeks.
Soddy Daisy,Chattanooga Area,Soddy Daisy Food Bank,"331 Durham Street, Soddy Daisy, TN 37379","Thursdays, 8:30–10:45 a.m.",RRULE:FREQ=WEEKLY;BYDAY=TH,8:30,135,423-760-3489,https://www.foodpantries.org/li/soddy-daisy-food-bank-inc,Photo ID and proof of physical address; bring SNAP card if applicable,walk-in,Source lists two weekly windows.
Soddy Daisy,Chattanooga Area,Soddy Daisy Food Bank,"331 Durham Street, Soddy Daisy, TN 37379","Mondays, 3:30–5:15 p.m.",RRULE:FREQ=WEEKLY;BYDAY=MO,15:30,105,423-760-3489,https://www.foodpantries.org/li/soddy-daisy-food-bank-inc,Photo ID and proof of physical address; bring SNAP card if applicable,walk-in,Source lists two weekly windows.
Bean Station,Knoxville Metro,Bean Station Worship Center – Food Assistance,,"Third Friday of each month, 9:00–11:30 a.m.",RRULE:FREQ=MONTHLY;BYDAY=3FR,9:00,150,423-277-1198,https://www.foodpantries.org/ci/tn-morristown,none stated,walk-in,Address was not published in source snippet.
Harriman,Knoxville Metro,Second Harvest Mobile Pantry – Riverfront Park,"301 Emory Drive, Harriman, TN 37748","First Wednesday of each month, 10:00 a.m. until all allotted food has been given out.",RRULE:FREQ=MONTHLY;BYDAY=1WE,10:00,120,865-521-0000,https://secondharvestetn.org/mp/roane-county/,none; anyone welcome; no items required,mobile pantry,Official page is an older listing; confirm the current date/location before travel.
Harrogate,Knoxville Metro,Second Harvest Mobile Pantry – Pump Springs Baptist Church,"225 Pump Springs Rd, Harrogate, TN 37752","Fourth Wednesday of each month, 11:00 a.m. until all allotted food has been given out.",RRULE:FREQ=MONTHLY;BYDAY=4WE,11:00,120,865-521-0000,https://secondharvestetn.org/mp/claiborne-county-23/,none; anyone welcome; no items required,mobile pantry,Arrive when distribution starts; food is distributed until supplies run out.
Jacksboro,Knoxville Metro,Open Arms Ministry Food Pantry,"1112 McGhee Lane, Jacksboro, TN 37757","Monday and Tuesday, 9:00 a.m.–12:00 p.m. and 1:00–3:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,TU",9:00,180,423-566-6723,https://www.foodpantries.org/li/tn_37757_open-arms-ministry-food-pantry,ID and physical proof of residence; Campbell County,walk-in,Two service windows each listed day.
Jefferson City,Knoxville Metro,Appalachian Ministries of the Smokies Food Pantry,"511 Municipal Drive, Jefferson City, TN 37760",Monday–Friday 8:00–10:00 a.m.; Saturday 10:00 a.m.–10:00 p.m.; Sunday 2:00–10:00 p.m.,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",8:00,120,865-475-5611,https://www.foodpantries.org/ci/tn-morristown,none stated,walk-in,Source lists broad service hours; call to confirm current schedule.
Knoxville,Knoxville Metro,Bread of Life Food Pantry – West Park Baptist Church,"5509 Lonas Drive, Knoxville, TN 37909","Fridays, 12:00–2:00 p.m.",RRULE:FREQ=WEEKLY;BYDAY=FR,12:00,120,865-690-0031,https://www.foodpantries.org/ci/tn-knoxville,Driver license or picture ID,walk-in,Friday has two distribution windows; source schedule is human-readable.
Knoxville,Knoxville Metro,Bread of Life Food Pantry – West Park Baptist Church,"5509 Lonas Drive, Knoxville, TN 37909","Tuesdays, 4:00–6:00 p.m.",RRULE:FREQ=WEEKLY;BYDAY=TU,16:00,120,865-690-0031,https://www.foodpantries.org/ci/tn-knoxville,Driver license or picture ID,walk-in,Friday has two distribution windows; source schedule is human-readable.
Knoxville,Knoxville Metro,Bread of Life Food Pantry – West Park Baptist Church,"5509 Lonas Drive, Knoxville, TN 37909","Fridays, 4:00–6:00 p.m.",RRULE:FREQ=WEEKLY;BYDAY=FR,16:00,120,865-690-0031,https://www.foodpantries.org/ci/tn-knoxville,Driver license or picture ID,walk-in,Friday has two distribution windows; source schedule is human-readable.
Knoxville,Knoxville Metro,FISH Hospitality – East Pantry,"600 South Chestnut Street, Knoxville, TN 37914","Mondays and Wednesdays, 10:00 a.m.–1:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",10:00,180,865-522-3474,https://www.fishpantries.org/get-help,none; welcomes all; no ID or qualifying information,walk-in,Food available to all who come.
Knoxville,Knoxville Metro,FISH Hospitality – Northwest Pantry,"122 West Scott Avenue, Knoxville, TN 37917","Tuesdays and Thursdays, 10:00 a.m.–1:00 p.m.","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,180,865-971-4000,https://www.fishpantries.org/get-help,none; welcomes all; no ID or qualifying information,walk-in,Food available to all who come; fourth Saturday is also open.
Knoxville,Knoxville Metro,FISH Hospitality – Northwest Pantry,"122 West Scott Avenue, Knoxville, TN 37917","Every fourth Saturday, 10:00 a.m.–1:00 p.m.",RRULE:FREQ=MONTHLY;BYDAY=4SA,10:00,180,865-971-4000,https://www.fishpantries.org/get-help,none; welcomes all; no ID or qualifying information,walk-in,Food available to all who come; fourth Saturday is also open. Monthly Saturday window.
