city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Austin,Austin Metro,Cristo Rey Catholic Church- Social Ministry Food Pantry,"2208 East 2nd Street, Austin, TX 78702","Every Thursday, 12:15pm-2:15pm",RRULE:FREQ=WEEKLY;BYDAY=TH,12:15,120,512-477-1099,https://www.centraltexasfoodbank.org/location/cristo-rey-catholic-church-social-ministry-food-pantry,None,walk-in,
Austin,Austin Metro,Gethsemane Lutheran Church,"200 West Anderson Ln., Austin, TX 78752","Every Tuesday, 9:00am-12:00pm",RRULE:FREQ=WEEKLY;BYDAY=TU,9:00,180,512-836-8560,https://www.centraltexasfoodbank.org/location/gethsemane-lutheran-church,None,walk-in,
Austin,Austin Metro,Hope Food Pantry,"4001 Speedway, Austin, TX 78751","Every Thursday and Friday, 9:00am-10:30am","RRULE:FREQ=WEEKLY;BYDAY=TH,FR",9:00,90,512-592-3171,https://www.centraltexasfoodbank.org/location/hope-food-pantry,None,walk-in,Also open 1st Saturday; verify holiday changes.
Austin,Austin Metro,Hope Food Pantry,"4001 Speedway, Austin, TX 78751","1st Saturday, 9:00am-10:30am",RRULE:FREQ=MONTHLY;BYDAY=1SA,9:00,90,512-592-3171,https://www.centraltexasfoodbank.org/location/hope-food-pantry,None,walk-in,First-come; verify holiday changes.
Austin,Austin Metro,ICNA-NAMCC Second Food Pantry,"8204 N. Lamar Blvd, Suite B14, Austin, TX 78753","1st, 2nd and 3rd Saturday, 10:30am-12:30pm","RRULE:FREQ=MONTHLY;BYDAY=1SA,2SA,3SA",10:30,120,512-300-9709,https://www.centraltexasfoodbank.org/location/icna-namcc-second-food-pantry,None,walk-in,
Austin,Austin Metro,ICNA-NAMCC Second Food Pantry,"8204 N. Lamar Blvd, Suite B14, Austin, TX 78753","4th Sunday, 10:00am-12:30pm",RRULE:FREQ=MONTHLY;BYDAY=4SU,10:00,150,512-300-9709,https://www.centraltexasfoodbank.org/location/icna-namcc-second-food-pantry,None,walk-in,
Austin,Austin Metro,Nelson Field - Mobile Food Pantry,"7105 Berkman Dr, Austin, TX 78752","3rd Thursday, 9:00am-10:30am",RRULE:FREQ=MONTHLY;BYDAY=3TH,9:00,90,,https://www.centraltexasfoodbank.org/location/nelson-field-mobile-food-pantry,"Name, household size and ZIP code; vehicle required",drive-thru,"First-come, first-served; while supplies last."
Austin,Austin Metro,VA Clinic - S Austin - Mobile Food Pantry,"7901 Metropolis Dr, Austin, TX 78744","3rd Friday, 9:30am-10:30am",RRULE:FREQ=MONTHLY;BYDAY=3FR,9:30,60,,https://www.centraltexasfoodbank.org/location/va-clinic-s-austin-mobile-food-pantry,Veteran households only; vehicle required,drive-thru,"First-come, first-served."
Buda,Austin Metro,Santa Cruz Catholic Church,"1100 Main St, Buda, TX 78610","Every other Saturday, 8:00am-9:00am",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=SA,8:00,60,512-415-4012,https://www.centraltexasfoodbank.org/location/santa-cruz-catholic-church,None,walk-in,
Creedmoor,Austin Metro,Creedmoor - Mobile Food Pantry,"12511 FM 1625, Creedmoor, TX 78610","3rd Tuesday, 9:00am-10:00am",RRULE:FREQ=MONTHLY;BYDAY=3TU,9:00,60,,https://www.centraltexasfoodbank.org/location/creedmoor-mobile-food-pantry,"Name, household size and ZIP code",mobile pantry,"Market-style, first-come, first-served."
