city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Blanding,Eastern Utah,Utah Food Bank Southeastern Distribution Center Pantry,"295 E 200 N, Blanding, UT 84511",Mon-Fri: see published daily windows,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,240,435-674-5498,https://www.utahfoodbank.org/get-help/,Open to people in need; no appointment stated,walk-in,Published page lists public pantry hours by day; call ahead to verify changes.
Montezuma Creek,Eastern Utah,Utah Food Bank Montezuma Creek Food Pantry,"400 N 50th E, Montezuma Creek, UT 84534",Mon-Fri: see published daily windows,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,240,435-216-9117,https://www.utahfoodbank.org/get-help/,Open to people in need; no appointment stated,walk-in,Published page lists public pantry hours by day; call ahead to verify changes.
Monument Valley,Eastern Utah,Utah Food Bank Monument Valley Food Pantry,"Mile Post 0 US Highway 163, Monument Valley, UT 84536",Mon-Fri: see published daily windows,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,240,435-652-5114,https://www.utahfoodbank.org/get-help/,Open to people in need; no appointment stated,walk-in,Published page lists public pantry hours by day; call ahead to verify changes.
Bountiful,Salt Lake Metro,Utah Food Bank Woods Cross Mobile Pantry,"2064 S 800 W, Woods Cross, UT 84087",Schedule varies; see Utah Food Bank listing,RRULE:FREQ=MONTHLY,9:00,60,801-978-2452,https://sites.vivery.org/woods-cross-mobile-pantry/woods-cross-ut/14335,Open to people in need; no appointment stated,drive-thru,Woods Cross is the listed site serving the Bountiful area; time/date not exposed in result.
Layton,Salt Lake Metro,Utah Food Bank Fox Creek Mobile Pantry,"1402 N Fort Ln, Layton, UT 84041","1st Wednesday, 9:00-10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=1,9:00,60,801-978-2452,https://sites.vivery.org/fox-creek-mobile-pantry/layton-ut/14331,Open to people in need; no appointment stated,drive-thru,Vivery examples show recurring 1st-Wednesday dates; confirm current schedule.
Magna,Salt Lake Metro,Utah Food Bank Magna Mobile Pantry,"2840 S 9000 W, Magna, UT 84044","2nd Wednesday, 1:30-2:30 PM",RRULE:FREQ=MONTHLY;BYDAY=WE;BYSETPOS=2,13:30,60,801-978-2452,https://sites.vivery.org/magna-mobile-pantry/magna-ut/14829,Open to people in need; no appointment stated,drive-thru,Vivery examples show recurring 2nd-Wednesday dates; confirm current schedule.
Salt Lake City,Salt Lake Metro,Utah Food Bank Alpine Meadows Mobile Pantry,"3300 S 4440 W, Salt Lake City, UT 84120","1st and 3rd Saturday, 7:00 AM until food is gone","RRULE:FREQ=MONTHLY;BYDAY=SA;BYSETPOS=1,3",7:00,60,801-978-2452,https://sites.vivery.org/alpine-meadows-mobile-pantry/salt-lake-city-ut/14333,Open to people in need; no appointment stated,drive-thru,Vivery listing shows recurring dates; confirm the current date before travel.
Salt Lake City,Salt Lake Metro,Utah Food Bank Mobile Pantry - Millstream,"3400 S 1100 E, Salt Lake City, UT 84106","Generally every other Saturday, 8:30-9:30 AM or until food is gone",RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=SA,8:30,60,801-978-2452,https://local.churchofjesuschrist.org/en/units/us/ut/millstream-ward/events/utah-food-bank-mobile-pantry-20250906,Open to people in need; no appointment stated,drive-thru,Event listing says generally every other Saturday; confirm date.
Taylorsville,Salt Lake Metro,Utah Food Bank Bennion Mobile Pantry,"6250 2200 W, Taylorsville, UT 84129","2nd and 4th Monday, 2:00-4:00 PM","RRULE:FREQ=MONTHLY;BYDAY=MO;BYSETPOS=2,4",14:00,120,801-978-2452,https://sites.vivery.org/bennion-mobile-pantry/taylorsville-ut/14321,Open to people in need; no appointment stated,drive-thru,Vivery date examples support 2nd/4th Monday pattern; confirm current schedule.
West Jordan,Salt Lake Metro,Utah Food Bank West Jordan Mobile Pantry,"3930 W 7875 S, West Jordan, UT 84088","Tuesday after the 2nd Monday, 9:00-10:00 AM",RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=2,9:00,60,801-978-2452,https://sites.vivery.org/west-jordan-mobile-pantry/west-jordan-ut/14313,Open to people in need; no appointment stated,drive-thru,Exclude the separate CSFP senior-box listing; this row is the general food distribution listing.
