city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Burlington,Burlington Area,CVOEO Community Resource Center meals,"228 N Winooski Ave, Burlington, VT 05401","Monday-Friday, 9:30 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:30,150,802-660-3456,https://www.feedingchamplainvalley.org/chittenden-county/,Walk-in community meal; open to the community,hot meal,Prepared meals served at the Community Resource Center.
Burlington,Burlington Area,Feeding Champlain Valley Food Shelf,"228 N Winooski Ave, Burlington, VT 05401","Monday-Friday, 9:30 AM-2:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:30,300,802-863-0020,https://www.feedingchamplainvalley.org/chittenden-county/,Walk-in; onsite registration; Chittenden County service,walk-in,Free groceries; closed Vermont state holidays.
Burlington,Burlington Area,North End Food Pantry,"1416 North Ave, Burlington, VT 05408","Saturday-Sunday, 9:00-11:00 AM","RRULE:FREQ=WEEKLY;BYDAY=SA,SU",9:00,120,802-399-0985,https://www.northendfoodpantry.org/food-shelf-burlington,No forms or qualifications; everyone welcome,walk-in,Arrive by 8:50 AM for fresh-produce number.
St. Albans,Burlington Area,NorthWest Family Foods,"5 Lemnah Dr, St. Albans, VT 05478","Monday-Friday, 12:00-2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,120,802-527-7392,https://www.feedingchamplainvalley.org/groceries-meal-production/,Walk-in; onsite registration; Franklin County service,walk-in,Food shelf access is generally twice monthly.
Middlebury,Central Vermont,Addison Food Hub / Feeding Champlain Valley,"616 Exchange St, Middlebury, VT 05753","Monday-Friday, 10:00 AM-3:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,330,802-388-3293,https://www.feedingchamplainvalley.org/groceries-meal-production/,Walk-in; onsite registration; Addison County service,walk-in,Food shelf access is limited to once monthly.
Lyndonville,Northeast Kingdom,Vermont Foodbank VeggieVanGo / NVRH,"VTSU Lyndonville, 1143 McGoff Hill, Lyndonville, VT 05851","Third Thursday monthly, 10:00-11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=3TH,10:00,60,800-585-2265,https://nvrh.org/veggie-van-go/,No registration or eligibility requirement; remain in vehicle,drive-thru,Foodbank event; check ahead for schedule changes.
Guilford,Southern Vermont,Guilford Cares Food Pantry,"3940 Guilford Center Rd, Guilford, VT 05301","Every Thursday, 3:00-4:00 PM",RRULE:FREQ=WEEKLY;BYDAY=TH,15:00,60,802-257-0626,https://www.broadbrookcommunitycenter.org/events/shffn6dpmh5bbwd-tdy28-cjwn3,Walk-in; open to anyone who needs food,walk-in,"Fresh, frozen, canned, and packaged food."
Rutland,Southern Vermont,Rutland Community Cupboard,"65 River St, Rutland, VT 05701","Monday, Wednesday, Friday, 12:00-2:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",12:00,120,802-747-6119,https://www.rutlandcommunitycupboard.org/access-the-cupboard.html,Walk-in; food-insecure individuals/families,walk-in,Open once weekly if needed; bring reusable bags.
Rutland,Southern Vermont,Rutland Community Cupboard,"65 River St, Rutland, VT 05701","Tuesday-Thursday, 4:00-5:30 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",16:00,90,802-747-6119,https://www.rutlandcommunitycupboard.org/access-the-cupboard.html,Walk-in; food-insecure individuals/families,walk-in,Not the senior-only hour.
Springfield,Southern Vermont,Vermont Foodbank VeggieVanGo at Springfield Hospital,"Riverside Middle School, Springfield, VT 05156","Second Friday monthly, 10:00-11:00 AM",RRULE:FREQ=MONTHLY;BYDAY=2FR,10:00,60,800-585-2265,https://springfieldhospital.org/veggievango/,"No registration, age, or income requirement; remain in vehicle",drive-thru,"Dates can shift for holidays, construction, or severe weather."
White River Junction,Southern Vermont,Upper Valley Haven Food Pantry,"713 Hartford Ave, White River Junction, VT 05001","Monday, 8:30 AM-6:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,8:30,570,802-295-6500,https://lebanonnh.gov/636/Local-Pantries,No referral; walk-in; one pantry visit monthly,walk-in,Daily free produce and bread may also be available.
White River Junction,Southern Vermont,Upper Valley Haven Food Pantry,"713 Hartford Ave, White River Junction, VT 05001","Tuesday-Friday, 8:30 AM-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",8:30,450,802-295-6500,https://lebanonnh.gov/636/Local-Pantries,No referral; walk-in; one pantry visit monthly,walk-in,Daily free produce and bread may also be available.
