city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Altavista,Central Virginia,Altavista Ministerial Association Food Pantry,"1280 Main Street, Altavista, VA 24517",Mon-Thu 10:00am-noon,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:00,120,434-369-7937,https://www.foodpantries.org/li/dawn_24517,Campbell County residents; call to confirm,walk-in,Directory listing; verify current hours.
Bedford,Central Virginia,Bedford Christian Ministries Food Pantry,"217 W Washington Street, Bedford, VA 24523","Mon, Tue, Fri 9:00am-noon","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,FR",9:00,180,540-586-2633,https://bedfordchristianministries.org/,Bedford County residents; photo ID; proof of income/benefits,walk-in,Official site says pantry open 9-noon; weather closures possible.
Bedford,Central Virginia,Bedford Community Christmas Station Year-Round Pantry,"510 Blue Ridge Avenue, Bedford, VA 24523",Tue and Wed 10:00am-4:00pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE",10:00,360,540-586-0754,https://www.bedfordchristmasstation.org/year-round-food-pantry/,Bedford County; walk-ins accepted,walk-in,Official site says year-round pantry; ring doorbell at right-side door.
Charlottesville,Central Virginia,Church of the Incarnation Food Pantry,"1465 Incarnation Drive, Charlottesville, VA 22901",Sundays 1:30-3:30pm,RRULE:FREQ=WEEKLY;BYDAY=SU,13:30,120,434-973-4381,https://www.foodpantries.org/li/va_charlottesville_church-of-the-incarnation-food-pantry,Walk-in; brief intake first visit; call to confirm,walk-in,Available to anyone in need; southeast entrance.
Charlottesville,Central Virginia,Hephzibah PACD Ministries,"1006 Forest Street, Charlottesville, VA 22901",Tue and Thu 5:30-7:30pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",17:30,120,434-293-7400,https://www.foodpantries.org/li/hephzibah_pacd_ministries_22901,Walk-in; call to confirm,walk-in,Directory listing; verify current hours.
Lynchburg,Central Virginia,Fellowship Church of Christ Food Pantry,"Lynchburg, VA 24501",Saturdays 8:00-10:00am,RRULE:FREQ=WEEKLY;BYDAY=SA,8:00,120,434-528-3924,https://www.foodpantries.org/ci/lynchburg,Walk-in; call to confirm,walk-in,Directory listing did not provide street address.
Lynchburg,Central Virginia,Love and Truth Community Church Food Pantry,"3135 Fort Avenue, Lynchburg, VA 24501",1st and 3rd Monday 9:00am-noon,"RRULE:FREQ=MONTHLY;BYDAY=1MO,3MO",9:00,180,434-845-0200,https://www.foodpantries.org/li/first_assembly_of_god_24501,Walk-in; call to confirm,walk-in,Directory listing; separate 4th-Monday evening window.
Lynchburg,Central Virginia,Love and Truth Community Church Food Pantry,"3135 Fort Avenue, Lynchburg, VA 24501",4th Monday 5:30-8:00pm,RRULE:FREQ=MONTHLY;BYDAY=4MO,17:30,150,434-845-0200,https://www.foodpantries.org/li/first_assembly_of_god_24501,Walk-in; call to confirm,walk-in,Directory listing; separate 1st/3rd-Monday morning window.
Lynchburg,Central Virginia,Lynchburg Daily Bread Hot Lunch,"721 Clay Street, Lynchburg, VA 24504",Daily 10:15am-12:20pm,RRULE:FREQ=DAILY,10:15,125,434-845-5703,https://www.lynchburgdailybread.com/our-services,No requirements or paperwork,hot meal,Official site says free hot lunch 365 days/year; boxed to-go meals.
Lynchburg,Central Virginia,Parkview Cafe Night To-Go Meal,"2420 Memorial Avenue, Lynchburg, VA 24501",Wednesdays 4:30-5:30pm,RRULE:FREQ=WEEKLY;BYDAY=WE,16:30,60,434-845-8468,https://www.foodpantries.org/li/parkview_community_missions_24501,Walk-in; call to confirm,hot meal,Free to-go meal listed by directory.
