city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Brewster,Central Washington,Brewster Food Bank,"301 4th St S, Brewster, WA 98812",Thu 9-10:30am,RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,90,509-689-2728,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Goldendale,Central Washington,Goldendale Food Bank,"112 E Main St, Goldendale, WA 98620",Mon 9am-3:30pm; Wed 12:30-4:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE",9:00,390,509-281-2203,https://www.wagap.org/food-banks-nutrition,Low-income residents; walk-in monthly food boxes.,walk-in,WAGAP network; income eligibility applies.
Grandview,Central Washington,Grandview Seventh-day Adventist Food Bank,"110 N Elm St, Grandview, WA 98930",Wed 9-11am,RRULE:FREQ=WEEKLY;BYDAY=WE,9:00,120,509-882-7919,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Granger,Central Washington,Granger Food Bank,"118 Main St, Granger, WA 98932",Mon 3:30-4:30pm (except holidays),RRULE:FREQ=WEEKLY;BYDAY=MO,15:30,60,509-831-6211,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Klickitat,Central Washington,Klickitat Food Bank,"92 Main St, Klickitat, WA 98628",Wed 1-4pm,RRULE:FREQ=WEEKLY;BYDAY=WE,13:00,180,509-493-2662,https://www.wagap.org/food-banks-nutrition,Low-income residents; walk-in monthly food boxes.,walk-in,WAGAP network; income eligibility applies.
Okanogan,Central Washington,Okanogan Food Bank,"424 2nd Ave S, Okanogan, WA 98840",Mon & Tue 9am-2:30pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU",9:00,330,509-422-4041,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Selah,Central Washington,Selah Naches Food Bank,"216 S 1st St, Selah, WA 98942",Mon & Fri 9-11am,"RRULE:FREQ=WEEKLY;BYDAY=MO,FR",9:00,120,509-698-7303,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Sunnyside,Central Washington,SOC Sunnyside Food Pantry,"529 S 9th St, Sunnyside, WA 98944",Fri 8:30-10:30am,RRULE:FREQ=WEEKLY;BYDAY=FR,8:30,120,509-225-9310,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Tieton,Central Washington,Highland Food Bank,"616 Maple St, Tieton, WA 98947",Sat 8-10am,RRULE:FREQ=WEEKLY;BYDAY=SA,8:00,120,509-901-7800,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
Tonasket,Central Washington,Tonasket Food Bank,"101 US-97, Tonasket, WA 98855",Thu 9-11am,RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,120,509-486-1219,https://www.northwestharvest.org/our-work/food-access-network/,None stated; walk-in.,walk-in,Call ahead.
