city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Charleston,Kanawha Valley,Canaan United Methodist Church Food Pantry,"401 Roane St, Charleston, WV 25302",Mondays and Thursdays 1:00pm-3:00pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TH",13:00,120,304-342-6553,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Photo ID; serves 25302 and 25312,walk-in,
Charleston,Kanawha Valley,Common Grounds Food Pantry,"Charleston, WV 25304",Tuesdays and Thursdays 10:00am-3:00pm,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,300,304-720-9690,https://www.foodpantries.org/ci/wv-charleston,Service area listed by neighborhood; call for exact address and requirements,walk-in,
Charleston,Kanawha Valley,Covenant House Food Pantry,"600 Shrewsbury St, Charleston, WV 25301",Monday-Friday 9:00am-12:00pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,180,304-344-8053,https://wvcovenanthouse.org/programs/food-pantry/,Kanawha County; photo ID and Drop-In Center referral; twice monthly,walk-in,Choice pantry; call to confirm current hours.
Charleston,Kanawha Valley,Fishers of Men Food Pantry,"847 Woodward Dr, Charleston, WV 25387",Wednesdays 1:00pm-4:00pm,RRULE:FREQ=WEEKLY;BYDAY=WE,13:00,180,304-421-0102,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Open to people in need; call for current requirements,walk-in,
Charleston,Kanawha Valley,Hissom Inter-City Mission Food Pantry,"1305 Pennsylvania Ave, Charleston, WV 25302",Tuesdays 1:00pm-4:00pm,RRULE:FREQ=WEEKLY;BYDAY=TU,13:00,180,681-265-1747,https://www.foodpantries.org/ci/wv-charleston,Walk-in; call for current requirements,walk-in,Free lunch also served weekdays noon-2pm.
Charleston,Kanawha Valley,Manna Meal Mobile Kitchen,"Virginia St and Park Ave (old Save A Lot), Charleston, WV 25302",Daily lunch 12:00pm-1:00pm,RRULE:FREQ=DAILY,12:00,60,304-345-7121,https://www.mannameal.org/food-pantries,No paperwork stated; anyone hungry,hot meal,Mobile meal site; verify current location.
Charleston,Kanawha Valley,Mountain Mission Food Pantry,"1620 7th Ave, Charleston, WV 25312",Monday-Friday 8:00am-5:00pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,540,304-344-3407,https://www.foodpantries.org/li/mountain_mission_25312,"ID, proof of income and verifiable reason of need; West Side/Sissonville/Elkview",walk-in,
Charleston,Kanawha Valley,Salvation Army Charleston Pantry,"301 Tennessee Ave, Charleston, WV 25302",Monday-Friday 8:00am-11:30am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:00,210,304-343-4548,https://www.foodpantries.org/ci/wv-charleston,"Serves Clay, Kanawha, Putnam and Roane counties; call first",walk-in,
Charleston,Kanawha Valley,West Side Food Pantry,"1455 4th Ave, Charleston, WV 25387",Last Tuesday monthly 9:00am-11:00am,RRULE:FREQ=MONTHLY;BYDAY=TU;BYSETPOS=-1,9:00,120,304-984-3202,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Walk-in; call for current requirements,walk-in,
Nitro,Kanawha Valley,Nitro Community Food Pantry,"2003 20th St, Nitro, WV 25143",Tuesdays 9:00am-11:00am,RRULE:FREQ=WEEKLY;BYDAY=TU,9:00,120,304-881-2015,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Nitro residents only,walk-in,
Saint Albans,Kanawha Valley,St. Albans Food Pantry,"405 B St, Saint Albans, WV 25177",Tuesdays and Thursdays 9:30am-10:30am,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH",9:30,60,304-549-9402,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Call for current service-area requirements,walk-in,
Saint Albans,Kanawha Valley,Ten Up Ministries Food Pantry,"12646 Coal River Rd, Saint Albans, WV 25177",First Thursday monthly 6:30pm-8:30pm,RRULE:FREQ=MONTHLY;BYDAY=1TH,18:30,120,304-419-7252,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Walk-in; call for current requirements,walk-in,
South Charleston,Kanawha Valley,Davis Creek Church of the Nazarene Bread of Life,"102 Nazarene Dr, South Charleston, WV 25309",Fridays noon-1:00pm,RRULE:FREQ=WEEKLY;BYDAY=FR,12:00,60,304-744-0863,https://www.unitedwaycwv.org/sites/unitedwaycwv/files/Kanawha%20County%20Food%20Pantries%20PDF%20.pdf,Walk-in; call for current requirements,walk-in,
Winfield,Kanawha Valley,Salt and Light Food Pantry,"Winfield Church of the Nazarene, Winfield, WV 25213",Second Saturday monthly 9:00am-noon,RRULE:FREQ=MONTHLY;BYDAY=2SA,9:00,180,304-586-2180,https://www.foodpantries.org/ci/wv-cottageville,Putnam County residents; call for exact address,walk-in,
Berkeley Springs,Eastern Panhandle,Berkeley Baptist Church Pantry,"409 S Green St, Berkeley Springs, WV 25411",Second Tuesday monthly 11:00am-1:00pm,RRULE:FREQ=MONTHLY;BYDAY=2TU,11:00,120,304-258-4101,https://www.foodpantries.org/ci/wv-martinsburg,Call for current requirements,walk-in,
