city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Marshfield,Central Wisconsin,Soup or Socks Food Pantry,"Marshfield, WI 54449",Mon-Wed 12:30-3:30pm; Thu 12:30-4:30pm; Fri 9am-noon,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",9:00,210,715-387-1796,https://www.foodpantries.org/ci/wi-marshfield,Clothes closet is appointment-only; pantry walk-in,walk-in,
Plover,Central Wisconsin,Interfaith Food Pantry of Portage County,"Plover, WI 54467","2nd & 4th Tuesday, 5-8pm","RRULE:FREQ=MONTHLY;BYDAY=2TU,4TU",17:00,180,715-347-2689,https://www.foodpantries.org/ci/wi-wisconsin_rapids,Portage County residents; proof residency,walk-in,
Wausau,Central Wisconsin,Salvation Army Wausau Pantry,"202 Callon St, Wausau, WI 54403","Mon & Thu, 10:30am-2:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TH",10:30,240,715-842-2970,https://www.foodpantries.org/ci/wi-wausau,"Marathon County; ID, residency, income proof; every 21 days",walk-in,
Wausau,Central Wisconsin,The Neighbors' Place Market Pantry,"745 Scott St, Wausau, WI 54401",Mon 1:30-4:30pm; Tue 10:30am-1:30pm; Wed 1:30-4:30pm; Thu 10:30am-1:30pm & 5-7pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:30,180,715-845-1966,https://www.foodpantries.org/ci/wi-wausau,Marathon County/surrounding; once every 3 weeks,walk-in,
Wisconsin Rapids,Central Wisconsin,SWEPS South Wood County Pantry Shelf,"Wisconsin Rapids, WI 54495","Mon, Wed, Thu & Fri noon-4pm; Tue 4-7pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,240,715-422-2050,https://www.foodpantries.org/ci/wi-wisconsin_rapids,Income eligibility; 7-day supply,walk-in,
Appleton,Fox Valley,Freedom Center Food Pantry,"1110 S Oneida St, Appleton, WI 54914","Wednesday, 3:45-6pm (drive-thru until 6)",RRULE:FREQ=WEEKLY;BYDAY=WE,15:45,135,920-412-7582,https://www.foodpantries.org/ci/wi-appleton,ID for everyone in household; random number system,walk-in,
Appleton,Fox Valley,Salvation Army Fox Cities Pantry,"130 E North St, Appleton, WI 54912",Mon-Fri registration 8:30-10:30am,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",8:30,120,920-734-3324,https://www.foodpantries.org/ci/wi-appleton,Fox Cities residents; no documentation for food-only,walk-in,
Fond Du Lac,Fox Valley,Broken Bread Food Pantry at St. Paul's,"51 W Division St, Fond du Lac, WI 54935","Friday, 1-5pm",RRULE:FREQ=WEEKLY;BYDAY=FR,13:00,240,920-579-9621,https://www.foodpantries.org/ci/wi-fond_du_lac,No income proof or other requirement; all welcome,walk-in,
Fond Du Lac,Fox Valley,Lighthouse Christian Church Pantry,"Fond du Lac, WI 54935","Tue & Thu, 10am-2pm","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",10:00,240,920-921-3477,https://www.foodpantries.org/ci/wi-fond_du_lac,No appointment; anyone welcome,walk-in,
Neenah,Fox Valley,St. Vincent de Paul Food Pantry Neenah/Menasha,"Neenah, WI 54956",Wed 9:30am-12:30pm & 3-5:30pm; Fri 9:30-12:30; Sat 9:30-noon,"RRULE:FREQ=WEEKLY;BYDAY=WE,FR,SA",9:30,180,920-727-1766,https://www.foodpantries.org/ci/wi-fond_du_lac,ID and proof of Neenah/Menasha residence,walk-in,
Oshkosh,Fox Valley,Father Carr's Place 2B Pantry,"Oshkosh, WI 54902","Friday, 9-11:45am",RRULE:FREQ=WEEKLY;BYDAY=FR,9:00,165,920-231-2378,https://www.foodpantries.org/ci/wi-oshkosh,Call to confirm current intake,walk-in,
Oshkosh,Fox Valley,Oshkosh Area Community Pantry,"2551 Jackson St, Oshkosh, WI 54901",Mon 2-6pm; Tue-Thu 10am-2:45pm,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:00,285,920-651-9960,https://www.foodpantries.org/ci/wi-oshkosh,Call to confirm documentation,walk-in,
Oshkosh,Fox Valley,St. John's Food Pantry,"Oshkosh, WI 54901",Tue 10am-2pm; 2nd Sat 10am-1pm,RRULE:FREQ=WEEKLY;BYDAY=TU,10:00,240,920-231-5480,https://www.foodpantries.org/ci/wi-oshkosh,No financial forms; back entrance,walk-in,
Green Bay,Green Bay Area,Dorothy Rosenberg Goodwill Place,"501 Howe St, Green Bay, WI 54301","Tuesday, 9-11am",RRULE:FREQ=WEEKLY;BYDAY=TU,9:00,120,920-437-9252,https://www.foodpantries.org/ci/wi-green_bay,54301/54302; photo ID and proof address,walk-in,
Green Bay,Green Bay Area,Green Bay First Food Pantry,"1460 Shawano Ave, Green Bay, WI 54303",Tue & Thu 4-6pm; Sun 11am-noon,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH,SU",16:00,120,920-497-2800,https://www.foodpantries.org/ci/wi-green_bay,No requirements; Tue/Thu drive-thru,drive-thru,
Green Bay,Green Bay Area,Hope Center Pantry,"505 Clinton St, Green Bay, WI 54303","Mon-Thu, 1-3pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",13:00,120,920-437-3356,https://www.foodpantries.org/ci/wi-green_bay,Brown County; photo ID/proof residence; monthly,walk-in,
Green Bay,Green Bay Area,Manna for Life Free Hot Lunch,"1545 University Ave, Green Bay, WI 54302","Mon, Wed & Fri, 11am-1pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",11:00,120,920-437-3629,https://www.foodpantries.org/ci/wi-green_bay,Anyone in need; free lunch,hot meal,
Green Bay,Green Bay Area,Manna for Life Ministries Pantry,"1545 University Ave, Green Bay, WI 54302","Mon-Fri, 10:30am-noon","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:30,90,920-437-3629,https://www.foodpantries.org/ci/wi-green_bay,Call to confirm eligibility,walk-in,
Green Bay,Green Bay Area,Resurrection Food Pantry,"1024 Shawano Ave, Green Bay, WI 54303",1st-3rd Thu 9-11am; 4th-5th Thu 5:30-7pm,"RRULE:FREQ=MONTHLY;BYDAY=1TH,2TH,3TH,4TH,5TH",9:00,120,920-497-7052,https://www.foodpantries.org/ci/wi-green_bay,Wisconsin residents; photo ID/proof address first visit; monthly,walk-in,
Green Bay,Green Bay Area,Salvation Army Greater Green Bay Lunch,"626 Union Ct, Green Bay, WI 54303","Mon-Fri, 11:15am-12:15pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",11:15,60,920-593-2375,https://www.foodpantries.org/ci/wi-green_bay,Anyone in need; no appointment for lunch,hot meal,
Manitowoc,Green Bay Area,Peter's Pantry,"1725 S 10th St, Manitowoc, WI 54220","Mon-Fri, 6am-noon","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",6:00,360,920-682-6989,https://www.foodpantries.org/ci/wi-sheboygan,Call to confirm intake,walk-in,
Manitowoc,Green Bay Area,Salvation Army Food Pantry,"411 N 6th St, Manitowoc, WI 54220","Mon 5:30-7pm; Tue & Wed 9am-noon, 1-4pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE",9:00,180,920-684-7117,https://www.foodpantries.org/ci/wi-sheboygan,Photo ID and proof address; senior stockbox excluded,walk-in,
